"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"10963","32","text","0","10969","0.0-0.0","A2COAUZ1TISD2Q","1517428512025","","","","","",""
"16374","32","text","1","27445","0.0-1.0","A2COAUZ1TISD2Q","1517428512025","","","","","",""
"7020","32","text","2","34567","0.0-2.0","A2COAUZ1TISD2Q","1517428512025","","","","","",""
"26036","32","text","3","60705","0.0-3.0","A2COAUZ1TISD2Q","1517428512025","","","","","",""
"25151","32","mine-text","4","86135","0.0-4.0","A2COAUZ1TISD2Q","1517428512025","","","","","",""
"12862","32","text","5","99098","0.0-5.0","A2COAUZ1TISD2Q","1517428512025","","","","","",""
"5978","32","text","6","105176","0.0-6.0","A2COAUZ1TISD2Q","1517428512025","","","","","",""
"5623","32","mine-text","7","111113","0.0-7.0","A2COAUZ1TISD2Q","1517428512025","","","","","",""
"9480","","forage01","8","120702","0.0-8.0-0.0","A2COAUZ1TISD2Q","1517428512025","0","52","gold","0","no mineshafts yet","0"
"16462","","forage01","9","137269","0.0-8.0-1.0","A2COAUZ1TISD2Q","1517428512025","1","51","gold","1000","gold","1000"
"7697","","forage01","10","145070","0.0-8.0-2.0","A2COAUZ1TISD2Q","1517428512025","1","50","gold","1000","gold","2000"
"4928","","forage01","11","150103","0.0-8.0-3.0","A2COAUZ1TISD2Q","1517428512025","0","49","gold","0","gold","2000"
"3631","","forage01","12","153838","0.0-8.0-4.0","A2COAUZ1TISD2Q","1517428512025","1","48","gold","1000","gold","3000"
"2769","","forage01","13","156711","0.0-8.0-5.0","A2COAUZ1TISD2Q","1517428512025","1","47","gold","1000","gold","4000"
"1304","","forage01","14","158119","0.0-8.0-6.0","A2COAUZ1TISD2Q","1517428512025","1","46","gold","1000","gold","5000"
"3331","","forage01","15","161553","0.0-8.0-7.0","A2COAUZ1TISD2Q","1517428512025","1","45","gold","1000","gold","6000"
"1721","","forage01","16","163378","0.0-8.0-8.0","A2COAUZ1TISD2Q","1517428512025","1","44","gold","1000","gold","7000"
"1385","","forage01","17","164867","0.0-8.0-9.0","A2COAUZ1TISD2Q","1517428512025","1","43","gold","1000","gold","8000"
"792","","forage01","18","165763","0.0-8.0-10.0","A2COAUZ1TISD2Q","1517428512025","1","42","gold","1000","gold","9000"
"835","","forage01","19","166702","0.0-8.0-11.0","A2COAUZ1TISD2Q","1517428512025","1","41","gold","1000","gold","10000"
"1386","","forage01","20","168192","0.0-8.0-12.0","A2COAUZ1TISD2Q","1517428512025","0","40","diamond","0","gold","10000"
"4192","","forage01","21","172487","0.0-8.0-13.0","A2COAUZ1TISD2Q","1517428512025","0","39","gold","0","diamond","10000"
"1518","","forage01","22","174108","0.0-8.0-14.0","A2COAUZ1TISD2Q","1517428512025","0","38","dirt","0","diamond","10000"
"2266","","forage01","23","176479","0.0-8.0-15.0","A2COAUZ1TISD2Q","1517428512025","0","37","dirt","0","diamond","10000"
"927","","forage01","24","177511","0.0-8.0-16.0","A2COAUZ1TISD2Q","1517428512025","1","36","diamond","100000","diamond","110000"
"1423","","forage01","25","179058","0.0-8.0-17.0","A2COAUZ1TISD2Q","1517428512025","1","35","diamond","100000","diamond","210000"
"776","","forage01","26","179939","0.0-8.0-18.0","A2COAUZ1TISD2Q","1517428512025","1","34","diamond","100000","diamond","310000"
"471","","forage01","27","180515","0.0-8.0-19.0","A2COAUZ1TISD2Q","1517428512025","1","33","diamond","100000","diamond","410000"
"390","","forage01","28","181009","0.0-8.0-20.0","A2COAUZ1TISD2Q","1517428512025","1","32","diamond","100000","diamond","510000"
"316","","forage01","29","181430","0.0-8.0-21.0","A2COAUZ1TISD2Q","1517428512025","1","31","diamond","100000","diamond","610000"
"312","","forage01","30","181847","0.0-8.0-22.0","A2COAUZ1TISD2Q","1517428512025","1","30","diamond","100000","diamond","710000"
"410","","forage01","31","182363","0.0-8.0-23.0","A2COAUZ1TISD2Q","1517428512025","1","29","diamond","100000","diamond","810000"
"475","","forage01","32","182943","0.0-8.0-24.0","A2COAUZ1TISD2Q","1517428512025","1","28","diamond","100000","diamond","910000"
"277","","forage01","33","183326","0.0-8.0-25.0","A2COAUZ1TISD2Q","1517428512025","1","27","diamond","100000","diamond","1010000"
"80","","forage01","34","183511","0.0-8.0-26.0","A2COAUZ1TISD2Q","1517428512025","1","26","diamond","100000","diamond","1110000"
"462","","forage01","35","184078","0.0-8.0-27.0","A2COAUZ1TISD2Q","1517428512025","1","25","diamond","100000","diamond","1210000"
"265","","forage01","36","184449","0.0-8.0-28.0","A2COAUZ1TISD2Q","1517428512025","1","24","diamond","100000","diamond","1310000"
"782","","forage01","37","185336","0.0-8.0-29.0","A2COAUZ1TISD2Q","1517428512025","0","23","dirt","0","diamond","1310000"
"564","","forage01","38","186009","0.0-8.0-30.0","A2COAUZ1TISD2Q","1517428512025","1","22","diamond","100000","diamond","1410000"
"428","","forage01","39","186540","0.0-8.0-31.0","A2COAUZ1TISD2Q","1517428512025","1","21","diamond","100000","diamond","1510000"
"378","","forage01","40","187022","0.0-8.0-32.0","A2COAUZ1TISD2Q","1517428512025","1","20","diamond","100000","diamond","1610000"
"502","","forage01","41","187632","0.0-8.0-33.0","A2COAUZ1TISD2Q","1517428512025","1","19","diamond","100000","diamond","1710000"
"386","","forage01","42","188123","0.0-8.0-34.0","A2COAUZ1TISD2Q","1517428512025","1","18","diamond","100000","diamond","1810000"
"662","","forage01","43","188890","0.0-8.0-35.0","A2COAUZ1TISD2Q","1517428512025","0","17","dirt","0","diamond","1810000"
"444","","forage01","44","189440","0.0-8.0-36.0","A2COAUZ1TISD2Q","1517428512025","1","16","diamond","100000","diamond","1910000"
"368","","forage01","45","189913","0.0-8.0-37.0","A2COAUZ1TISD2Q","1517428512025","1","15","diamond","100000","diamond","2010000"
"325","","forage01","46","190344","0.0-8.0-38.0","A2COAUZ1TISD2Q","1517428512025","1","14","diamond","100000","diamond","2110000"
"301","","forage01","47","190752","0.0-8.0-39.0","A2COAUZ1TISD2Q","1517428512025","1","13","diamond","100000","diamond","2210000"
"450","","forage01","48","191307","0.0-8.0-40.0","A2COAUZ1TISD2Q","1517428512025","0","12","dirt","0","diamond","2210000"
"414","","forage01","49","191827","0.0-8.0-41.0","A2COAUZ1TISD2Q","1517428512025","1","11","diamond","100000","diamond","2310000"
