"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"11144","32","text","0","11148","0.0-0.0","A2CWJRAEFZ44HU","1516908542585","","","","","",""
"2761","32","text","1","14018","0.0-1.0","A2CWJRAEFZ44HU","1516908542585","","","","","",""
"2807","32","text","2","16927","0.0-2.0","A2CWJRAEFZ44HU","1516908542585","","","","","",""
"41699","32","text","3","58736","0.0-3.0","A2CWJRAEFZ44HU","1516908542585","","","","","",""
"28129","32","mine-text","4","87115","0.0-4.0","A2CWJRAEFZ44HU","1516908542585","","","","","",""
"31661","32","text","5","118879","0.0-5.0","A2CWJRAEFZ44HU","1516908542585","","","","","",""
"12525","32","text","6","131505","0.0-6.0","A2CWJRAEFZ44HU","1516908542585","","","","","",""
"16246","32","mine-text","7","148008","0.0-7.0","A2CWJRAEFZ44HU","1516908542585","","","","","",""
"5712","","forage01","8","153829","0.0-8.0-0.0","A2CWJRAEFZ44HU","1516908542585","0","52","dirt","0","no mineshafts yet","0"
"5081","","forage01","9","159018","0.0-8.0-1.0","A2CWJRAEFZ44HU","1516908542585","0","51","gold","0","dirt","0"
"3442","","forage01","10","162563","0.0-8.0-2.0","A2CWJRAEFZ44HU","1516908542585","0","50","dirt","0","gold","0"
"710","","forage01","11","163379","0.0-8.0-3.0","A2CWJRAEFZ44HU","1516908542585","0","49","gold","0","gold","0"
"8725","","forage01","12","172210","0.0-8.0-4.0","A2CWJRAEFZ44HU","1516908542585","0","48","dirt","0","gold","0"
"666","","forage01","13","172984","0.0-8.0-5.0","A2CWJRAEFZ44HU","1516908542585","0","47","dirt","0","gold","0"
"502","","forage01","14","173590","0.0-8.0-6.0","A2CWJRAEFZ44HU","1516908542585","0","46","dirt","0","gold","0"
"520","","forage01","15","174215","0.0-8.0-7.0","A2CWJRAEFZ44HU","1516908542585","0","45","dirt","0","gold","0"
"520","","forage01","16","174839","0.0-8.0-8.0","A2CWJRAEFZ44HU","1516908542585","0","44","dirt","0","gold","0"
"515","","forage01","17","175461","0.0-8.0-9.0","A2CWJRAEFZ44HU","1516908542585","0","43","dirt","0","gold","0"
"481","","forage01","18","176052","0.0-8.0-10.0","A2CWJRAEFZ44HU","1516908542585","0","42","dirt","0","gold","0"
"596","","forage01","19","176755","0.0-8.0-11.0","A2CWJRAEFZ44HU","1516908542585","0","41","gold","0","gold","0"
