"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"11433","32","text","0","11436","0.0-0.0","A2EYPSP4BXAZZ2","1516908850497","","","","","",""
"8197","32","text","1","19740","0.0-1.0","A2EYPSP4BXAZZ2","1516908850497","","","","","",""
"1617","32","text","2","21458","0.0-2.0","A2EYPSP4BXAZZ2","1516908850497","","","","","",""
"18702","32","text","3","40266","0.0-3.0","A2EYPSP4BXAZZ2","1516908850497","","","","","",""
"28950","32","mine-text","4","69428","0.0-4.0","A2EYPSP4BXAZZ2","1516908850497","","","","","",""
"29949","32","text","5","99479","0.0-5.0","A2EYPSP4BXAZZ2","1516908850497","","","","","",""
"9359","32","text","6","108939","0.0-6.0","A2EYPSP4BXAZZ2","1516908850497","","","","","",""
"15718","32","mine-text","7","124875","0.0-7.0","A2EYPSP4BXAZZ2","1516908850497","","","","","",""
"8026","","forage01","8","133006","0.0-8.0-0.0","A2EYPSP4BXAZZ2","1516908850497","0","52","dirt","0","no mineshafts yet","0"
"5763","","forage01","9","138873","0.0-8.0-1.0","A2EYPSP4BXAZZ2","1516908850497","0","51","dirt","0","dirt","0"
"2275","","forage01","10","141253","0.0-8.0-2.0","A2EYPSP4BXAZZ2","1516908850497","0","50","dirt","0","dirt","0"
"1200","","forage01","11","142557","0.0-8.0-3.0","A2EYPSP4BXAZZ2","1516908850497","0","49","diamond","0","dirt","0"
"9055","","forage01","12","151717","0.0-8.0-4.0","A2EYPSP4BXAZZ2","1516908850497","1","48","diamond","100000","diamond","100000"
"1563","","forage01","13","153385","0.0-8.0-5.0","A2EYPSP4BXAZZ2","1516908850497","1","47","diamond","100000","diamond","200000"
"2670","","forage01","14","156157","0.0-8.0-6.0","A2EYPSP4BXAZZ2","1516908850497","1","46","diamond","100000","diamond","300000"
"3439","","forage01","15","159701","0.0-8.0-7.0","A2EYPSP4BXAZZ2","1516908850497","1","45","diamond","100000","diamond","400000"
"432","","forage01","16","160237","0.0-8.0-8.0","A2EYPSP4BXAZZ2","1516908850497","1","44","diamond","100000","diamond","500000"
"183","","forage01","17","160525","0.0-8.0-9.0","A2EYPSP4BXAZZ2","1516908850497","1","43","diamond","100000","diamond","600000"
"121","","forage01","18","160749","0.0-8.0-10.0","A2EYPSP4BXAZZ2","1516908850497","1","42","diamond","100000","diamond","700000"
"230","","forage01","19","161085","0.0-8.0-11.0","A2EYPSP4BXAZZ2","1516908850497","1","41","diamond","100000","diamond","800000"
"247","","forage01","20","161437","0.0-8.0-12.0","A2EYPSP4BXAZZ2","1516908850497","1","40","diamond","100000","diamond","900000"
"363","","forage01","21","161905","0.0-8.0-13.0","A2EYPSP4BXAZZ2","1516908850497","1","39","diamond","100000","diamond","1000000"
"282","","forage01","22","162290","0.0-8.0-14.0","A2EYPSP4BXAZZ2","1516908850497","1","38","diamond","100000","diamond","1100000"
"294","","forage01","23","162689","0.0-8.0-15.0","A2EYPSP4BXAZZ2","1516908850497","1","37","diamond","100000","diamond","1200000"
"231","","forage01","24","163025","0.0-8.0-16.0","A2EYPSP4BXAZZ2","1516908850497","1","36","diamond","100000","diamond","1300000"
"270","","forage01","25","163401","0.0-8.0-17.0","A2EYPSP4BXAZZ2","1516908850497","1","35","diamond","100000","diamond","1400000"
"258","","forage01","26","163761","0.0-8.0-18.0","A2EYPSP4BXAZZ2","1516908850497","1","34","diamond","100000","diamond","1500000"
