"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"6614","32","text","0","6618","0.0-0.0","A2JP9IKRHNLRPI","1516905438054","","","","","",""
"2322","32","text","1","9041","0.0-1.0","A2JP9IKRHNLRPI","1516905438054","","","","","",""
"1547","32","text","2","10688","0.0-2.0","A2JP9IKRHNLRPI","1516905438054","","","","","",""
"9279","32","text","3","20069","0.0-3.0","A2JP9IKRHNLRPI","1516905438054","","","","","",""
"10916","32","mine-text","4","31236","0.0-4.0","A2JP9IKRHNLRPI","1516905438054","","","","","",""
"12277","32","text","5","43614","0.0-5.0","A2JP9IKRHNLRPI","1516905438054","","","","","",""
"7824","32","text","6","51539","0.0-6.0","A2JP9IKRHNLRPI","1516905438054","","","","","",""
"5958","32","mine-text","7","57766","0.0-7.0","A2JP9IKRHNLRPI","1516905438054","","","","","",""
"3938","","forage01","8","61808","0.0-8.0-0.0","A2JP9IKRHNLRPI","1516905438054","0","52","gold","0","no mineshafts yet","0"
"1882","","forage01","9","63793","0.0-8.0-1.0","A2JP9IKRHNLRPI","1516905438054","0","51","dirt","0","gold","0"
"565","","forage01","10","64459","0.0-8.0-2.0","A2JP9IKRHNLRPI","1516905438054","0","50","gold","0","gold","0"
"555","","forage01","11","65116","0.0-8.0-3.0","A2JP9IKRHNLRPI","1516905438054","0","49","dirt","0","gold","0"
"414","","forage01","12","65631","0.0-8.0-4.0","A2JP9IKRHNLRPI","1516905438054","0","48","dirt","0","gold","0"
"456","","forage01","13","66189","0.0-8.0-5.0","A2JP9IKRHNLRPI","1516905438054","0","47","dirt","0","gold","0"
"485","","forage01","14","66777","0.0-8.0-6.0","A2JP9IKRHNLRPI","1516905438054","0","46","dirt","0","gold","0"
"463","","forage01","15","67343","0.0-8.0-7.0","A2JP9IKRHNLRPI","1516905438054","0","45","dirt","0","gold","0"
"476","","forage01","16","67922","0.0-8.0-8.0","A2JP9IKRHNLRPI","1516905438054","0","44","dirt","0","gold","0"
"500","","forage01","17","68523","0.0-8.0-9.0","A2JP9IKRHNLRPI","1516905438054","0","43","dirt","0","gold","0"
"731","","forage01","18","69355","0.0-8.0-10.0","A2JP9IKRHNLRPI","1516905438054","0","42","dirt","0","gold","0"
"1008","","forage01","19","70467","0.0-8.0-11.0","A2JP9IKRHNLRPI","1516905438054","1","41","gold","1000","gold","1000"
"3561","","forage01","20","74129","0.0-8.0-12.0","A2JP9IKRHNLRPI","1516905438054","1","40","gold","1000","gold","2000"
"472","","forage01","21","74704","0.0-8.0-13.0","A2JP9IKRHNLRPI","1516905438054","1","39","gold","1000","gold","3000"
"313","","forage01","22","75120","0.0-8.0-14.0","A2JP9IKRHNLRPI","1516905438054","1","38","gold","1000","gold","4000"
"298","","forage01","23","75521","0.0-8.0-15.0","A2JP9IKRHNLRPI","1516905438054","1","37","gold","1000","gold","5000"
"199","","forage01","24","75823","0.0-8.0-16.0","A2JP9IKRHNLRPI","1516905438054","1","36","gold","1000","gold","6000"
"111","","forage01","25","76037","0.0-8.0-17.0","A2JP9IKRHNLRPI","1516905438054","1","35","gold","1000","gold","7000"
"273","","forage01","26","76412","0.0-8.0-18.0","A2JP9IKRHNLRPI","1516905438054","1","34","gold","1000","gold","8000"
"305","","forage01","27","76820","0.0-8.0-19.0","A2JP9IKRHNLRPI","1516905438054","1","33","gold","1000","gold","9000"
"263","","forage01","28","77187","0.0-8.0-20.0","A2JP9IKRHNLRPI","1516905438054","1","32","gold","1000","gold","10000"
"305","","forage01","29","77594","0.0-8.0-21.0","A2JP9IKRHNLRPI","1516905438054","1","31","gold","1000","gold","11000"
"318","","forage01","30","78014","0.0-8.0-22.0","A2JP9IKRHNLRPI","1516905438054","1","30","gold","1000","gold","12000"
"313","","forage01","31","78428","0.0-8.0-23.0","A2JP9IKRHNLRPI","1516905438054","1","29","gold","1000","gold","13000"
"304","","forage01","32","78835","0.0-8.0-24.0","A2JP9IKRHNLRPI","1516905438054","1","28","gold","1000","gold","14000"
"321","","forage01","33","79258","0.0-8.0-25.0","A2JP9IKRHNLRPI","1516905438054","1","27","gold","1000","gold","15000"
"535","","forage01","34","79896","0.0-8.0-26.0","A2JP9IKRHNLRPI","1516905438054","1","26","gold","1000","gold","16000"
"376","","forage01","35","80374","0.0-8.0-27.0","A2JP9IKRHNLRPI","1516905438054","1","25","gold","1000","gold","17000"
"316","","forage01","36","80794","0.0-8.0-28.0","A2JP9IKRHNLRPI","1516905438054","1","24","gold","1000","gold","18000"
"358","","forage01","37","81255","0.0-8.0-29.0","A2JP9IKRHNLRPI","1516905438054","1","23","gold","1000","gold","19000"
"310","","forage01","38","81667","0.0-8.0-30.0","A2JP9IKRHNLRPI","1516905438054","1","22","gold","1000","gold","20000"
"295","","forage01","39","82065","0.0-8.0-31.0","A2JP9IKRHNLRPI","1516905438054","1","21","gold","1000","gold","21000"
"314","","forage01","40","82483","0.0-8.0-32.0","A2JP9IKRHNLRPI","1516905438054","1","20","gold","1000","gold","22000"
"281","","forage01","41","82868","0.0-8.0-33.0","A2JP9IKRHNLRPI","1516905438054","1","19","gold","1000","gold","23000"
"280","","forage01","42","83251","0.0-8.0-34.0","A2JP9IKRHNLRPI","1516905438054","1","18","gold","1000","gold","24000"
"293","","forage01","43","83648","0.0-8.0-35.0","A2JP9IKRHNLRPI","1516905438054","1","17","gold","1000","gold","25000"
"267","","forage01","44","84016","0.0-8.0-36.0","A2JP9IKRHNLRPI","1516905438054","1","16","gold","1000","gold","26000"
"156","","forage01","45","84274","0.0-8.0-37.0","A2JP9IKRHNLRPI","1516905438054","1","15","gold","1000","gold","27000"
"95","","forage01","46","84473","0.0-8.0-38.0","A2JP9IKRHNLRPI","1516905438054","1","14","gold","1000","gold","28000"
"129","","forage01","47","84704","0.0-8.0-39.0","A2JP9IKRHNLRPI","1516905438054","1","13","gold","1000","gold","29000"
"114","","forage01","48","84920","0.0-8.0-40.0","A2JP9IKRHNLRPI","1516905438054","1","12","gold","1000","gold","30000"
"316","","forage01","49","85340","0.0-8.0-41.0","A2JP9IKRHNLRPI","1516905438054","1","11","gold","1000","gold","31000"
"137","","forage01","50","85578","0.0-8.0-42.0","A2JP9IKRHNLRPI","1516905438054","1","10","gold","1000","gold","32000"
"113","","forage01","51","85793","0.0-8.0-43.0","A2JP9IKRHNLRPI","1516905438054","1","9","gold","1000","gold","33000"
"127","","forage01","52","86022","0.0-8.0-44.0","A2JP9IKRHNLRPI","1516905438054","1","8","gold","1000","gold","34000"
"371","","forage01","53","86495","0.0-8.0-45.0","A2JP9IKRHNLRPI","1516905438054","1","7","gold","1000","gold","35000"
"453","","forage01","54","87050","0.0-8.0-46.0","A2JP9IKRHNLRPI","1516905438054","1","6","gold","1000","gold","36000"
"305","","forage01","55","87457","0.0-8.0-47.0","A2JP9IKRHNLRPI","1516905438054","1","5","gold","1000","gold","37000"
"310","","forage01","56","87869","0.0-8.0-48.0","A2JP9IKRHNLRPI","1516905438054","1","4","gold","1000","gold","38000"
"328","","forage01","57","88298","0.0-8.0-49.0","A2JP9IKRHNLRPI","1516905438054","1","3","gold","1000","gold","39000"
"315","","forage01","58","88717","0.0-8.0-50.0","A2JP9IKRHNLRPI","1516905438054","1","2","gold","1000","gold","40000"
"349","","forage01","59","89169","0.0-8.0-51.0","A2JP9IKRHNLRPI","1516905438054","1","1","gold","1000","gold","41000"
"1567","32","mine-text","60","91000","0.0-9.0","A2JP9IKRHNLRPI","1516905438054","","","","","",""
"1522","","forage01","61","92624","0.0-10.0-0.0","A2JP9IKRHNLRPI","1516905438054","0","52","dirt","0","no mineshafts yet","0"
