"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"9014","32","text","0","9017","0.0-0.0","A2KPT0PEUEXCC4","1517431613771","","","","","",""
"9273","32","text","1","18391","0.0-1.0","A2KPT0PEUEXCC4","1517431613771","","","","","",""
"4291","32","text","2","22784","0.0-2.0","A2KPT0PEUEXCC4","1517431613771","","","","","",""
"25287","32","text","3","48173","0.0-3.0","A2KPT0PEUEXCC4","1517431613771","","","","","",""
"55369","32","mine-text","4","103761","0.0-4.0","A2KPT0PEUEXCC4","1517431613771","","","","","",""
"35048","32","text","5","138911","0.0-5.0","A2KPT0PEUEXCC4","1517431613771","","","","","",""
"18577","32","text","6","157589","0.0-6.0","A2KPT0PEUEXCC4","1517431613771","","","","","",""
"43498","32","mine-text","7","201333","0.0-7.0","A2KPT0PEUEXCC4","1517431613771","","","","","",""
"17484","","forage01","8","218921","0.0-8.0-0.0","A2KPT0PEUEXCC4","1517431613771","0","52","dirt","0","no mineshafts yet","0"
"8207","","forage01","9","227231","0.0-8.0-1.0","A2KPT0PEUEXCC4","1517431613771","1","51","dirt","0","dirt","0"
"2463","","forage01","10","229797","0.0-8.0-2.0","A2KPT0PEUEXCC4","1517431613771","1","50","dirt","0","dirt","0"
"3063","","forage01","11","232962","0.0-8.0-3.0","A2KPT0PEUEXCC4","1517431613771","0","49","dirt","0","dirt","0"
"2228","","forage01","12","235292","0.0-8.0-4.0","A2KPT0PEUEXCC4","1517431613771","0","48","dirt","0","dirt","0"
"2394","","forage01","13","237788","0.0-8.0-5.0","A2KPT0PEUEXCC4","1517431613771","0","47","gold","0","dirt","0"
"5761","","forage01","14","243652","0.0-8.0-6.0","A2KPT0PEUEXCC4","1517431613771","1","46","gold","1000","gold","1000"
"1851","","forage01","15","245607","0.0-8.0-7.0","A2KPT0PEUEXCC4","1517431613771","1","45","gold","1000","gold","2000"
"1519","","forage01","16","247229","0.0-8.0-8.0","A2KPT0PEUEXCC4","1517431613771","1","44","gold","1000","gold","3000"
