"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"3330","32","text","0","3345","0.0-0.0","A2MKUZ0K3S7NQU","1517428160987","","","","","",""
"8085","32","text","1","8099","0.0-1.0","A2MKUZ0K3S7NQU","1517428160987","","","","","",""
"9937","32","text","2","9950","0.0-2.0","A2MKUZ0K3S7NQU","1517428160987","","","","","",""
"15486","32","text","3","15499","0.0-3.0","A2MKUZ0K3S7NQU","1517428160987","","","","","",""
"63690","32","mine-text","4","63768","0.0-4.0","A2MKUZ0K3S7NQU","1517428160987","","","","","",""
"65871","32","text","5","65884","0.0-5.0","A2MKUZ0K3S7NQU","1517428160987","","","","","",""
"67563","32","text","6","67576","0.0-6.0","A2MKUZ0K3S7NQU","1517428160987","","","","","",""
"78904","32","mine-text","7","78985","0.0-7.0","A2MKUZ0K3S7NQU","1517428160987","","","","","",""
"21291","","forage01","8","100388","0.0-8.0-0.0","A2MKUZ0K3S7NQU","1517428160987","0","52","dirt","0","no mineshafts yet","0"
"6057","","forage01","9","106556","0.0-8.0-1.0","A2MKUZ0K3S7NQU","1517428160987","0","51","dirt","0","dirt","0"
"2207","","forage01","10","108874","0.0-8.0-2.0","A2MKUZ0K3S7NQU","1517428160987","0","50","dirt","0","dirt","0"
"2350","","forage01","11","111333","0.0-8.0-3.0","A2MKUZ0K3S7NQU","1517428160987","1","49","dirt","0","dirt","0"
"1037","","forage01","12","112482","0.0-8.0-4.0","A2MKUZ0K3S7NQU","1517428160987","0","48","dirt","0","dirt","0"
"1384","","forage01","13","113977","0.0-8.0-5.0","A2MKUZ0K3S7NQU","1517428160987","0","47","dirt","0","dirt","0"
"1160","","forage01","14","115246","0.0-8.0-6.0","A2MKUZ0K3S7NQU","1517428160987","0","46","dirt","0","dirt","0"
"1242","","forage01","15","116596","0.0-8.0-7.0","A2MKUZ0K3S7NQU","1517428160987","0","45","dirt","0","dirt","0"
"1304","","forage01","16","118009","0.0-8.0-8.0","A2MKUZ0K3S7NQU","1517428160987","0","44","dirt","0","dirt","0"
"1105","","forage01","17","119229","0.0-8.0-9.0","A2MKUZ0K3S7NQU","1517428160987","0","43","gold","0","dirt","0"
"2015","","forage01","18","121353","0.0-8.0-10.0","A2MKUZ0K3S7NQU","1517428160987","1","42","gold","1000","gold","1000"
"1617","","forage01","19","123082","0.0-8.0-11.0","A2MKUZ0K3S7NQU","1517428160987","1","41","gold","1000","gold","2000"
"985","","forage01","20","124180","0.0-8.0-12.0","A2MKUZ0K3S7NQU","1517428160987","1","40","gold","1000","gold","3000"
"1130","","forage01","21","125421","0.0-8.0-13.0","A2MKUZ0K3S7NQU","1517428160987","1","39","gold","1000","gold","4000"
"2254","","forage01","22","127787","0.0-8.0-14.0","A2MKUZ0K3S7NQU","1517428160987","1","38","gold","1000","gold","5000"
"699","","forage01","23","128598","0.0-8.0-15.0","A2MKUZ0K3S7NQU","1517428160987","1","37","gold","1000","gold","6000"
"697","","forage01","24","129405","0.0-8.0-16.0","A2MKUZ0K3S7NQU","1517428160987","1","36","gold","1000","gold","7000"
"2423","","forage01","25","131940","0.0-8.0-17.0","A2MKUZ0K3S7NQU","1517428160987","1","35","gold","1000","gold","8000"
"1349","","forage01","26","133402","0.0-8.0-18.0","A2MKUZ0K3S7NQU","1517428160987","1","34","gold","1000","gold","9000"
"991","","forage01","27","134502","0.0-8.0-19.0","A2MKUZ0K3S7NQU","1517428160987","1","33","gold","1000","gold","10000"
"584","","forage01","28","135201","0.0-8.0-20.0","A2MKUZ0K3S7NQU","1517428160987","1","32","gold","1000","gold","11000"
"554","","forage01","29","135877","0.0-8.0-21.0","A2MKUZ0K3S7NQU","1517428160987","1","31","gold","1000","gold","12000"
"589","","forage01","30","136581","0.0-8.0-22.0","A2MKUZ0K3S7NQU","1517428160987","1","30","gold","1000","gold","13000"
"591","","forage01","31","137288","0.0-8.0-23.0","A2MKUZ0K3S7NQU","1517428160987","1","29","gold","1000","gold","14000"
"466","","forage01","32","137869","0.0-8.0-24.0","A2MKUZ0K3S7NQU","1517428160987","1","28","gold","1000","gold","15000"
"424","","forage01","33","138414","0.0-8.0-25.0","A2MKUZ0K3S7NQU","1517428160987","1","27","gold","1000","gold","16000"
"434","","forage01","34","138960","0.0-8.0-26.0","A2MKUZ0K3S7NQU","1517428160987","1","26","gold","1000","gold","17000"
"394","","forage01","35","139462","0.0-8.0-27.0","A2MKUZ0K3S7NQU","1517428160987","1","25","gold","1000","gold","18000"
"468","","forage01","36","140043","0.0-8.0-28.0","A2MKUZ0K3S7NQU","1517428160987","1","24","gold","1000","gold","19000"
"396","","forage01","37","140549","0.0-8.0-29.0","A2MKUZ0K3S7NQU","1517428160987","1","23","gold","1000","gold","20000"
"394","","forage01","38","141056","0.0-8.0-30.0","A2MKUZ0K3S7NQU","1517428160987","1","22","gold","1000","gold","21000"
"348","","forage01","39","141515","0.0-8.0-31.0","A2MKUZ0K3S7NQU","1517428160987","1","21","gold","1000","gold","22000"
"5650","","forage01","40","147274","0.0-8.0-32.0","A2MKUZ0K3S7NQU","1517428160987","1","20","gold","1000","gold","23000"
"650","","forage01","41","148033","0.0-8.0-33.0","A2MKUZ0K3S7NQU","1517428160987","1","19","gold","1000","gold","24000"
"567","","forage01","42","148710","0.0-8.0-34.0","A2MKUZ0K3S7NQU","1517428160987","1","18","gold","1000","gold","25000"
"476","","forage01","43","149301","0.0-8.0-35.0","A2MKUZ0K3S7NQU","1517428160987","1","17","gold","1000","gold","26000"
"787","","forage01","44","150196","0.0-8.0-36.0","A2MKUZ0K3S7NQU","1517428160987","1","16","gold","1000","gold","27000"
"387","","forage01","45","150691","0.0-8.0-37.0","A2MKUZ0K3S7NQU","1517428160987","1","15","gold","1000","gold","28000"
"228","","forage01","46","151029","0.0-8.0-38.0","A2MKUZ0K3S7NQU","1517428160987","1","14","gold","1000","gold","29000"
"143","","forage01","47","151281","0.0-8.0-39.0","A2MKUZ0K3S7NQU","1517428160987","1","13","gold","1000","gold","30000"
"105","","forage01","48","151500","0.0-8.0-40.0","A2MKUZ0K3S7NQU","1517428160987","1","12","gold","1000","gold","31000"
"140","","forage01","49","151753","0.0-8.0-41.0","A2MKUZ0K3S7NQU","1517428160987","1","11","gold","1000","gold","32000"
"183","","forage01","50","152055","0.0-8.0-42.0","A2MKUZ0K3S7NQU","1517428160987","1","10","gold","1000","gold","33000"
"148","","forage01","51","152319","0.0-8.0-43.0","A2MKUZ0K3S7NQU","1517428160987","1","9","gold","1000","gold","34000"
"154","","forage01","52","152584","0.0-8.0-44.0","A2MKUZ0K3S7NQU","1517428160987","1","8","gold","1000","gold","35000"
"155","","forage01","53","152852","0.0-8.0-45.0","A2MKUZ0K3S7NQU","1517428160987","1","7","gold","1000","gold","36000"
"182","","forage01","54","153155","0.0-8.0-46.0","A2MKUZ0K3S7NQU","1517428160987","1","6","gold","1000","gold","37000"
"212","","forage01","55","153479","0.0-8.0-47.0","A2MKUZ0K3S7NQU","1517428160987","1","5","gold","1000","gold","38000"
"169","","forage01","56","153758","0.0-8.0-48.0","A2MKUZ0K3S7NQU","1517428160987","1","4","gold","1000","gold","39000"
"542","","forage01","57","154420","0.0-8.0-49.0","A2MKUZ0K3S7NQU","1517428160987","1","3","gold","1000","gold","40000"
"455","","forage01","58","154987","0.0-8.0-50.0","A2MKUZ0K3S7NQU","1517428160987","1","2","gold","1000","gold","41000"
