"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"6224","32","text","0","6227","0.0-0.0","A2MQGU4NZZ8V0H","1516908553811","","","","","",""
"8530","32","text","1","14859","0.0-1.0","A2MQGU4NZZ8V0H","1516908553811","","","","","",""
"2442","32","text","2","17402","0.0-2.0","A2MQGU4NZZ8V0H","1516908553811","","","","","",""
"25179","32","text","3","42682","0.0-3.0","A2MQGU4NZZ8V0H","1516908553811","","","","","",""
"17649","32","mine-text","4","60601","0.0-4.0","A2MQGU4NZZ8V0H","1516908553811","","","","","",""
"27955","32","text","5","88656","0.0-5.0","A2MQGU4NZZ8V0H","1516908553811","","","","","",""
"9026","32","text","6","97783","0.0-6.0","A2MQGU4NZZ8V0H","1516908553811","","","","","",""
"7208","32","mine-text","7","105271","0.0-7.0","A2MQGU4NZZ8V0H","1516908553811","","","","","",""
"6594","","forage01","8","111968","0.0-8.0-0.0","A2MQGU4NZZ8V0H","1516908553811","0","52","dirt","0","no mineshafts yet","0"
"3632","","forage01","9","115703","0.0-8.0-1.0","A2MQGU4NZZ8V0H","1516908553811","0","51","gold","0","dirt","0"
"6738","","forage01","10","122543","0.0-8.0-2.0","A2MQGU4NZZ8V0H","1516908553811","0","50","dirt","0","gold","0"
"5770","","forage01","11","128415","0.0-8.0-3.0","A2MQGU4NZZ8V0H","1516908553811","0","49","dirt","0","gold","0"
"2514","","forage01","12","131030","0.0-8.0-4.0","A2MQGU4NZZ8V0H","1516908553811","0","48","dirt","0","gold","0"
"2130","","forage01","13","133262","0.0-8.0-5.0","A2MQGU4NZZ8V0H","1516908553811","1","47","gold","1000","gold","1000"
"1602","","forage01","14","134967","0.0-8.0-6.0","A2MQGU4NZZ8V0H","1516908553811","1","46","gold","1000","gold","2000"
"586","","forage01","15","135654","0.0-8.0-7.0","A2MQGU4NZZ8V0H","1516908553811","1","45","gold","1000","gold","3000"
"506","","forage01","16","136262","0.0-8.0-8.0","A2MQGU4NZZ8V0H","1516908553811","1","44","gold","1000","gold","4000"
"394","","forage01","17","136758","0.0-8.0-9.0","A2MQGU4NZZ8V0H","1516908553811","1","43","gold","1000","gold","5000"
"122","","forage01","18","136983","0.0-8.0-10.0","A2MQGU4NZZ8V0H","1516908553811","1","42","gold","1000","gold","6000"
"98","","forage01","19","137182","0.0-8.0-11.0","A2MQGU4NZZ8V0H","1516908553811","1","41","gold","1000","gold","7000"
"98","","forage01","20","137382","0.0-8.0-12.0","A2MQGU4NZZ8V0H","1516908553811","1","40","gold","1000","gold","8000"
"306","","forage01","21","137790","0.0-8.0-13.0","A2MQGU4NZZ8V0H","1516908553811","1","39","gold","1000","gold","9000"
"299","","forage01","22","138192","0.0-8.0-14.0","A2MQGU4NZZ8V0H","1516908553811","1","38","gold","1000","gold","10000"
"288","","forage01","23","138582","0.0-8.0-15.0","A2MQGU4NZZ8V0H","1516908553811","1","37","gold","1000","gold","11000"
"122","","forage01","24","138806","0.0-8.0-16.0","A2MQGU4NZZ8V0H","1516908553811","1","36","gold","1000","gold","12000"
"314","","forage01","25","139222","0.0-8.0-17.0","A2MQGU4NZZ8V0H","1516908553811","1","35","gold","1000","gold","13000"
"330","","forage01","26","139654","0.0-8.0-18.0","A2MQGU4NZZ8V0H","1516908553811","1","34","gold","1000","gold","14000"
"138","","forage01","27","139894","0.0-8.0-19.0","A2MQGU4NZZ8V0H","1516908553811","1","33","gold","1000","gold","15000"
"130","","forage01","28","140126","0.0-8.0-20.0","A2MQGU4NZZ8V0H","1516908553811","1","32","gold","1000","gold","16000"
"330","","forage01","29","140558","0.0-8.0-21.0","A2MQGU4NZZ8V0H","1516908553811","1","31","gold","1000","gold","17000"
"129","","forage01","30","140790","0.0-8.0-22.0","A2MQGU4NZZ8V0H","1516908553811","1","30","gold","1000","gold","18000"
"114","","forage01","31","141006","0.0-8.0-23.0","A2MQGU4NZZ8V0H","1516908553811","1","29","gold","1000","gold","19000"
"138","","forage01","32","141246","0.0-8.0-24.0","A2MQGU4NZZ8V0H","1516908553811","1","28","gold","1000","gold","20000"
"114","","forage01","33","141462","0.0-8.0-25.0","A2MQGU4NZZ8V0H","1516908553811","1","27","gold","1000","gold","21000"
"122","","forage01","34","141686","0.0-8.0-26.0","A2MQGU4NZZ8V0H","1516908553811","1","26","gold","1000","gold","22000"
"122","","forage01","35","141910","0.0-8.0-27.0","A2MQGU4NZZ8V0H","1516908553811","1","25","gold","1000","gold","23000"
"122","","forage01","36","142134","0.0-8.0-28.0","A2MQGU4NZZ8V0H","1516908553811","1","24","gold","1000","gold","24000"
"122","","forage01","37","142358","0.0-8.0-29.0","A2MQGU4NZZ8V0H","1516908553811","1","23","gold","1000","gold","25000"
"114","","forage01","38","142574","0.0-8.0-30.0","A2MQGU4NZZ8V0H","1516908553811","1","22","gold","1000","gold","26000"
"114","","forage01","39","142790","0.0-8.0-31.0","A2MQGU4NZZ8V0H","1516908553811","1","21","gold","1000","gold","27000"
"314","","forage01","40","143206","0.0-8.0-32.0","A2MQGU4NZZ8V0H","1516908553811","1","20","gold","1000","gold","28000"
"130","","forage01","41","143438","0.0-8.0-33.0","A2MQGU4NZZ8V0H","1516908553811","1","19","gold","1000","gold","29000"
"129","","forage01","42","143670","0.0-8.0-34.0","A2MQGU4NZZ8V0H","1516908553811","1","18","gold","1000","gold","30000"
"106","","forage01","43","143878","0.0-8.0-35.0","A2MQGU4NZZ8V0H","1516908553811","1","17","gold","1000","gold","31000"
"106","","forage01","44","144086","0.0-8.0-36.0","A2MQGU4NZZ8V0H","1516908553811","1","16","gold","1000","gold","32000"
"305","","forage01","45","144494","0.0-8.0-37.0","A2MQGU4NZZ8V0H","1516908553811","1","15","gold","1000","gold","33000"
"297","","forage01","46","144894","0.0-8.0-38.0","A2MQGU4NZZ8V0H","1516908553811","1","14","gold","1000","gold","34000"
"105","","forage01","47","145102","0.0-8.0-39.0","A2MQGU4NZZ8V0H","1516908553811","1","13","gold","1000","gold","35000"
"305","","forage01","48","145510","0.0-8.0-40.0","A2MQGU4NZZ8V0H","1516908553811","1","12","gold","1000","gold","36000"
"297","","forage01","49","145910","0.0-8.0-41.0","A2MQGU4NZZ8V0H","1516908553811","1","11","gold","1000","gold","37000"
"113","","forage01","50","146126","0.0-8.0-42.0","A2MQGU4NZZ8V0H","1516908553811","1","10","gold","1000","gold","38000"
"121","","forage01","51","146350","0.0-8.0-43.0","A2MQGU4NZZ8V0H","1516908553811","1","9","gold","1000","gold","39000"
"337","","forage01","52","146790","0.0-8.0-44.0","A2MQGU4NZZ8V0H","1516908553811","1","8","gold","1000","gold","40000"
"130","","forage01","53","147022","0.0-8.0-45.0","A2MQGU4NZZ8V0H","1516908553811","1","7","gold","1000","gold","41000"
"345","","forage01","54","147470","0.0-8.0-46.0","A2MQGU4NZZ8V0H","1516908553811","1","6","gold","1000","gold","42000"
"138","","forage01","55","147710","0.0-8.0-47.0","A2MQGU4NZZ8V0H","1516908553811","1","5","gold","1000","gold","43000"
"113","","forage01","56","147926","0.0-8.0-48.0","A2MQGU4NZZ8V0H","1516908553811","1","4","gold","1000","gold","44000"
"111","","forage01","57","148142","0.0-8.0-49.0","A2MQGU4NZZ8V0H","1516908553811","1","3","gold","1000","gold","45000"
"137","","forage01","58","148382","0.0-8.0-50.0","A2MQGU4NZZ8V0H","1516908553811","1","2","gold","1000","gold","46000"
"130","","forage01","59","148614","0.0-8.0-51.0","A2MQGU4NZZ8V0H","1516908553811","1","1","gold","1000","gold","47000"
"4830","32","mine-text","60","153717","0.0-9.0","A2MQGU4NZZ8V0H","1516908553811","","","","","",""
"1634","","forage01","61","155454","0.0-10.0-0.0","A2MQGU4NZZ8V0H","1516908553811","0","52","dirt","0","no mineshafts yet","0"
"818","","forage01","62","156374","0.0-10.0-1.0","A2MQGU4NZZ8V0H","1516908553811","0","51","dirt","0","dirt","0"
