"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"111943","32","text","0","111949","0.0-0.0","A2ONILC0LZKG6Y","1516907152796","","","","","",""
"16681","32","text","1","128737","0.0-1.0","A2ONILC0LZKG6Y","1516907152796","","","","","",""
"3169","32","text","2","132009","0.0-2.0","A2ONILC0LZKG6Y","1516907152796","","","","","",""
"32214","32","text","3","164335","0.0-3.0","A2ONILC0LZKG6Y","1516907152796","","","","","",""
"48115","32","mine-text","4","212846","0.0-4.0","A2ONILC0LZKG6Y","1516907152796","","","","","",""
"18595","32","text","5","231545","0.0-5.0","A2ONILC0LZKG6Y","1516907152796","","","","","",""
"9955","32","text","6","241604","0.0-6.0","A2ONILC0LZKG6Y","1516907152796","","","","","",""
"9909","32","mine-text","7","251865","0.0-7.0","A2ONILC0LZKG6Y","1516907152796","","","","","",""
"4273","","forage01","8","256247","0.0-8.0-0.0","A2ONILC0LZKG6Y","1516907152796","0","52","gold","0","no mineshafts yet","0"
"11683","","forage01","9","268045","0.0-8.0-1.0","A2ONILC0LZKG6Y","1516907152796","0","51","dirt","0","gold","0"
"2402","","forage01","10","270571","0.0-8.0-2.0","A2ONILC0LZKG6Y","1516907152796","0","50","dirt","0","gold","0"
"1667","","forage01","11","272353","0.0-8.0-3.0","A2ONILC0LZKG6Y","1516907152796","0","49","dirt","0","gold","0"
"1617","","forage01","12","274086","0.0-8.0-4.0","A2ONILC0LZKG6Y","1516907152796","0","48","dirt","0","gold","0"
"1523","","forage01","13","275735","0.0-8.0-5.0","A2ONILC0LZKG6Y","1516907152796","0","47","gold","0","gold","0"
"2139","","forage01","14","277990","0.0-8.0-6.0","A2ONILC0LZKG6Y","1516907152796","0","46","gold","0","gold","0"
"1780","","forage01","15","279878","0.0-8.0-7.0","A2ONILC0LZKG6Y","1516907152796","0","45","dirt","0","gold","0"
"1263","","forage01","16","281247","0.0-8.0-8.0","A2ONILC0LZKG6Y","1516907152796","0","44","gold","0","gold","0"
"1103","","forage01","17","282457","0.0-8.0-9.0","A2ONILC0LZKG6Y","1516907152796","0","43","dirt","0","gold","0"
"3221","","forage01","18","285787","0.0-8.0-10.0","A2ONILC0LZKG6Y","1516907152796","1","42","gold","1000","gold","1000"
"3429","","forage01","19","289325","0.0-8.0-11.0","A2ONILC0LZKG6Y","1516907152796","1","41","gold","1000","gold","2000"
"1332","","forage01","20","290783","0.0-8.0-12.0","A2ONILC0LZKG6Y","1516907152796","1","40","gold","1000","gold","3000"
"1639","","forage01","21","292527","0.0-8.0-13.0","A2ONILC0LZKG6Y","1516907152796","1","39","gold","1000","gold","4000"
"2127","","forage01","22","294761","0.0-8.0-14.0","A2ONILC0LZKG6Y","1516907152796","0","38","gold","0","gold","4000"
"1268","","forage01","23","296142","0.0-8.0-15.0","A2ONILC0LZKG6Y","1516907152796","0","37","dirt","0","gold","4000"
"4068","","forage01","24","300325","0.0-8.0-16.0","A2ONILC0LZKG6Y","1516907152796","0","36","dirt","0","gold","4000"
"1073","","forage01","25","301510","0.0-8.0-17.0","A2ONILC0LZKG6Y","1516907152796","0","35","dirt","0","gold","4000"
"1063","","forage01","26","302695","0.0-8.0-18.0","A2ONILC0LZKG6Y","1516907152796","0","34","dirt","0","gold","4000"
"1017","","forage01","27","303825","0.0-8.0-19.0","A2ONILC0LZKG6Y","1516907152796","0","33","dirt","0","gold","4000"
"894","","forage01","28","304836","0.0-8.0-20.0","A2ONILC0LZKG6Y","1516907152796","0","32","gold","0","gold","4000"
"12746","","forage01","29","317696","0.0-8.0-21.0","A2ONILC0LZKG6Y","1516907152796","0","31","dirt","0","gold","4000"
"1323","","forage01","30","319125","0.0-8.0-22.0","A2ONILC0LZKG6Y","1516907152796","0","30","dirt","0","gold","4000"
"1080","","forage01","31","320319","0.0-8.0-23.0","A2ONILC0LZKG6Y","1516907152796","0","29","dirt","0","gold","4000"
"1735","","forage01","32","322169","0.0-8.0-24.0","A2ONILC0LZKG6Y","1516907152796","0","28","gold","0","gold","4000"
"1000","","forage01","33","323286","0.0-8.0-25.0","A2ONILC0LZKG6Y","1516907152796","0","27","dirt","0","gold","4000"
"1055","","forage01","34","324449","0.0-8.0-26.0","A2ONILC0LZKG6Y","1516907152796","0","26","dirt","0","gold","4000"
"1109","","forage01","35","325673","0.0-8.0-27.0","A2ONILC0LZKG6Y","1516907152796","0","25","gold","0","gold","4000"
"1129","","forage01","36","326917","0.0-8.0-28.0","A2ONILC0LZKG6Y","1516907152796","0","24","dirt","0","gold","4000"
"1033","","forage01","37","328067","0.0-8.0-29.0","A2ONILC0LZKG6Y","1516907152796","0","23","gold","0","gold","4000"
"967","","forage01","38","329151","0.0-8.0-30.0","A2ONILC0LZKG6Y","1516907152796","0","22","dirt","0","gold","4000"
"1040","","forage01","39","330313","0.0-8.0-31.0","A2ONILC0LZKG6Y","1516907152796","0","21","gold","0","gold","4000"
"1131","","forage01","40","331549","0.0-8.0-32.0","A2ONILC0LZKG6Y","1516907152796","0","20","diamond","0","gold","4000"
"2437","","forage01","41","334100","0.0-8.0-33.0","A2ONILC0LZKG6Y","1516907152796","1","19","diamond","100000","diamond","104000"
"849","","forage01","42","335066","0.0-8.0-34.0","A2ONILC0LZKG6Y","1516907152796","1","18","diamond","100000","diamond","204000"
"720","","forage01","43","335922","0.0-8.0-35.0","A2ONILC0LZKG6Y","1516907152796","1","17","diamond","100000","diamond","304000"
"805","","forage01","44","336853","0.0-8.0-36.0","A2ONILC0LZKG6Y","1516907152796","1","16","diamond","100000","diamond","404000"
"697","","forage01","45","337675","0.0-8.0-37.0","A2ONILC0LZKG6Y","1516907152796","1","15","diamond","100000","diamond","504000"
"857","","forage01","46","338651","0.0-8.0-38.0","A2ONILC0LZKG6Y","1516907152796","1","14","diamond","100000","diamond","604000"
"811","","forage01","47","339577","0.0-8.0-39.0","A2ONILC0LZKG6Y","1516907152796","1","13","diamond","100000","diamond","704000"
"725","","forage01","48","340426","0.0-8.0-40.0","A2ONILC0LZKG6Y","1516907152796","1","12","diamond","100000","diamond","804000"
"761","","forage01","49","341311","0.0-8.0-41.0","A2ONILC0LZKG6Y","1516907152796","1","11","diamond","100000","diamond","904000"
"707","","forage01","50","342140","0.0-8.0-42.0","A2ONILC0LZKG6Y","1516907152796","1","10","diamond","100000","diamond","1004000"
"899","","forage01","51","343159","0.0-8.0-43.0","A2ONILC0LZKG6Y","1516907152796","1","9","diamond","100000","diamond","1104000"
"774","","forage01","52","344067","0.0-8.0-44.0","A2ONILC0LZKG6Y","1516907152796","1","8","diamond","100000","diamond","1204000"
