"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"4361","32","text","0","4364","0.0-0.0","A2Q1BZPQ1BFPSM","1516904879108","","","","","",""
"49413","32","text","1","53890","0.0-1.0","A2Q1BZPQ1BFPSM","1516904879108","","","","","",""
"2214","32","text","2","56205","0.0-2.0","A2Q1BZPQ1BFPSM","1516904879108","","","","","",""
"12436","32","text","3","68743","0.0-3.0","A2Q1BZPQ1BFPSM","1516904879108","","","","","",""
"17751","32","mine-text","4","86732","0.0-4.0","A2Q1BZPQ1BFPSM","1516904879108","","","","","",""
"29546","32","text","5","116380","0.0-5.0","A2Q1BZPQ1BFPSM","1516904879108","","","","","",""
"4500","32","text","6","120984","0.0-6.0","A2Q1BZPQ1BFPSM","1516904879108","","","","","",""
"3279","32","mine-text","7","124522","0.0-7.0","A2Q1BZPQ1BFPSM","1516904879108","","","","","",""
"4136","","forage01","8","128766","0.0-8.0-0.0","A2Q1BZPQ1BFPSM","1516904879108","0","52","dirt","0","no mineshafts yet","0"
"10523","","forage01","9","139393","0.0-8.0-1.0","A2Q1BZPQ1BFPSM","1516904879108","0","51","dirt","0","dirt","0"
"3296","","forage01","10","142795","0.0-8.0-2.0","A2Q1BZPQ1BFPSM","1516904879108","0","50","dirt","0","dirt","0"
"2061","","forage01","11","144964","0.0-8.0-3.0","A2Q1BZPQ1BFPSM","1516904879108","0","49","dirt","0","dirt","0"
"2075","","forage01","12","147146","0.0-8.0-4.0","A2Q1BZPQ1BFPSM","1516904879108","0","48","dirt","0","dirt","0"
"1244","","forage01","13","148497","0.0-8.0-5.0","A2Q1BZPQ1BFPSM","1516904879108","0","47","dirt","0","dirt","0"
"687","","forage01","14","149291","0.0-8.0-6.0","A2Q1BZPQ1BFPSM","1516904879108","0","46","dirt","0","dirt","0"
"828","","forage01","15","150224","0.0-8.0-7.0","A2Q1BZPQ1BFPSM","1516904879108","0","45","gold","0","dirt","0"
"1164","","forage01","16","151503","0.0-8.0-8.0","A2Q1BZPQ1BFPSM","1516904879108","0","44","dirt","0","gold","0"
"424","","forage01","17","152036","0.0-8.0-9.0","A2Q1BZPQ1BFPSM","1516904879108","0","43","gold","0","gold","0"
"179","","forage01","18","152321","0.0-8.0-10.0","A2Q1BZPQ1BFPSM","1516904879108","0","42","dirt","0","gold","0"
