"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"29871","32","text","0","29883","0.0-0.0","A2QKM3JUFWBSMO","1517432335758","","","","","",""
"11361","32","text","1","41347","0.0-1.0","A2QKM3JUFWBSMO","1517432335758","","","","","",""
"4593","32","text","2","46042","0.0-2.0","A2QKM3JUFWBSMO","1517432335758","","","","","",""
"56121","32","text","3","102267","0.0-3.0","A2QKM3JUFWBSMO","1517432335758","","","","","",""
"74509","32","mine-text","4","177240","0.0-4.0","A2QKM3JUFWBSMO","1517432335758","","","","","",""
"58529","32","text","5","235871","0.0-5.0","A2QKM3JUFWBSMO","1517432335758","","","","","",""
"28514","32","text","6","264487","0.0-6.0","A2QKM3JUFWBSMO","1517432335758","","","","","",""
"20329","32","mine-text","7","285366","0.0-7.0","A2QKM3JUFWBSMO","1517432335758","","","","","",""
"16926","","forage01","8","302401","0.0-8.0-0.0","A2QKM3JUFWBSMO","1517432335758","0","52","dirt","0","no mineshafts yet","0"
"12392","","forage01","9","314897","0.0-8.0-1.0","A2QKM3JUFWBSMO","1517432335758","0","51","dirt","0","dirt","0"
"3161","","forage01","10","318165","0.0-8.0-2.0","A2QKM3JUFWBSMO","1517432335758","0","50","dirt","0","dirt","0"
"7067","","forage01","11","325336","0.0-8.0-3.0","A2QKM3JUFWBSMO","1517432335758","0","49","dirt","0","dirt","0"
"8595","","forage01","12","334038","0.0-8.0-4.0","A2QKM3JUFWBSMO","1517432335758","0","48","dirt","0","dirt","0"
"2865","","forage01","13","337010","0.0-8.0-5.0","A2QKM3JUFWBSMO","1517432335758","0","47","dirt","0","dirt","0"
"2605","","forage01","14","339723","0.0-8.0-6.0","A2QKM3JUFWBSMO","1517432335758","1","46","dirt","0","dirt","0"
"7546","","forage01","15","347375","0.0-8.0-7.0","A2QKM3JUFWBSMO","1517432335758","0","45","dirt","0","dirt","0"
"1475","","forage01","16","348956","0.0-8.0-8.0","A2QKM3JUFWBSMO","1517432335758","0","44","dirt","0","dirt","0"
"1350","","forage01","17","350412","0.0-8.0-9.0","A2QKM3JUFWBSMO","1517432335758","0","43","dirt","0","dirt","0"
"1461","","forage01","18","351978","0.0-8.0-10.0","A2QKM3JUFWBSMO","1517432335758","0","42","dirt","0","dirt","0"
"1272","","forage01","19","353356","0.0-8.0-11.0","A2QKM3JUFWBSMO","1517432335758","0","41","dirt","0","dirt","0"
"1182","","forage01","20","354647","0.0-8.0-12.0","A2QKM3JUFWBSMO","1517432335758","0","40","gold","0","dirt","0"
"9425","","forage01","21","364182","0.0-8.0-13.0","A2QKM3JUFWBSMO","1517432335758","1","39","gold","1000","gold","1000"
"4218","","forage01","22","368510","0.0-8.0-14.0","A2QKM3JUFWBSMO","1517432335758","1","38","gold","1000","gold","2000"
"1396","","forage01","23","370012","0.0-8.0-15.0","A2QKM3JUFWBSMO","1517432335758","1","37","gold","1000","gold","3000"
"2231","","forage01","24","372350","0.0-8.0-16.0","A2QKM3JUFWBSMO","1517432335758","1","36","gold","1000","gold","4000"
"2264","","forage01","25","374721","0.0-8.0-17.0","A2QKM3JUFWBSMO","1517432335758","1","35","gold","1000","gold","5000"
"2080","","forage01","26","376909","0.0-8.0-18.0","A2QKM3JUFWBSMO","1517432335758","0","34","gold","0","gold","5000"
"35315","","forage01","27","412334","0.0-8.0-19.0","A2QKM3JUFWBSMO","1517432335758","1","33","gold","1000","gold","6000"
"1020","","forage01","28","413461","0.0-8.0-20.0","A2QKM3JUFWBSMO","1517432335758","1","32","gold","1000","gold","7000"
"946","","forage01","29","414514","0.0-8.0-21.0","A2QKM3JUFWBSMO","1517432335758","1","31","gold","1000","gold","8000"
