"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"16574","32","text","0","16580","0.0-0.0","A2RPDFZ5XGJ3IU","1517428511747","","","","","",""
"36331","32","text","1","53015","0.0-1.0","A2RPDFZ5XGJ3IU","1517428511747","","","","","",""
"9628","32","text","2","62745","0.0-2.0","A2RPDFZ5XGJ3IU","1517428511747","","","","","",""
"40661","32","text","3","103511","0.0-3.0","A2RPDFZ5XGJ3IU","1517428511747","","","","","",""
"51685","32","mine-text","4","155666","0.0-4.0","A2RPDFZ5XGJ3IU","1517428511747","","","","","",""
"89283","32","text","5","245052","0.0-5.0","A2RPDFZ5XGJ3IU","1517428511747","","","","","",""
"19230","32","text","6","264383","0.0-6.0","A2RPDFZ5XGJ3IU","1517428511747","","","","","",""
"26754","32","mine-text","7","291586","0.0-7.0","A2RPDFZ5XGJ3IU","1517428511747","","","","","",""
"6419","","forage01","8","298117","0.0-8.0-0.0","A2RPDFZ5XGJ3IU","1517428511747","0","52","dirt","0","no mineshafts yet","0"
"8818","","forage01","9","307041","0.0-8.0-1.0","A2RPDFZ5XGJ3IU","1517428511747","0","51","dirt","0","dirt","0"
"1087","","forage01","10","308234","0.0-8.0-2.0","A2RPDFZ5XGJ3IU","1517428511747","0","50","gold","0","dirt","0"
"2354","","forage01","11","310697","0.0-8.0-3.0","A2RPDFZ5XGJ3IU","1517428511747","1","49","gold","1000","gold","1000"
"4287","","forage01","12","315089","0.0-8.0-4.0","A2RPDFZ5XGJ3IU","1517428511747","1","48","gold","1000","gold","2000"
"1070","","forage01","13","316264","0.0-8.0-5.0","A2RPDFZ5XGJ3IU","1517428511747","1","47","gold","1000","gold","3000"
"4591","","forage01","14","320961","0.0-8.0-6.0","A2RPDFZ5XGJ3IU","1517428511747","1","46","gold","1000","gold","4000"
"1429","","forage01","15","322497","0.0-8.0-7.0","A2RPDFZ5XGJ3IU","1517428511747","1","45","gold","1000","gold","5000"
"1141","","forage01","16","323745","0.0-8.0-8.0","A2RPDFZ5XGJ3IU","1517428511747","1","44","gold","1000","gold","6000"
"700","","forage01","17","324553","0.0-8.0-9.0","A2RPDFZ5XGJ3IU","1517428511747","1","43","gold","1000","gold","7000"
"453","","forage01","18","325113","0.0-8.0-10.0","A2RPDFZ5XGJ3IU","1517428511747","1","42","gold","1000","gold","8000"
"420","","forage01","19","325641","0.0-8.0-11.0","A2RPDFZ5XGJ3IU","1517428511747","1","41","gold","1000","gold","9000"
"364","","forage01","20","326112","0.0-8.0-12.0","A2RPDFZ5XGJ3IU","1517428511747","1","40","gold","1000","gold","10000"
"525","","forage01","21","326744","0.0-8.0-13.0","A2RPDFZ5XGJ3IU","1517428511747","1","39","gold","1000","gold","11000"
"268","","forage01","22","327120","0.0-8.0-14.0","A2RPDFZ5XGJ3IU","1517428511747","1","38","gold","1000","gold","12000"
"213","","forage01","23","327440","0.0-8.0-15.0","A2RPDFZ5XGJ3IU","1517428511747","1","37","gold","1000","gold","13000"
"150","","forage01","24","327697","0.0-8.0-16.0","A2RPDFZ5XGJ3IU","1517428511747","1","36","gold","1000","gold","14000"
"174","","forage01","25","327977","0.0-8.0-17.0","A2RPDFZ5XGJ3IU","1517428511747","1","35","gold","1000","gold","15000"
"420","","forage01","26","328504","0.0-8.0-18.0","A2RPDFZ5XGJ3IU","1517428511747","1","34","gold","1000","gold","16000"
"109","","forage01","27","328720","0.0-8.0-19.0","A2RPDFZ5XGJ3IU","1517428511747","1","33","gold","1000","gold","17000"
"93","","forage01","28","328921","0.0-8.0-20.0","A2RPDFZ5XGJ3IU","1517428511747","1","32","gold","1000","gold","18000"
"100","","forage01","29","329129","0.0-8.0-21.0","A2RPDFZ5XGJ3IU","1517428511747","1","31","gold","1000","gold","19000"
"67","","forage01","30","329305","0.0-8.0-22.0","A2RPDFZ5XGJ3IU","1517428511747","1","30","gold","1000","gold","20000"
"87","","forage01","31","329500","0.0-8.0-23.0","A2RPDFZ5XGJ3IU","1517428511747","1","29","gold","1000","gold","21000"
"121","","forage01","32","329729","0.0-8.0-24.0","A2RPDFZ5XGJ3IU","1517428511747","1","28","gold","1000","gold","22000"
"478","","forage01","33","330314","0.0-8.0-25.0","A2RPDFZ5XGJ3IU","1517428511747","1","27","gold","1000","gold","23000"
"230","","forage01","34","330650","0.0-8.0-26.0","A2RPDFZ5XGJ3IU","1517428511747","1","26","gold","1000","gold","24000"
