"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"65812","32","text","0","65814","0.0-0.0","A2S8ZTPKX3B928","1516908995653","","","","","",""
"1763","32","text","1","67681","0.0-1.0","A2S8ZTPKX3B928","1516908995653","","","","","",""
"2222","32","text","2","70004","0.0-2.0","A2S8ZTPKX3B928","1516908995653","","","","","",""
"19784","32","text","3","89891","0.0-3.0","A2S8ZTPKX3B928","1516908995653","","","","","",""
"20554","32","mine-text","4","110677","0.0-4.0","A2S8ZTPKX3B928","1516908995653","","","","","",""
"56894","32","text","5","167672","0.0-5.0","A2S8ZTPKX3B928","1516908995653","","","","","",""
"4901","32","text","6","172674","0.0-6.0","A2S8ZTPKX3B928","1516908995653","","","","","",""
"7764","32","mine-text","7","180652","0.0-7.0","A2S8ZTPKX3B928","1516908995653","","","","","",""
"3279","","forage01","8","184035","0.0-8.0-0.0","A2S8ZTPKX3B928","1516908995653","0","52","dirt","0","no mineshafts yet","0"
"3640","","forage01","9","187777","0.0-8.0-1.0","A2S8ZTPKX3B928","1516908995653","0","51","dirt","0","dirt","0"
"1459","","forage01","10","189338","0.0-8.0-2.0","A2S8ZTPKX3B928","1516908995653","0","50","dirt","0","dirt","0"
"1154","","forage01","11","190594","0.0-8.0-3.0","A2S8ZTPKX3B928","1516908995653","0","49","gold","0","dirt","0"
"953","","forage01","12","191649","0.0-8.0-4.0","A2S8ZTPKX3B928","1516908995653","1","48","gold","1000","gold","1000"
"694","","forage01","13","192445","0.0-8.0-5.0","A2S8ZTPKX3B928","1516908995653","1","47","gold","1000","gold","2000"
"631","","forage01","14","193178","0.0-8.0-6.0","A2S8ZTPKX3B928","1516908995653","1","46","gold","1000","gold","3000"
"451","","forage01","15","193731","0.0-8.0-7.0","A2S8ZTPKX3B928","1516908995653","1","45","gold","1000","gold","4000"
"376","","forage01","16","194208","0.0-8.0-8.0","A2S8ZTPKX3B928","1516908995653","1","44","gold","1000","gold","5000"
"450","","forage01","17","194760","0.0-8.0-9.0","A2S8ZTPKX3B928","1516908995653","1","43","gold","1000","gold","6000"
"830","","forage01","18","195691","0.0-8.0-10.0","A2S8ZTPKX3B928","1516908995653","1","42","gold","1000","gold","7000"
"382","","forage01","19","196174","0.0-8.0-11.0","A2S8ZTPKX3B928","1516908995653","1","41","gold","1000","gold","8000"
"655","","forage01","20","196932","0.0-8.0-12.0","A2S8ZTPKX3B928","1516908995653","1","40","gold","1000","gold","9000"
"303","","forage01","21","197337","0.0-8.0-13.0","A2S8ZTPKX3B928","1516908995653","1","39","gold","1000","gold","10000"
"296","","forage01","22","197737","0.0-8.0-14.0","A2S8ZTPKX3B928","1516908995653","1","38","gold","1000","gold","11000"
"395","","forage01","23","198234","0.0-8.0-15.0","A2S8ZTPKX3B928","1516908995653","1","37","gold","1000","gold","12000"
"356","","forage01","24","198692","0.0-8.0-16.0","A2S8ZTPKX3B928","1516908995653","1","36","gold","1000","gold","13000"
"372","","forage01","25","199167","0.0-8.0-17.0","A2S8ZTPKX3B928","1516908995653","1","35","gold","1000","gold","14000"
"322","","forage01","26","199590","0.0-8.0-18.0","A2S8ZTPKX3B928","1516908995653","1","34","gold","1000","gold","15000"
"263","","forage01","27","199955","0.0-8.0-19.0","A2S8ZTPKX3B928","1516908995653","1","33","gold","1000","gold","16000"
"215","","forage01","28","200272","0.0-8.0-20.0","A2S8ZTPKX3B928","1516908995653","1","32","gold","1000","gold","17000"
"772","","forage01","29","201145","0.0-8.0-21.0","A2S8ZTPKX3B928","1516908995653","0","31","dirt","0","gold","17000"
"960","","forage01","30","202207","0.0-8.0-22.0","A2S8ZTPKX3B928","1516908995653","0","30","dirt","0","gold","17000"
"409","","forage01","31","202720","0.0-8.0-23.0","A2S8ZTPKX3B928","1516908995653","0","29","dirt","0","gold","17000"
"381","","forage01","32","203202","0.0-8.0-24.0","A2S8ZTPKX3B928","1516908995653","0","28","dirt","0","gold","17000"
"366","","forage01","33","203671","0.0-8.0-25.0","A2S8ZTPKX3B928","1516908995653","0","27","dirt","0","gold","17000"
"511","","forage01","34","204288","0.0-8.0-26.0","A2S8ZTPKX3B928","1516908995653","0","26","dirt","0","gold","17000"
"365","","forage01","35","204755","0.0-8.0-27.0","A2S8ZTPKX3B928","1516908995653","0","25","dirt","0","gold","17000"
"346","","forage01","36","205203","0.0-8.0-28.0","A2S8ZTPKX3B928","1516908995653","0","24","gold","0","gold","17000"
"1005","","forage01","37","206312","0.0-8.0-29.0","A2S8ZTPKX3B928","1516908995653","1","23","gold","1000","gold","18000"
"445","","forage01","38","206860","0.0-8.0-30.0","A2S8ZTPKX3B928","1516908995653","1","22","gold","1000","gold","19000"
"82","","forage01","39","207043","0.0-8.0-31.0","A2S8ZTPKX3B928","1516908995653","1","21","gold","1000","gold","20000"
"81","","forage01","40","207226","0.0-8.0-32.0","A2S8ZTPKX3B928","1516908995653","1","20","gold","1000","gold","21000"
"230","","forage01","41","207559","0.0-8.0-33.0","A2S8ZTPKX3B928","1516908995653","1","19","gold","1000","gold","22000"
"74","","forage01","42","207736","0.0-8.0-34.0","A2S8ZTPKX3B928","1516908995653","1","18","gold","1000","gold","23000"
"66","","forage01","43","207904","0.0-8.0-35.0","A2S8ZTPKX3B928","1516908995653","1","17","gold","1000","gold","24000"
"245","","forage01","44","208253","0.0-8.0-36.0","A2S8ZTPKX3B928","1516908995653","1","16","gold","1000","gold","25000"
"71","","forage01","45","208427","0.0-8.0-37.0","A2S8ZTPKX3B928","1516908995653","1","15","gold","1000","gold","26000"
"110","","forage01","46","208638","0.0-8.0-38.0","A2S8ZTPKX3B928","1516908995653","1","14","gold","1000","gold","27000"
"263","","forage01","47","209002","0.0-8.0-39.0","A2S8ZTPKX3B928","1516908995653","1","13","gold","1000","gold","28000"
