"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"6204","32","text","0","6208","0.0-0.0","A2XUADP5L61HQ5","1517428839042","","","","","",""
"18045","32","text","1","24358","0.0-1.0","A2XUADP5L61HQ5","1517428839042","","","","","",""
"2482","32","text","2","26945","0.0-2.0","A2XUADP5L61HQ5","1517428839042","","","","","",""
"18901","32","text","3","45948","0.0-3.0","A2XUADP5L61HQ5","1517428839042","","","","","",""
"12480","32","mine-text","4","58775","0.0-4.0","A2XUADP5L61HQ5","1517428839042","","","","","",""
"21735","32","text","5","80613","0.0-5.0","A2XUADP5L61HQ5","1517428839042","","","","","",""
"13475","32","text","6","94189","0.0-6.0","A2XUADP5L61HQ5","1517428839042","","","","","",""
"5918","32","mine-text","7","100525","0.0-7.0","A2XUADP5L61HQ5","1517428839042","","","","","",""
"21447","","forage01","8","122079","0.0-8.0-0.0","A2XUADP5L61HQ5","1517428839042","0","52","dirt","0","no mineshafts yet","0"
"4394","","forage01","9","126577","0.0-8.0-1.0","A2XUADP5L61HQ5","1517428839042","0","51","dirt","0","dirt","0"
"1039","","forage01","10","127723","0.0-8.0-2.0","A2XUADP5L61HQ5","1517428839042","0","50","dirt","0","dirt","0"
"447","","forage01","11","128274","0.0-8.0-3.0","A2XUADP5L61HQ5","1517428839042","0","49","dirt","0","dirt","0"
"503","","forage01","12","128882","0.0-8.0-4.0","A2XUADP5L61HQ5","1517428839042","1","48","dirt","0","dirt","0"
"703","","forage01","13","129692","0.0-8.0-5.0","A2XUADP5L61HQ5","1517428839042","1","47","dirt","0","dirt","0"
"561","","forage01","14","130356","0.0-8.0-6.0","A2XUADP5L61HQ5","1517428839042","0","46","gold","0","dirt","0"
"3718","","forage01","15","134181","0.0-8.0-7.0","A2XUADP5L61HQ5","1517428839042","0","45","dirt","0","gold","0"
"1517","","forage01","16","135802","0.0-8.0-8.0","A2XUADP5L61HQ5","1517428839042","0","44","dirt","0","gold","0"
"773","","forage01","17","136679","0.0-8.0-9.0","A2XUADP5L61HQ5","1517428839042","0","43","dirt","0","gold","0"
"422","","forage01","18","137207","0.0-8.0-10.0","A2XUADP5L61HQ5","1517428839042","0","42","dirt","0","gold","0"
"121","","forage01","19","137432","0.0-8.0-11.0","A2XUADP5L61HQ5","1517428839042","0","41","dirt","0","gold","0"
"85","","forage01","20","137624","0.0-8.0-12.0","A2XUADP5L61HQ5","1517428839042","0","40","dirt","0","gold","0"
"290","","forage01","21","138018","0.0-8.0-13.0","A2XUADP5L61HQ5","1517428839042","0","39","dirt","0","gold","0"
"555","","forage01","22","138681","0.0-8.0-14.0","A2XUADP5L61HQ5","1517428839042","1","38","gold","1000","gold","1000"
"952","","forage01","23","139739","0.0-8.0-15.0","A2XUADP5L61HQ5","1517428839042","1","37","gold","1000","gold","2000"
"559","","forage01","24","140403","0.0-8.0-16.0","A2XUADP5L61HQ5","1517428839042","1","36","gold","1000","gold","3000"
"464","","forage01","25","140976","0.0-8.0-17.0","A2XUADP5L61HQ5","1517428839042","1","35","gold","1000","gold","4000"
"444","","forage01","26","141528","0.0-8.0-18.0","A2XUADP5L61HQ5","1517428839042","1","34","gold","1000","gold","5000"
"411","","forage01","27","142048","0.0-8.0-19.0","A2XUADP5L61HQ5","1517428839042","1","33","gold","1000","gold","6000"
"387","","forage01","28","142540","0.0-8.0-20.0","A2XUADP5L61HQ5","1517428839042","1","32","gold","1000","gold","7000"
"454","","forage01","29","143103","0.0-8.0-21.0","A2XUADP5L61HQ5","1517428839042","1","31","gold","1000","gold","8000"
"343","","forage01","30","143553","0.0-8.0-22.0","A2XUADP5L61HQ5","1517428839042","1","30","gold","1000","gold","9000"
"164","","forage01","31","143823","0.0-8.0-23.0","A2XUADP5L61HQ5","1517428839042","1","29","gold","1000","gold","10000"
"118","","forage01","32","144048","0.0-8.0-24.0","A2XUADP5L61HQ5","1517428839042","1","28","gold","1000","gold","11000"
"476","","forage01","33","144633","0.0-8.0-25.0","A2XUADP5L61HQ5","1517428839042","0","27","gold","0","gold","11000"
"376","","forage01","34","145117","0.0-8.0-26.0","A2XUADP5L61HQ5","1517428839042","0","26","dirt","0","gold","11000"
"162","","forage01","35","145387","0.0-8.0-27.0","A2XUADP5L61HQ5","1517428839042","0","25","dirt","0","gold","11000"
"411","","forage01","36","145904","0.0-8.0-28.0","A2XUADP5L61HQ5","1517428839042","0","24","dirt","0","gold","11000"
"127","","forage01","37","146141","0.0-8.0-29.0","A2XUADP5L61HQ5","1517428839042","0","23","dirt","0","gold","11000"
"388","","forage01","38","146636","0.0-8.0-30.0","A2XUADP5L61HQ5","1517428839042","0","22","dirt","0","gold","11000"
"159","","forage01","39","146906","0.0-8.0-31.0","A2XUADP5L61HQ5","1517428839042","0","21","dirt","0","gold","11000"
"174","","forage01","40","147187","0.0-8.0-32.0","A2XUADP5L61HQ5","1517428839042","0","20","dirt","0","gold","11000"
"984","","forage01","41","148278","0.0-8.0-33.0","A2XUADP5L61HQ5","1517428839042","0","19","dirt","0","gold","11000"
"386","","forage01","42","148773","0.0-8.0-34.0","A2XUADP5L61HQ5","1517428839042","0","18","dirt","0","gold","11000"
"375","","forage01","43","149257","0.0-8.0-35.0","A2XUADP5L61HQ5","1517428839042","0","17","dirt","0","gold","11000"
"300","","forage01","44","149665","0.0-8.0-36.0","A2XUADP5L61HQ5","1517428839042","0","16","dirt","0","gold","11000"
"438","","forage01","45","150213","0.0-8.0-37.0","A2XUADP5L61HQ5","1517428839042","1","15","gold","1000","gold","12000"
"73","","forage01","46","150394","0.0-8.0-38.0","A2XUADP5L61HQ5","1517428839042","1","14","gold","1000","gold","13000"
"184","","forage01","47","150686","0.0-8.0-39.0","A2XUADP5L61HQ5","1517428839042","1","13","gold","1000","gold","14000"
"116","","forage01","48","150911","0.0-8.0-40.0","A2XUADP5L61HQ5","1517428839042","1","12","gold","1000","gold","15000"
"129","","forage01","49","151147","0.0-8.0-41.0","A2XUADP5L61HQ5","1517428839042","1","11","gold","1000","gold","16000"
"161","","forage01","50","151417","0.0-8.0-42.0","A2XUADP5L61HQ5","1517428839042","1","10","gold","1000","gold","17000"
"266","","forage01","51","151789","0.0-8.0-43.0","A2XUADP5L61HQ5","1517428839042","1","9","gold","1000","gold","18000"
"379","","forage01","52","152273","0.0-8.0-44.0","A2XUADP5L61HQ5","1517428839042","1","8","gold","1000","gold","19000"
"591","","forage01","53","152970","0.0-8.0-45.0","A2XUADP5L61HQ5","1517428839042","1","7","gold","1000","gold","20000"
"117","","forage01","54","153195","0.0-8.0-46.0","A2XUADP5L61HQ5","1517428839042","1","6","gold","1000","gold","21000"
"239","","forage01","55","153544","0.0-8.0-47.0","A2XUADP5L61HQ5","1517428839042","1","5","gold","1000","gold","22000"
"520","","forage01","56","154174","0.0-8.0-48.0","A2XUADP5L61HQ5","1517428839042","1","4","gold","1000","gold","23000"
"94","","forage01","57","154377","0.0-8.0-49.0","A2XUADP5L61HQ5","1517428839042","1","3","gold","1000","gold","24000"
"400","","forage01","58","154883","0.0-8.0-50.0","A2XUADP5L61HQ5","1517428839042","1","2","gold","1000","gold","25000"
"420","","forage01","59","155412","0.0-8.0-51.0","A2XUADP5L61HQ5","1517428839042","1","1","gold","1000","gold","26000"
"2875","32","mine-text","60","158680","0.0-9.0","A2XUADP5L61HQ5","1517428839042","","","","","",""
