"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"387661","32","text","0","387665","0.0-0.0","A2XWD4PZM6JU0M","1517429823832","","","","","",""
"1424","32","text","1","389192","0.0-1.0","A2XWD4PZM6JU0M","1517429823832","","","","","",""
"1098","32","text","2","390391","0.0-2.0","A2XWD4PZM6JU0M","1517429823832","","","","","",""
"2051","32","text","3","392543","0.0-3.0","A2XWD4PZM6JU0M","1517429823832","","","","","",""
"21480","32","mine-text","4","414351","0.0-4.0","A2XWD4PZM6JU0M","1517429823832","","","","","",""
"12342","32","text","5","426793","0.0-5.0","A2XWD4PZM6JU0M","1517429823832","","","","","",""
"8496","32","text","6","435393","0.0-6.0","A2XWD4PZM6JU0M","1517429823832","","","","","",""
"71064","32","mine-text","7","506791","0.0-7.0","A2XWD4PZM6JU0M","1517429823832","","","","","",""
"12950","","forage01","8","519847","0.0-8.0-0.0","A2XWD4PZM6JU0M","1517429823832","0","52","dirt","0","no mineshafts yet","0"
"3280","","forage01","9","523231","0.0-8.0-1.0","A2XWD4PZM6JU0M","1517429823832","0","51","gold","0","dirt","0"
"3882","","forage01","10","527216","0.0-8.0-2.0","A2XWD4PZM6JU0M","1517429823832","1","50","gold","1000","gold","1000"
"1277","","forage01","11","528597","0.0-8.0-3.0","A2XWD4PZM6JU0M","1517429823832","1","49","gold","1000","gold","2000"
"1758","","forage01","12","530461","0.0-8.0-4.0","A2XWD4PZM6JU0M","1517429823832","1","48","gold","1000","gold","3000"
"461","","forage01","13","531025","0.0-8.0-5.0","A2XWD4PZM6JU0M","1517429823832","1","47","gold","1000","gold","4000"
"962","","forage01","14","532091","0.0-8.0-6.0","A2XWD4PZM6JU0M","1517429823832","0","46","dirt","0","gold","4000"
"492","","forage01","15","532687","0.0-8.0-7.0","A2XWD4PZM6JU0M","1517429823832","0","45","dirt","0","gold","4000"
"450","","forage01","16","533239","0.0-8.0-8.0","A2XWD4PZM6JU0M","1517429823832","0","44","dirt","0","gold","4000"
"413","","forage01","17","533755","0.0-8.0-9.0","A2XWD4PZM6JU0M","1517429823832","0","43","gold","0","gold","4000"
"1457","","forage01","18","535315","0.0-8.0-10.0","A2XWD4PZM6JU0M","1517429823832","1","42","gold","1000","gold","5000"
"404","","forage01","19","535823","0.0-8.0-11.0","A2XWD4PZM6JU0M","1517429823832","1","41","gold","1000","gold","6000"
"489","","forage01","20","536415","0.0-8.0-12.0","A2XWD4PZM6JU0M","1517429823832","1","40","gold","1000","gold","7000"
"449","","forage01","21","536967","0.0-8.0-13.0","A2XWD4PZM6JU0M","1517429823832","1","39","gold","1000","gold","8000"
"445","","forage01","22","537516","0.0-8.0-14.0","A2XWD4PZM6JU0M","1517429823832","1","38","gold","1000","gold","9000"
"13146","","forage01","23","550765","0.0-8.0-15.0","A2XWD4PZM6JU0M","1517429823832","1","37","gold","1000","gold","10000"
"181","","forage01","24","551051","0.0-8.0-16.0","A2XWD4PZM6JU0M","1517429823832","1","36","gold","1000","gold","11000"
"132","","forage01","25","551285","0.0-8.0-17.0","A2XWD4PZM6JU0M","1517429823832","1","35","gold","1000","gold","12000"
"114","","forage01","26","551501","0.0-8.0-18.0","A2XWD4PZM6JU0M","1517429823832","1","34","gold","1000","gold","13000"
"126","","forage01","27","551733","0.0-8.0-19.0","A2XWD4PZM6JU0M","1517429823832","1","33","gold","1000","gold","14000"
"115","","forage01","28","551950","0.0-8.0-20.0","A2XWD4PZM6JU0M","1517429823832","1","32","gold","1000","gold","15000"
"289","","forage01","29","552341","0.0-8.0-21.0","A2XWD4PZM6JU0M","1517429823832","1","31","gold","1000","gold","16000"
"264","","forage01","30","552709","0.0-8.0-22.0","A2XWD4PZM6JU0M","1517429823832","1","30","gold","1000","gold","17000"
"272","","forage01","31","553084","0.0-8.0-23.0","A2XWD4PZM6JU0M","1517429823832","1","29","gold","1000","gold","18000"
"9513","","forage01","32","562699","0.0-8.0-24.0","A2XWD4PZM6JU0M","1517429823832","1","28","gold","1000","gold","19000"
"436","","forage01","33","563237","0.0-8.0-25.0","A2XWD4PZM6JU0M","1517429823832","1","27","gold","1000","gold","20000"
"287","","forage01","34","563627","0.0-8.0-26.0","A2XWD4PZM6JU0M","1517429823832","1","26","gold","1000","gold","21000"
"309","","forage01","35","564039","0.0-8.0-27.0","A2XWD4PZM6JU0M","1517429823832","1","25","gold","1000","gold","22000"
"115","","forage01","36","564259","0.0-8.0-28.0","A2XWD4PZM6JU0M","1517429823832","1","24","gold","1000","gold","23000"
"156","","forage01","37","564519","0.0-8.0-29.0","A2XWD4PZM6JU0M","1517429823832","1","23","gold","1000","gold","24000"
"341","","forage01","38","564963","0.0-8.0-30.0","A2XWD4PZM6JU0M","1517429823832","1","22","gold","1000","gold","25000"
"246","","forage01","39","565315","0.0-8.0-31.0","A2XWD4PZM6JU0M","1517429823832","1","21","gold","1000","gold","26000"
"253","","forage01","40","565671","0.0-8.0-32.0","A2XWD4PZM6JU0M","1517429823832","1","20","gold","1000","gold","27000"
"425","","forage01","41","566199","0.0-8.0-33.0","A2XWD4PZM6JU0M","1517429823832","1","19","gold","1000","gold","28000"
"203","","forage01","42","566507","0.0-8.0-34.0","A2XWD4PZM6JU0M","1517429823832","1","18","gold","1000","gold","29000"
"161","","forage01","43","566771","0.0-8.0-35.0","A2XWD4PZM6JU0M","1517429823832","1","17","gold","1000","gold","30000"
"130","","forage01","44","567005","0.0-8.0-36.0","A2XWD4PZM6JU0M","1517429823832","1","16","gold","1000","gold","31000"
"134","","forage01","45","567243","0.0-8.0-37.0","A2XWD4PZM6JU0M","1517429823832","1","15","gold","1000","gold","32000"
"152","","forage01","46","567499","0.0-8.0-38.0","A2XWD4PZM6JU0M","1517429823832","1","14","gold","1000","gold","33000"
"119","","forage01","47","567721","0.0-8.0-39.0","A2XWD4PZM6JU0M","1517429823832","1","13","gold","1000","gold","34000"
"163","","forage01","48","567993","0.0-8.0-40.0","A2XWD4PZM6JU0M","1517429823832","1","12","gold","1000","gold","35000"
"182","","forage01","49","568277","0.0-8.0-41.0","A2XWD4PZM6JU0M","1517429823832","1","11","gold","1000","gold","36000"
