"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"10171","32","text","0","10174","0.0-0.0","A31BO9NWS3PW78","1516908219430","","","","","",""
"3519","32","text","1","13795","0.0-1.0","A31BO9NWS3PW78","1516908219430","","","","","",""
"10718","32","text","2","24614","0.0-2.0","A31BO9NWS3PW78","1516908219430","","","","","",""
"75298","32","text","3","100014","0.0-3.0","A31BO9NWS3PW78","1516908219430","","","","","",""
"26673","32","mine-text","4","126941","0.0-4.0","A31BO9NWS3PW78","1516908219430","","","","","",""
"35740","32","text","5","162783","0.0-5.0","A31BO9NWS3PW78","1516908219430","","","","","",""
"12401","32","text","6","175285","0.0-6.0","A31BO9NWS3PW78","1516908219430","","","","","",""
"3747","32","mine-text","7","179308","0.0-7.0","A31BO9NWS3PW78","1516908219430","","","","","",""
"8377","","forage01","8","187789","0.0-8.0-0.0","A31BO9NWS3PW78","1516908219430","0","52","gold","0","no mineshafts yet","0"
"10920","","forage01","9","198813","0.0-8.0-1.0","A31BO9NWS3PW78","1516908219430","1","51","gold","1000","gold","1000"
"4210","","forage01","10","203126","0.0-8.0-2.0","A31BO9NWS3PW78","1516908219430","1","50","gold","1000","gold","2000"
"4025","","forage01","11","207254","0.0-8.0-3.0","A31BO9NWS3PW78","1516908219430","1","49","gold","1000","gold","3000"
"3210","","forage01","12","210566","0.0-8.0-4.0","A31BO9NWS3PW78","1516908219430","1","48","gold","1000","gold","4000"
"1227","","forage01","13","211896","0.0-8.0-5.0","A31BO9NWS3PW78","1516908219430","1","47","gold","1000","gold","5000"
"1042","","forage01","14","213041","0.0-8.0-6.0","A31BO9NWS3PW78","1516908219430","1","46","gold","1000","gold","6000"
"995","","forage01","15","214139","0.0-8.0-7.0","A31BO9NWS3PW78","1516908219430","1","45","gold","1000","gold","7000"
"874","","forage01","16","215115","0.0-8.0-8.0","A31BO9NWS3PW78","1516908219430","1","44","gold","1000","gold","8000"
"2237","","forage01","17","217454","0.0-8.0-9.0","A31BO9NWS3PW78","1516908219430","1","43","gold","1000","gold","9000"
"2001","","forage01","18","219557","0.0-8.0-10.0","A31BO9NWS3PW78","1516908219430","1","42","gold","1000","gold","10000"
"1479","","forage01","19","221140","0.0-8.0-11.0","A31BO9NWS3PW78","1516908219430","1","41","gold","1000","gold","11000"
"842","","forage01","20","222084","0.0-8.0-12.0","A31BO9NWS3PW78","1516908219430","1","40","gold","1000","gold","12000"
"681","","forage01","21","222867","0.0-8.0-13.0","A31BO9NWS3PW78","1516908219430","1","39","gold","1000","gold","13000"
"622","","forage01","22","223592","0.0-8.0-14.0","A31BO9NWS3PW78","1516908219430","1","38","gold","1000","gold","14000"
"1854","","forage01","23","225551","0.0-8.0-15.0","A31BO9NWS3PW78","1516908219430","1","37","gold","1000","gold","15000"
"621","","forage01","24","226276","0.0-8.0-16.0","A31BO9NWS3PW78","1516908219430","1","36","gold","1000","gold","16000"
"658","","forage01","25","227037","0.0-8.0-17.0","A31BO9NWS3PW78","1516908219430","1","35","gold","1000","gold","17000"
"608","","forage01","26","227748","0.0-8.0-18.0","A31BO9NWS3PW78","1516908219430","1","34","gold","1000","gold","18000"
"620","","forage01","27","228472","0.0-8.0-19.0","A31BO9NWS3PW78","1516908219430","1","33","gold","1000","gold","19000"
"5661","","forage01","28","234235","0.0-8.0-20.0","A31BO9NWS3PW78","1516908219430","1","32","gold","1000","gold","20000"
"557","","forage01","29","234895","0.0-8.0-21.0","A31BO9NWS3PW78","1516908219430","1","31","gold","1000","gold","21000"
"482","","forage01","30","235481","0.0-8.0-22.0","A31BO9NWS3PW78","1516908219430","1","30","gold","1000","gold","22000"
"468","","forage01","31","236052","0.0-8.0-23.0","A31BO9NWS3PW78","1516908219430","1","29","gold","1000","gold","23000"
"418","","forage01","32","236573","0.0-8.0-24.0","A31BO9NWS3PW78","1516908219430","1","28","gold","1000","gold","24000"
"633","","forage01","33","237308","0.0-8.0-25.0","A31BO9NWS3PW78","1516908219430","1","27","gold","1000","gold","25000"
"645","","forage01","34","238057","0.0-8.0-26.0","A31BO9NWS3PW78","1516908219430","1","26","gold","1000","gold","26000"
"1029","","forage01","35","239189","0.0-8.0-27.0","A31BO9NWS3PW78","1516908219430","1","25","gold","1000","gold","27000"
"541","","forage01","36","239833","0.0-8.0-28.0","A31BO9NWS3PW78","1516908219430","1","24","gold","1000","gold","28000"
"468","","forage01","37","240404","0.0-8.0-29.0","A31BO9NWS3PW78","1516908219430","1","23","gold","1000","gold","29000"
"467","","forage01","38","240975","0.0-8.0-30.0","A31BO9NWS3PW78","1516908219430","1","22","gold","1000","gold","30000"
"1149","","forage01","39","242227","0.0-8.0-31.0","A31BO9NWS3PW78","1516908219430","1","21","gold","1000","gold","31000"
"472","","forage01","40","242801","0.0-8.0-32.0","A31BO9NWS3PW78","1516908219430","1","20","gold","1000","gold","32000"
"454","","forage01","41","243359","0.0-8.0-33.0","A31BO9NWS3PW78","1516908219430","1","19","gold","1000","gold","33000"
"498","","forage01","42","243959","0.0-8.0-34.0","A31BO9NWS3PW78","1516908219430","1","18","gold","1000","gold","34000"
"580","","forage01","43","244641","0.0-8.0-35.0","A31BO9NWS3PW78","1516908219430","1","17","gold","1000","gold","35000"
"3846","","forage01","44","248590","0.0-8.0-36.0","A31BO9NWS3PW78","1516908219430","1","16","gold","1000","gold","36000"
"1333","","forage01","45","250026","0.0-8.0-37.0","A31BO9NWS3PW78","1516908219430","0","15","gold","0","gold","36000"
"1577","","forage01","46","251706","0.0-8.0-38.0","A31BO9NWS3PW78","1516908219430","1","14","gold","1000","gold","37000"
"1633","","forage01","47","253442","0.0-8.0-39.0","A31BO9NWS3PW78","1516908219430","1","13","gold","1000","gold","38000"
"1881","","forage01","48","255425","0.0-8.0-40.0","A31BO9NWS3PW78","1516908219430","1","12","gold","1000","gold","39000"
"938","","forage01","49","256465","0.0-8.0-41.0","A31BO9NWS3PW78","1516908219430","1","11","gold","1000","gold","40000"
