"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"2896","32","text","0","2908","0.0-0.0","A37KREDYGDTP4U","1517428916609","","","","","",""
"957","32","text","1","3971","0.0-1.0","A37KREDYGDTP4U","1517428916609","","","","","",""
"691","32","text","2","4765","0.0-2.0","A37KREDYGDTP4U","1517428916609","","","","","",""
"1878","32","text","3","6749","0.0-3.0","A37KREDYGDTP4U","1517428916609","","","","","",""
"3651","32","mine-text","4","11169","0.0-4.0","A37KREDYGDTP4U","1517428916609","","","","","",""
"1084","32","text","5","12355","0.0-5.0","A37KREDYGDTP4U","1517428916609","","","","","",""
"748","32","text","6","13206","0.0-6.0","A37KREDYGDTP4U","1517428916609","","","","","",""
"2142","32","mine-text","7","16441","0.0-7.0","A37KREDYGDTP4U","1517428916609","","","","","",""
"2994","","forage01","8","19551","0.0-8.0-0.0","A37KREDYGDTP4U","1517428916609","0","52","gold","0","no mineshafts yet","0"
"1545","","forage01","9","21205","0.0-8.0-1.0","A37KREDYGDTP4U","1517428916609","0","51","dirt","0","gold","0"
"584","","forage01","10","21899","0.0-8.0-2.0","A37KREDYGDTP4U","1517428916609","0","50","gold","0","gold","0"
"253","","forage01","11","22261","0.0-8.0-3.0","A37KREDYGDTP4U","1517428916609","0","49","gold","0","gold","0"
"159","","forage01","12","22530","0.0-8.0-4.0","A37KREDYGDTP4U","1517428916609","0","48","dirt","0","gold","0"
"79","","forage01","13","22718","0.0-8.0-5.0","A37KREDYGDTP4U","1517428916609","0","47","dirt","0","gold","0"
"80","","forage01","14","22909","0.0-8.0-6.0","A37KREDYGDTP4U","1517428916609","0","46","dirt","0","gold","0"
"93","","forage01","15","23114","0.0-8.0-7.0","A37KREDYGDTP4U","1517428916609","0","45","gold","0","gold","0"
"44","","forage01","16","23313","0.0-8.0-8.0","A37KREDYGDTP4U","1517428916609","0","44","dirt","0","gold","0"
"241","","forage01","17","23667","0.0-8.0-9.0","A37KREDYGDTP4U","1517428916609","0","43","dirt","0","gold","0"
"59","","forage01","18","23841","0.0-8.0-10.0","A37KREDYGDTP4U","1517428916609","0","42","dirt","0","gold","0"
"80","","forage01","19","24032","0.0-8.0-11.0","A37KREDYGDTP4U","1517428916609","0","41","dirt","0","gold","0"
"2221","","forage01","20","26365","0.0-8.0-12.0","A37KREDYGDTP4U","1517428916609","0","40","dirt","0","gold","0"
"914","","forage01","21","27395","0.0-8.0-13.0","A37KREDYGDTP4U","1517428916609","0","39","dirt","0","gold","0"
"89","","forage01","22","27596","0.0-8.0-14.0","A37KREDYGDTP4U","1517428916609","0","38","dirt","0","gold","0"
"57","","forage01","23","27771","0.0-8.0-15.0","A37KREDYGDTP4U","1517428916609","0","37","gold","0","gold","0"
"77","","forage01","24","27961","0.0-8.0-16.0","A37KREDYGDTP4U","1517428916609","0","36","dirt","0","gold","0"
"230","","forage01","25","28309","0.0-8.0-17.0","A37KREDYGDTP4U","1517428916609","0","35","dirt","0","gold","0"
"73","","forage01","26","28497","0.0-8.0-18.0","A37KREDYGDTP4U","1517428916609","0","34","gold","0","gold","0"
"88","","forage01","27","28702","0.0-8.0-19.0","A37KREDYGDTP4U","1517428916609","0","33","dirt","0","gold","0"
"46","","forage01","28","28864","0.0-8.0-20.0","A37KREDYGDTP4U","1517428916609","0","32","gold","0","gold","0"
"84","","forage01","29","29065","0.0-8.0-21.0","A37KREDYGDTP4U","1517428916609","0","31","gold","0","gold","0"
"65","","forage01","30","29259","0.0-8.0-22.0","A37KREDYGDTP4U","1517428916609","0","30","dirt","0","gold","0"
"51","","forage01","31","29430","0.0-8.0-23.0","A37KREDYGDTP4U","1517428916609","0","29","dirt","0","gold","0"
"84","","forage01","32","29634","0.0-8.0-24.0","A37KREDYGDTP4U","1517428916609","0","28","dirt","0","gold","0"
"60","","forage01","33","29813","0.0-8.0-25.0","A37KREDYGDTP4U","1517428916609","0","27","dirt","0","gold","0"
"65","","forage01","34","29998","0.0-8.0-26.0","A37KREDYGDTP4U","1517428916609","0","26","dirt","0","gold","0"
"85","","forage01","35","30202","0.0-8.0-27.0","A37KREDYGDTP4U","1517428916609","0","25","gold","0","gold","0"
"229","","forage01","36","30550","0.0-8.0-28.0","A37KREDYGDTP4U","1517428916609","0","24","dirt","0","gold","0"
"71","","forage01","37","30741","0.0-8.0-29.0","A37KREDYGDTP4U","1517428916609","0","23","gold","0","gold","0"
"70","","forage01","38","30929","0.0-8.0-30.0","A37KREDYGDTP4U","1517428916609","0","22","dirt","0","gold","0"
"54","","forage01","39","31119","0.0-8.0-31.0","A37KREDYGDTP4U","1517428916609","0","21","dirt","0","gold","0"
"48","","forage01","40","31292","0.0-8.0-32.0","A37KREDYGDTP4U","1517428916609","0","20","dirt","0","gold","0"
"175","","forage01","41","31607","0.0-8.0-33.0","A37KREDYGDTP4U","1517428916609","0","19","diamond","0","gold","0"
"71","","forage01","42","31798","0.0-8.0-34.0","A37KREDYGDTP4U","1517428916609","0","18","diamond","0","diamond","0"
