"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"27859","32","text","0","27863","0.0-0.0","A37QFZ8I1TGH2C","1516908454787","","","","","",""
"33799","32","text","1","61765","0.0-1.0","A37QFZ8I1TGH2C","1516908454787","","","","","",""
"6290","32","text","2","68156","0.0-2.0","A37QFZ8I1TGH2C","1516908454787","","","","","",""
"25163","32","text","3","93421","0.0-3.0","A37QFZ8I1TGH2C","1516908454787","","","","","",""
"104512","32","mine-text","4","198234","0.0-4.0","A37QFZ8I1TGH2C","1516908454787","","","","","",""
"77747","32","text","5","276083","0.0-5.0","A37QFZ8I1TGH2C","1516908454787","","","","","",""
"10412","32","text","6","286596","0.0-6.0","A37QFZ8I1TGH2C","1516908454787","","","","","",""
"28458","32","mine-text","7","315363","0.0-7.0","A37QFZ8I1TGH2C","1516908454787","","","","","",""
"5570","","forage01","8","321041","0.0-8.0-0.0","A37QFZ8I1TGH2C","1516908454787","0","52","dirt","0","no mineshafts yet","0"
"8861","","forage01","9","330007","0.0-8.0-1.0","A37QFZ8I1TGH2C","1516908454787","0","51","dirt","0","dirt","0"
"5439","","forage01","10","335551","0.0-8.0-2.0","A37QFZ8I1TGH2C","1516908454787","1","50","dirt","0","dirt","0"
"10265","","forage01","11","345923","0.0-8.0-3.0","A37QFZ8I1TGH2C","1516908454787","0","49","dirt","0","dirt","0"
"4163","","forage01","12","350190","0.0-8.0-4.0","A37QFZ8I1TGH2C","1516908454787","0","48","dirt","0","dirt","0"
"2751","","forage01","13","353046","0.0-8.0-5.0","A37QFZ8I1TGH2C","1516908454787","0","47","dirt","0","dirt","0"
"1599","","forage01","14","354751","0.0-8.0-6.0","A37QFZ8I1TGH2C","1516908454787","1","46","dirt","0","dirt","0"
"1699","","forage01","15","356554","0.0-8.0-7.0","A37QFZ8I1TGH2C","1516908454787","0","45","dirt","0","dirt","0"
"2010","","forage01","16","358670","0.0-8.0-8.0","A37QFZ8I1TGH2C","1516908454787","0","44","gold","0","dirt","0"
"470","","forage01","17","359246","0.0-8.0-9.0","A37QFZ8I1TGH2C","1516908454787","0","43","gold","0","gold","0"
"3422","","forage01","18","362774","0.0-8.0-10.0","A37QFZ8I1TGH2C","1516908454787","0","42","dirt","0","gold","0"
"1667","","forage01","19","364546","0.0-8.0-11.0","A37QFZ8I1TGH2C","1516908454787","0","41","gold","0","gold","0"
"1016","","forage01","20","365666","0.0-8.0-12.0","A37QFZ8I1TGH2C","1516908454787","1","40","gold","1000","gold","1000"
"2378","","forage01","21","368150","0.0-8.0-13.0","A37QFZ8I1TGH2C","1516908454787","1","39","gold","1000","gold","2000"
"1194","","forage01","22","369450","0.0-8.0-14.0","A37QFZ8I1TGH2C","1516908454787","1","38","gold","1000","gold","3000"
"1570","","forage01","23","371126","0.0-8.0-15.0","A37QFZ8I1TGH2C","1516908454787","1","37","gold","1000","gold","4000"
"1810","","forage01","24","373042","0.0-8.0-16.0","A37QFZ8I1TGH2C","1516908454787","1","36","gold","1000","gold","5000"
"750","","forage01","25","373898","0.0-8.0-17.0","A37QFZ8I1TGH2C","1516908454787","1","35","gold","1000","gold","6000"
"2582","","forage01","26","376586","0.0-8.0-18.0","A37QFZ8I1TGH2C","1516908454787","1","34","gold","1000","gold","7000"
"591","","forage01","27","377282","0.0-8.0-19.0","A37QFZ8I1TGH2C","1516908454787","1","33","gold","1000","gold","8000"
"511","","forage01","28","377898","0.0-8.0-20.0","A37QFZ8I1TGH2C","1516908454787","1","32","gold","1000","gold","9000"
"911","","forage01","29","378914","0.0-8.0-21.0","A37QFZ8I1TGH2C","1516908454787","1","31","gold","1000","gold","10000"
"4532","","forage01","30","383551","0.0-8.0-22.0","A37QFZ8I1TGH2C","1516908454787","1","30","gold","1000","gold","11000"
"3070","","forage01","31","386726","0.0-8.0-23.0","A37QFZ8I1TGH2C","1516908454787","1","29","gold","1000","gold","12000"
"998","","forage01","32","387830","0.0-8.0-24.0","A37QFZ8I1TGH2C","1516908454787","1","28","gold","1000","gold","13000"
"889","","forage01","33","388826","0.0-8.0-25.0","A37QFZ8I1TGH2C","1516908454787","1","27","gold","1000","gold","14000"
"4540","","forage01","34","393474","0.0-8.0-26.0","A37QFZ8I1TGH2C","1516908454787","1","26","gold","1000","gold","15000"
"1146","","forage01","35","394726","0.0-8.0-27.0","A37QFZ8I1TGH2C","1516908454787","1","25","gold","1000","gold","16000"
"2826","","forage01","36","397658","0.0-8.0-28.0","A37QFZ8I1TGH2C","1516908454787","1","24","gold","1000","gold","17000"
"682","","forage01","37","398446","0.0-8.0-29.0","A37QFZ8I1TGH2C","1516908454787","1","23","gold","1000","gold","18000"
"4510","","forage01","38","403062","0.0-8.0-30.0","A37QFZ8I1TGH2C","1516908454787","1","22","gold","1000","gold","19000"
"994","","forage01","39","404162","0.0-8.0-31.0","A37QFZ8I1TGH2C","1516908454787","1","21","gold","1000","gold","20000"
"1690","","forage01","40","405958","0.0-8.0-32.0","A37QFZ8I1TGH2C","1516908454787","1","20","gold","1000","gold","21000"
"1389","","forage01","41","407454","0.0-8.0-33.0","A37QFZ8I1TGH2C","1516908454787","1","19","gold","1000","gold","22000"
"2042","","forage01","42","409602","0.0-8.0-34.0","A37QFZ8I1TGH2C","1516908454787","0","18","diamond","0","gold","22000"
"7057","","forage01","43","416765","0.0-8.0-35.0","A37QFZ8I1TGH2C","1516908454787","0","17","dirt","0","diamond","22000"
"969","","forage01","44","417841","0.0-8.0-36.0","A37QFZ8I1TGH2C","1516908454787","1","16","diamond","100000","diamond","122000"
"1125","","forage01","45","419073","0.0-8.0-37.0","A37QFZ8I1TGH2C","1516908454787","1","15","diamond","100000","diamond","222000"
"561","","forage01","46","419742","0.0-8.0-38.0","A37QFZ8I1TGH2C","1516908454787","1","14","diamond","100000","diamond","322000"
"517","","forage01","47","420365","0.0-8.0-39.0","A37QFZ8I1TGH2C","1516908454787","1","13","diamond","100000","diamond","422000"
