"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"7788","32","text","0","7790","0.0-0.0","A39Q4SNT7SRK94","1516905131083","","","","","",""
"1595","32","text","1","9485","0.0-1.0","A39Q4SNT7SRK94","1516905131083","","","","","",""
"2453","32","text","2","12039","0.0-2.0","A39Q4SNT7SRK94","1516905131083","","","","","",""
"9714","32","text","3","21853","0.0-3.0","A39Q4SNT7SRK94","1516905131083","","","","","",""
"8897","32","mine-text","4","31002","0.0-4.0","A39Q4SNT7SRK94","1516905131083","","","","","",""
"2959","32","text","5","34061","0.0-5.0","A39Q4SNT7SRK94","1516905131083","","","","","",""
"1901","32","text","6","36062","0.0-6.0","A39Q4SNT7SRK94","1516905131083","","","","","",""
"2193","32","mine-text","7","38541","0.0-7.0","A39Q4SNT7SRK94","1516905131083","","","","","",""
"9173","","forage01","8","47820","0.0-8.0-0.0","A39Q4SNT7SRK94","1516905131083","0","52","gold","0","no mineshafts yet","0"
"1713","","forage01","9","49636","0.0-8.0-1.0","A39Q4SNT7SRK94","1516905131083","1","51","gold","1000","gold","1000"
"1491","","forage01","10","51229","0.0-8.0-2.0","A39Q4SNT7SRK94","1516905131083","1","50","gold","1000","gold","2000"
"1204","","forage01","11","52534","0.0-8.0-3.0","A39Q4SNT7SRK94","1516905131083","0","49","dirt","0","gold","2000"
"1268","","forage01","12","53904","0.0-8.0-4.0","A39Q4SNT7SRK94","1516905131083","1","48","gold","1000","gold","3000"
"663","","forage01","13","54669","0.0-8.0-5.0","A39Q4SNT7SRK94","1516905131083","1","47","gold","1000","gold","4000"
"535","","forage01","14","55307","0.0-8.0-6.0","A39Q4SNT7SRK94","1516905131083","0","46","dirt","0","gold","4000"
"495","","forage01","15","55903","0.0-8.0-7.0","A39Q4SNT7SRK94","1516905131083","1","45","gold","1000","gold","5000"
"437","","forage01","16","56442","0.0-8.0-8.0","A39Q4SNT7SRK94","1516905131083","1","44","gold","1000","gold","6000"
"427","","forage01","17","56971","0.0-8.0-9.0","A39Q4SNT7SRK94","1516905131083","1","43","gold","1000","gold","7000"
"466","","forage01","18","57539","0.0-8.0-10.0","A39Q4SNT7SRK94","1516905131083","1","42","gold","1000","gold","8000"
"426","","forage01","19","58068","0.0-8.0-11.0","A39Q4SNT7SRK94","1516905131083","1","41","gold","1000","gold","9000"
"345","","forage01","20","58516","0.0-8.0-12.0","A39Q4SNT7SRK94","1516905131083","1","40","gold","1000","gold","10000"
"344","","forage01","21","58962","0.0-8.0-13.0","A39Q4SNT7SRK94","1516905131083","1","39","gold","1000","gold","11000"
"207","","forage01","22","59271","0.0-8.0-14.0","A39Q4SNT7SRK94","1516905131083","1","38","gold","1000","gold","12000"
"201","","forage01","23","59574","0.0-8.0-15.0","A39Q4SNT7SRK94","1516905131083","1","37","gold","1000","gold","13000"
"218","","forage01","24","59893","0.0-8.0-16.0","A39Q4SNT7SRK94","1516905131083","1","36","gold","1000","gold","14000"
"224","","forage01","25","60219","0.0-8.0-17.0","A39Q4SNT7SRK94","1516905131083","1","35","gold","1000","gold","15000"
"199","","forage01","26","60520","0.0-8.0-18.0","A39Q4SNT7SRK94","1516905131083","1","34","gold","1000","gold","16000"
"189","","forage01","27","60810","0.0-8.0-19.0","A39Q4SNT7SRK94","1516905131083","1","33","gold","1000","gold","17000"
"201","","forage01","28","61113","0.0-8.0-20.0","A39Q4SNT7SRK94","1516905131083","1","32","gold","1000","gold","18000"
"193","","forage01","29","61409","0.0-8.0-21.0","A39Q4SNT7SRK94","1516905131083","1","31","gold","1000","gold","19000"
"191","","forage01","30","61702","0.0-8.0-22.0","A39Q4SNT7SRK94","1516905131083","1","30","gold","1000","gold","20000"
"206","","forage01","31","62011","0.0-8.0-23.0","A39Q4SNT7SRK94","1516905131083","1","29","gold","1000","gold","21000"
"187","","forage01","32","62301","0.0-8.0-24.0","A39Q4SNT7SRK94","1516905131083","1","28","gold","1000","gold","22000"
"1305","","forage01","33","63707","0.0-8.0-25.0","A39Q4SNT7SRK94","1516905131083","1","27","gold","1000","gold","23000"
"335","","forage01","34","64143","0.0-8.0-26.0","A39Q4SNT7SRK94","1516905131083","1","26","gold","1000","gold","24000"
"228","","forage01","35","64473","0.0-8.0-27.0","A39Q4SNT7SRK94","1516905131083","1","25","gold","1000","gold","25000"
"218","","forage01","36","64794","0.0-8.0-28.0","A39Q4SNT7SRK94","1516905131083","1","24","gold","1000","gold","26000"
"164","","forage01","37","65059","0.0-8.0-29.0","A39Q4SNT7SRK94","1516905131083","1","23","gold","1000","gold","27000"
"239","","forage01","38","65401","0.0-8.0-30.0","A39Q4SNT7SRK94","1516905131083","0","22","gold","0","gold","27000"
"554","","forage01","39","66058","0.0-8.0-31.0","A39Q4SNT7SRK94","1516905131083","1","21","gold","1000","gold","28000"
"220","","forage01","40","66380","0.0-8.0-32.0","A39Q4SNT7SRK94","1516905131083","1","20","gold","1000","gold","29000"
"238","","forage01","41","66721","0.0-8.0-33.0","A39Q4SNT7SRK94","1516905131083","1","19","gold","1000","gold","30000"
"186","","forage01","42","67008","0.0-8.0-34.0","A39Q4SNT7SRK94","1516905131083","1","18","gold","1000","gold","31000"
"237","","forage01","43","67349","0.0-8.0-35.0","A39Q4SNT7SRK94","1516905131083","1","17","gold","1000","gold","32000"
"160","","forage01","44","67612","0.0-8.0-36.0","A39Q4SNT7SRK94","1516905131083","1","16","gold","1000","gold","33000"
"215","","forage01","45","67929","0.0-8.0-37.0","A39Q4SNT7SRK94","1516905131083","1","15","gold","1000","gold","34000"
"146","","forage01","46","68176","0.0-8.0-38.0","A39Q4SNT7SRK94","1516905131083","1","14","gold","1000","gold","35000"
"222","","forage01","47","68500","0.0-8.0-39.0","A39Q4SNT7SRK94","1516905131083","1","13","gold","1000","gold","36000"
"189","","forage01","48","68790","0.0-8.0-40.0","A39Q4SNT7SRK94","1516905131083","1","12","gold","1000","gold","37000"
"156","","forage01","49","69048","0.0-8.0-41.0","A39Q4SNT7SRK94","1516905131083","1","11","gold","1000","gold","38000"
"299","","forage01","50","69448","0.0-8.0-42.0","A39Q4SNT7SRK94","1516905131083","0","10","dirt","0","gold","38000"
"250","","forage01","51","69800","0.0-8.0-43.0","A39Q4SNT7SRK94","1516905131083","1","9","gold","1000","gold","39000"
"205","","forage01","52","70108","0.0-8.0-44.0","A39Q4SNT7SRK94","1516905131083","1","8","gold","1000","gold","40000"
"300","","forage01","53","70511","0.0-8.0-45.0","A39Q4SNT7SRK94","1516905131083","1","7","gold","1000","gold","41000"
"199","","forage01","54","70812","0.0-8.0-46.0","A39Q4SNT7SRK94","1516905131083","1","6","gold","1000","gold","42000"
"174","","forage01","55","71089","0.0-8.0-47.0","A39Q4SNT7SRK94","1516905131083","1","5","gold","1000","gold","43000"
"182","","forage01","56","71374","0.0-8.0-48.0","A39Q4SNT7SRK94","1516905131083","1","4","gold","1000","gold","44000"
"168","","forage01","57","71644","0.0-8.0-49.0","A39Q4SNT7SRK94","1516905131083","1","3","gold","1000","gold","45000"
"147","","forage01","58","71892","0.0-8.0-50.0","A39Q4SNT7SRK94","1516905131083","1","2","gold","1000","gold","46000"
"178","","forage01","59","72173","0.0-8.0-51.0","A39Q4SNT7SRK94","1516905131083","1","1","gold","1000","gold","47000"
"3020","32","mine-text","60","75460","0.0-9.0","A39Q4SNT7SRK94","1516905131083","","","","","",""
"945","","forage01","61","76507","0.0-10.0-0.0","A39Q4SNT7SRK94","1516905131083","0","52","dirt","0","no mineshafts yet","0"
"381","","forage01","62","76990","0.0-10.0-1.0","A39Q4SNT7SRK94","1516905131083","1","51","dirt","0","dirt","0"
"235","","forage01","63","77326","0.0-10.0-2.0","A39Q4SNT7SRK94","1516905131083","1","50","dirt","0","dirt","0"
"751","","forage01","64","78179","0.0-10.0-3.0","A39Q4SNT7SRK94","1516905131083","0","49","dirt","0","dirt","0"
"315","","forage01","65","78597","0.0-10.0-4.0","A39Q4SNT7SRK94","1516905131083","1","48","dirt","0","dirt","0"
"156","","forage01","66","78856","0.0-10.0-5.0","A39Q4SNT7SRK94","1516905131083","1","47","dirt","0","dirt","0"
"247","","forage01","67","79205","0.0-10.0-6.0","A39Q4SNT7SRK94","1516905131083","0","46","dirt","0","dirt","0"
"280","","forage01","68","79586","0.0-10.0-7.0","A39Q4SNT7SRK94","1516905131083","1","45","dirt","0","dirt","0"
"159","","forage01","69","79848","0.0-10.0-8.0","A39Q4SNT7SRK94","1516905131083","1","44","dirt","0","dirt","0"
"197","","forage01","70","80148","0.0-10.0-9.0","A39Q4SNT7SRK94","1516905131083","1","43","dirt","0","dirt","0"
"175","","forage01","71","80426","0.0-10.0-10.0","A39Q4SNT7SRK94","1516905131083","1","42","dirt","0","dirt","0"
"174","","forage01","72","80702","0.0-10.0-11.0","A39Q4SNT7SRK94","1516905131083","1","41","dirt","0","dirt","0"
"448","","forage01","73","81251","0.0-10.0-12.0","A39Q4SNT7SRK94","1516905131083","0","40","dirt","0","dirt","0"
