"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"3365","32","text","0","3370","0.0-0.0","A3O5EU9QQV2OS1","1516906724754","","","","","",""
"2750","32","text","1","6224","0.0-1.0","A3O5EU9QQV2OS1","1516906724754","","","","","",""
"1864","32","text","2","8193","0.0-2.0","A3O5EU9QQV2OS1","1516906724754","","","","","",""
"18822","32","text","3","27120","0.0-3.0","A3O5EU9QQV2OS1","1516906724754","","","","","",""
"19463","32","mine-text","4","46975","0.0-4.0","A3O5EU9QQV2OS1","1516906724754","","","","","",""
"2800","32","text","5","49880","0.0-5.0","A3O5EU9QQV2OS1","1516906724754","","","","","",""
"3345","32","text","6","53326","0.0-6.0","A3O5EU9QQV2OS1","1516906724754","","","","","",""
"11515","32","mine-text","7","65251","0.0-7.0","A3O5EU9QQV2OS1","1516906724754","","","","","",""
"8713","","forage01","8","74073","0.0-8.0-0.0","A3O5EU9QQV2OS1","1516906724754","0","52","dirt","0","no mineshafts yet","0"
"15013","","forage01","9","89190","0.0-8.0-1.0","A3O5EU9QQV2OS1","1516906724754","1","51","dirt","0","dirt","0"
"2963","","forage01","10","92261","0.0-8.0-2.0","A3O5EU9QQV2OS1","1516906724754","1","50","dirt","0","dirt","0"
"1917","","forage01","11","94283","0.0-8.0-3.0","A3O5EU9QQV2OS1","1516906724754","0","49","gold","0","dirt","0"
"10057","","forage01","12","104448","0.0-8.0-4.0","A3O5EU9QQV2OS1","1516906724754","1","48","gold","1000","gold","1000"
"2262","","forage01","13","106816","0.0-8.0-5.0","A3O5EU9QQV2OS1","1516906724754","1","47","gold","1000","gold","2000"
"1943","","forage01","14","108867","0.0-8.0-6.0","A3O5EU9QQV2OS1","1516906724754","1","46","gold","1000","gold","3000"
"2395","","forage01","15","111368","0.0-8.0-7.0","A3O5EU9QQV2OS1","1516906724754","1","45","gold","1000","gold","4000"
"1127","","forage01","16","112602","0.0-8.0-8.0","A3O5EU9QQV2OS1","1516906724754","1","44","gold","1000","gold","5000"
"903","","forage01","17","113609","0.0-8.0-9.0","A3O5EU9QQV2OS1","1516906724754","1","43","gold","1000","gold","6000"
"847","","forage01","18","114561","0.0-8.0-10.0","A3O5EU9QQV2OS1","1516906724754","1","42","gold","1000","gold","7000"
"529","","forage01","19","115195","0.0-8.0-11.0","A3O5EU9QQV2OS1","1516906724754","1","41","gold","1000","gold","8000"
"3261","","forage01","20","118564","0.0-8.0-12.0","A3O5EU9QQV2OS1","1516906724754","1","40","gold","1000","gold","9000"
"731","","forage01","21","119403","0.0-8.0-13.0","A3O5EU9QQV2OS1","1516906724754","1","39","gold","1000","gold","10000"
"515","","forage01","22","120023","0.0-8.0-14.0","A3O5EU9QQV2OS1","1516906724754","0","38","dirt","0","gold","10000"
"834","","forage01","23","120962","0.0-8.0-15.0","A3O5EU9QQV2OS1","1516906724754","0","37","gold","0","gold","10000"
"645","","forage01","24","121713","0.0-8.0-16.0","A3O5EU9QQV2OS1","1516906724754","0","36","dirt","0","gold","10000"
"1327","","forage01","25","123148","0.0-8.0-17.0","A3O5EU9QQV2OS1","1516906724754","0","35","gold","0","gold","10000"
"2364","","forage01","26","125621","0.0-8.0-18.0","A3O5EU9QQV2OS1","1516906724754","0","34","dirt","0","gold","10000"
"1006","","forage01","27","126736","0.0-8.0-19.0","A3O5EU9QQV2OS1","1516906724754","0","33","dirt","0","gold","10000"
"490","","forage01","28","127335","0.0-8.0-20.0","A3O5EU9QQV2OS1","1516906724754","0","32","dirt","0","gold","10000"
"501","","forage01","29","127943","0.0-8.0-21.0","A3O5EU9QQV2OS1","1516906724754","0","31","dirt","0","gold","10000"
"421","","forage01","30","128473","0.0-8.0-22.0","A3O5EU9QQV2OS1","1516906724754","0","30","gold","0","gold","10000"
"494","","forage01","31","129075","0.0-8.0-23.0","A3O5EU9QQV2OS1","1516906724754","0","29","dirt","0","gold","10000"
"458","","forage01","32","129641","0.0-8.0-24.0","A3O5EU9QQV2OS1","1516906724754","0","28","gold","0","gold","10000"
"618","","forage01","33","130369","0.0-8.0-25.0","A3O5EU9QQV2OS1","1516906724754","0","27","dirt","0","gold","10000"
"494","","forage01","34","130971","0.0-8.0-26.0","A3O5EU9QQV2OS1","1516906724754","0","26","dirt","0","gold","10000"
"675","","forage01","35","131755","0.0-8.0-27.0","A3O5EU9QQV2OS1","1516906724754","0","25","dirt","0","gold","10000"
"480","","forage01","36","132347","0.0-8.0-28.0","A3O5EU9QQV2OS1","1516906724754","0","24","dirt","0","gold","10000"
"410","","forage01","37","132869","0.0-8.0-29.0","A3O5EU9QQV2OS1","1516906724754","0","23","dirt","0","gold","10000"
"427","","forage01","38","133407","0.0-8.0-30.0","A3O5EU9QQV2OS1","1516906724754","0","22","dirt","0","gold","10000"
"539","","forage01","39","134053","0.0-8.0-31.0","A3O5EU9QQV2OS1","1516906724754","0","21","gold","0","gold","10000"
"1178","","forage01","40","135343","0.0-8.0-32.0","A3O5EU9QQV2OS1","1516906724754","0","20","diamond","0","gold","10000"
"1266","","forage01","41","136719","0.0-8.0-33.0","A3O5EU9QQV2OS1","1516906724754","1","19","diamond","100000","diamond","110000"
"458","","forage01","42","137289","0.0-8.0-34.0","A3O5EU9QQV2OS1","1516906724754","1","18","diamond","100000","diamond","210000"
"442","","forage01","43","137841","0.0-8.0-35.0","A3O5EU9QQV2OS1","1516906724754","1","17","diamond","100000","diamond","310000"
"436","","forage01","44","138385","0.0-8.0-36.0","A3O5EU9QQV2OS1","1516906724754","1","16","diamond","100000","diamond","410000"
"435","","forage01","45","138930","0.0-8.0-37.0","A3O5EU9QQV2OS1","1516906724754","1","15","diamond","100000","diamond","510000"
"441","","forage01","46","139482","0.0-8.0-38.0","A3O5EU9QQV2OS1","1516906724754","1","14","diamond","100000","diamond","610000"
"386","","forage01","47","139980","0.0-8.0-39.0","A3O5EU9QQV2OS1","1516906724754","1","13","diamond","100000","diamond","710000"
"357","","forage01","48","140453","0.0-8.0-40.0","A3O5EU9QQV2OS1","1516906724754","1","12","diamond","100000","diamond","810000"
"356","","forage01","49","140915","0.0-8.0-41.0","A3O5EU9QQV2OS1","1516906724754","1","11","diamond","100000","diamond","910000"
"315","","forage01","50","141342","0.0-8.0-42.0","A3O5EU9QQV2OS1","1516906724754","1","10","diamond","100000","diamond","1010000"
"376","","forage01","51","141830","0.0-8.0-43.0","A3O5EU9QQV2OS1","1516906724754","1","9","diamond","100000","diamond","1110000"
"644","","forage01","52","142584","0.0-8.0-44.0","A3O5EU9QQV2OS1","1516906724754","1","8","diamond","100000","diamond","1210000"
"277","","forage01","53","142968","0.0-8.0-45.0","A3O5EU9QQV2OS1","1516906724754","1","7","diamond","100000","diamond","1310000"
"363","","forage01","54","143440","0.0-8.0-46.0","A3O5EU9QQV2OS1","1516906724754","1","6","diamond","100000","diamond","1410000"
"300","","forage01","55","143850","0.0-8.0-47.0","A3O5EU9QQV2OS1","1516906724754","1","5","diamond","100000","diamond","1510000"
"353","","forage01","56","144314","0.0-8.0-48.0","A3O5EU9QQV2OS1","1516906724754","1","4","diamond","100000","diamond","1610000"
"411","","forage01","57","144835","0.0-8.0-49.0","A3O5EU9QQV2OS1","1516906724754","1","3","diamond","100000","diamond","1710000"
"420","","forage01","58","145363","0.0-8.0-50.0","A3O5EU9QQV2OS1","1516906724754","1","2","diamond","100000","diamond","1810000"
"386","","forage01","59","145859","0.0-8.0-51.0","A3O5EU9QQV2OS1","1516906724754","1","1","diamond","100000","diamond","1910000"
"3446","32","mine-text","60","149689","0.0-9.0","A3O5EU9QQV2OS1","1516906724754","","","","","",""
"1349","","forage01","61","151144","0.0-10.0-0.0","A3O5EU9QQV2OS1","1516906724754","0","52","gold","0","no mineshafts yet","0"
"1976","","forage01","62","153226","0.0-10.0-1.0","A3O5EU9QQV2OS1","1516906724754","0","51","dirt","0","gold","0"
"607","","forage01","63","153940","0.0-10.0-2.0","A3O5EU9QQV2OS1","1516906724754","0","50","dirt","0","gold","0"
"405","","forage01","64","154452","0.0-10.0-3.0","A3O5EU9QQV2OS1","1516906724754","0","49","gold","0","gold","0"
"366","","forage01","65","154924","0.0-10.0-4.0","A3O5EU9QQV2OS1","1516906724754","0","48","dirt","0","gold","0"
"395","","forage01","66","155430","0.0-10.0-5.0","A3O5EU9QQV2OS1","1516906724754","0","47","dirt","0","gold","0"
"486","","forage01","67","156023","0.0-10.0-6.0","A3O5EU9QQV2OS1","1516906724754","0","46","gold","0","gold","0"
"482","","forage01","68","156615","0.0-10.0-7.0","A3O5EU9QQV2OS1","1516906724754","0","45","dirt","0","gold","0"
"436","","forage01","69","157159","0.0-10.0-8.0","A3O5EU9QQV2OS1","1516906724754","0","44","gold","0","gold","0"
"596","","forage01","70","157864","0.0-10.0-9.0","A3O5EU9QQV2OS1","1516906724754","0","43","dirt","0","gold","0"
"453","","forage01","71","158425","0.0-10.0-10.0","A3O5EU9QQV2OS1","1516906724754","0","42","dirt","0","gold","0"
"756","","forage01","72","159288","0.0-10.0-11.0","A3O5EU9QQV2OS1","1516906724754","0","41","dirt","0","gold","0"
"436","","forage01","73","159834","0.0-10.0-12.0","A3O5EU9QQV2OS1","1516906724754","0","40","dirt","0","gold","0"
"433","","forage01","74","160378","0.0-10.0-13.0","A3O5EU9QQV2OS1","1516906724754","0","39","dirt","0","gold","0"
"459","","forage01","75","160946","0.0-10.0-14.0","A3O5EU9QQV2OS1","1516906724754","0","38","dirt","0","gold","0"
"484","","forage01","76","161539","0.0-10.0-15.0","A3O5EU9QQV2OS1","1516906724754","0","37","dirt","0","gold","0"
"493","","forage01","77","162140","0.0-10.0-16.0","A3O5EU9QQV2OS1","1516906724754","0","36","dirt","0","gold","0"
"6664","","forage01","78","168914","0.0-10.0-17.0","A3O5EU9QQV2OS1","1516906724754","0","35","dirt","0","gold","0"
"603","","forage01","79","169626","0.0-10.0-18.0","A3O5EU9QQV2OS1","1516906724754","0","34","dirt","0","gold","0"
"643","","forage01","80","170379","0.0-10.0-19.0","A3O5EU9QQV2OS1","1516906724754","0","33","gold","0","gold","0"
"604","","forage01","81","171091","0.0-10.0-20.0","A3O5EU9QQV2OS1","1516906724754","0","32","gold","0","gold","0"
"483","","forage01","82","171684","0.0-10.0-21.0","A3O5EU9QQV2OS1","1516906724754","0","31","gold","0","gold","0"
"488","","forage01","83","172281","0.0-10.0-22.0","A3O5EU9QQV2OS1","1516906724754","0","30","dirt","0","gold","0"
"472","","forage01","84","172864","0.0-10.0-23.0","A3O5EU9QQV2OS1","1516906724754","0","29","dirt","0","gold","0"
"411","","forage01","85","173383","0.0-10.0-24.0","A3O5EU9QQV2OS1","1516906724754","0","28","dirt","0","gold","0"
"410","","forage01","86","173903","0.0-10.0-25.0","A3O5EU9QQV2OS1","1516906724754","0","27","diamond","0","gold","0"
"1125","","forage01","87","175139","0.0-10.0-26.0","A3O5EU9QQV2OS1","1516906724754","1","26","diamond","100000","diamond","100000"
"725","","forage01","88","175973","0.0-10.0-27.0","A3O5EU9QQV2OS1","1516906724754","1","25","diamond","100000","diamond","200000"
