"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"12149","32","text","0","12155","0.0-0.0","A3RQN5RZD1N2KP","1516904741369","","","","","",""
"21400","32","text","1","33657","0.0-1.0","A3RQN5RZD1N2KP","1516904741369","","","","","",""
"4074","32","text","2","37834","0.0-2.0","A3RQN5RZD1N2KP","1516904741369","","","","","",""
"20471","32","text","3","58407","0.0-3.0","A3RQN5RZD1N2KP","1516904741369","","","","","",""
"26763","32","mine-text","4","85550","0.0-4.0","A3RQN5RZD1N2KP","1516904741369","","","","","",""
"31505","32","text","5","117156","0.0-5.0","A3RQN5RZD1N2KP","1516904741369","","","","","",""
"14767","32","text","6","132024","0.0-6.0","A3RQN5RZD1N2KP","1516904741369","","","","","",""
"15594","32","mine-text","7","147984","0.0-7.0","A3RQN5RZD1N2KP","1516904741369","","","","","",""
"7610","","forage01","8","155700","0.0-8.0-0.0","A3RQN5RZD1N2KP","1516904741369","0","52","gold","0","no mineshafts yet","0"
"3975","","forage01","9","159779","0.0-8.0-1.0","A3RQN5RZD1N2KP","1516904741369","1","51","gold","1000","gold","1000"
"1335","","forage01","10","161219","0.0-8.0-2.0","A3RQN5RZD1N2KP","1516904741369","1","50","gold","1000","gold","2000"
"1689","","forage01","11","163011","0.0-8.0-3.0","A3RQN5RZD1N2KP","1516904741369","1","49","gold","1000","gold","3000"
"1727","","forage01","12","164842","0.0-8.0-4.0","A3RQN5RZD1N2KP","1516904741369","1","48","gold","1000","gold","4000"
"793","","forage01","13","165738","0.0-8.0-5.0","A3RQN5RZD1N2KP","1516904741369","1","47","gold","1000","gold","5000"
"771","","forage01","14","166611","0.0-8.0-6.0","A3RQN5RZD1N2KP","1516904741369","1","46","gold","1000","gold","6000"
"857","","forage01","15","167570","0.0-8.0-7.0","A3RQN5RZD1N2KP","1516904741369","1","45","gold","1000","gold","7000"
"927","","forage01","16","168619","0.0-8.0-8.0","A3RQN5RZD1N2KP","1516904741369","1","44","gold","1000","gold","8000"
"736","","forage01","17","169458","0.0-8.0-9.0","A3RQN5RZD1N2KP","1516904741369","1","43","gold","1000","gold","9000"
"632","","forage01","18","170194","0.0-8.0-10.0","A3RQN5RZD1N2KP","1516904741369","1","42","gold","1000","gold","10000"
"930","","forage01","19","171227","0.0-8.0-11.0","A3RQN5RZD1N2KP","1516904741369","1","41","gold","1000","gold","11000"
"686","","forage01","20","172019","0.0-8.0-12.0","A3RQN5RZD1N2KP","1516904741369","1","40","gold","1000","gold","12000"
"577","","forage01","21","172698","0.0-8.0-13.0","A3RQN5RZD1N2KP","1516904741369","1","39","gold","1000","gold","13000"
"633","","forage01","22","173434","0.0-8.0-14.0","A3RQN5RZD1N2KP","1516904741369","1","38","gold","1000","gold","14000"
"736","","forage01","23","174275","0.0-8.0-15.0","A3RQN5RZD1N2KP","1516904741369","1","37","gold","1000","gold","15000"
"529","","forage01","24","174907","0.0-8.0-16.0","A3RQN5RZD1N2KP","1516904741369","1","36","gold","1000","gold","16000"
"569","","forage01","25","175578","0.0-8.0-17.0","A3RQN5RZD1N2KP","1516904741369","1","35","gold","1000","gold","17000"
"506","","forage01","26","176186","0.0-8.0-18.0","A3RQN5RZD1N2KP","1516904741369","1","34","gold","1000","gold","18000"
"561","","forage01","27","176851","0.0-8.0-19.0","A3RQN5RZD1N2KP","1516904741369","1","33","gold","1000","gold","19000"
"705","","forage01","28","177659","0.0-8.0-20.0","A3RQN5RZD1N2KP","1516904741369","1","32","gold","1000","gold","20000"
"649","","forage01","29","178411","0.0-8.0-21.0","A3RQN5RZD1N2KP","1516904741369","1","31","gold","1000","gold","21000"
"649","","forage01","30","179163","0.0-8.0-22.0","A3RQN5RZD1N2KP","1516904741369","1","30","gold","1000","gold","22000"
"759","","forage01","31","180026","0.0-8.0-23.0","A3RQN5RZD1N2KP","1516904741369","1","29","gold","1000","gold","23000"
"578","","forage01","32","180707","0.0-8.0-24.0","A3RQN5RZD1N2KP","1516904741369","1","28","gold","1000","gold","24000"
"793","","forage01","33","181602","0.0-8.0-25.0","A3RQN5RZD1N2KP","1516904741369","1","27","gold","1000","gold","25000"
"578","","forage01","34","182283","0.0-8.0-26.0","A3RQN5RZD1N2KP","1516904741369","1","26","gold","1000","gold","26000"
"513","","forage01","35","182901","0.0-8.0-27.0","A3RQN5RZD1N2KP","1516904741369","1","25","gold","1000","gold","27000"
"623","","forage01","36","183626","0.0-8.0-28.0","A3RQN5RZD1N2KP","1516904741369","1","24","gold","1000","gold","28000"
"572","","forage01","37","184307","0.0-8.0-29.0","A3RQN5RZD1N2KP","1516904741369","1","23","gold","1000","gold","29000"
"528","","forage01","38","184939","0.0-8.0-30.0","A3RQN5RZD1N2KP","1516904741369","1","22","gold","1000","gold","30000"
