"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"5318","32","text","0","5330","0.0-0.0","A3VHDQR8A9JJ4F","1517428241744","","","","","",""
"2865","32","text","1","8308","0.0-1.0","A3VHDQR8A9JJ4F","1517428241744","","","","","",""
"6078","32","text","2","14491","0.0-2.0","A3VHDQR8A9JJ4F","1517428241744","","","","","",""
"22430","32","text","3","37030","0.0-3.0","A3VHDQR8A9JJ4F","1517428241744","","","","","",""
"15438","32","mine-text","4","53117","0.0-4.0","A3VHDQR8A9JJ4F","1517428241744","","","","","",""
"20725","32","text","5","73945","0.0-5.0","A3VHDQR8A9JJ4F","1517428241744","","","","","",""
"12715","32","text","6","86764","0.0-6.0","A3VHDQR8A9JJ4F","1517428241744","","","","","",""
"9647","32","mine-text","7","97108","0.0-7.0","A3VHDQR8A9JJ4F","1517428241744","","","","","",""
"6225","","forage01","8","103445","0.0-8.0-0.0","A3VHDQR8A9JJ4F","1517428241744","0","52","dirt","0","no mineshafts yet","0"
"9661","","forage01","9","113222","0.0-8.0-1.0","A3VHDQR8A9JJ4F","1517428241744","1","51","dirt","0","dirt","0"
"2561","","forage01","10","115915","0.0-8.0-2.0","A3VHDQR8A9JJ4F","1517428241744","0","50","dirt","0","dirt","0"
"2721","","forage01","11","118757","0.0-8.0-3.0","A3VHDQR8A9JJ4F","1517428241744","0","49","gold","0","dirt","0"
"2385","","forage01","12","121265","0.0-8.0-4.0","A3VHDQR8A9JJ4F","1517428241744","1","48","gold","1000","gold","1000"
"1623","","forage01","13","122998","0.0-8.0-5.0","A3VHDQR8A9JJ4F","1517428241744","1","47","gold","1000","gold","2000"
"809","","forage01","14","123924","0.0-8.0-6.0","A3VHDQR8A9JJ4F","1517428241744","1","46","gold","1000","gold","3000"
"681","","forage01","15","124716","0.0-8.0-7.0","A3VHDQR8A9JJ4F","1517428241744","1","45","gold","1000","gold","4000"
"666","","forage01","16","125502","0.0-8.0-8.0","A3VHDQR8A9JJ4F","1517428241744","1","44","gold","1000","gold","5000"
"487","","forage01","17","126107","0.0-8.0-9.0","A3VHDQR8A9JJ4F","1517428241744","1","43","gold","1000","gold","6000"
