"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"36279","32","text","0","36311","0.0-0.0","A3VZJ2T28HAQ2A","1516905381877","","","","","",""
"1559","32","text","1","37979","0.0-1.0","A3VZJ2T28HAQ2A","1516905381877","","","","","",""
"587","32","text","2","38675","0.0-2.0","A3VZJ2T28HAQ2A","1516905381877","","","","","",""
"615","32","text","3","39402","0.0-3.0","A3VZJ2T28HAQ2A","1516905381877","","","","","",""
"3586","32","mine-text","4","45275","0.0-4.0","A3VZJ2T28HAQ2A","1516905381877","","","","","",""
"685","32","text","5","46081","0.0-5.0","A3VZJ2T28HAQ2A","1516905381877","","","","","",""
"376","32","text","6","46560","0.0-6.0","A3VZJ2T28HAQ2A","1516905381877","","","","","",""
"936","32","mine-text","7","48991","0.0-7.0","A3VZJ2T28HAQ2A","1516905381877","","","","","",""
"672","","forage01","8","49779","0.0-8.0-0.0","A3VZJ2T28HAQ2A","1516905381877","0","52","dirt","0","no mineshafts yet","0"
"141","","forage01","9","50032","0.0-8.0-1.0","A3VZJ2T28HAQ2A","1516905381877","1","51","dirt","0","dirt","0"
"366","","forage01","10","50514","0.0-8.0-2.0","A3VZJ2T28HAQ2A","1516905381877","1","50","dirt","0","dirt","0"
"170","","forage01","11","50795","0.0-8.0-3.0","A3VZJ2T28HAQ2A","1516905381877","0","49","dirt","0","dirt","0"
"130","","forage01","12","51036","0.0-8.0-4.0","A3VZJ2T28HAQ2A","1516905381877","0","48","gold","0","dirt","0"
"144","","forage01","13","51292","0.0-8.0-5.0","A3VZJ2T28HAQ2A","1516905381877","1","47","gold","1000","gold","1000"
"119","","forage01","14","51523","0.0-8.0-6.0","A3VZJ2T28HAQ2A","1516905381877","0","46","gold","0","gold","1000"
"110","","forage01","15","51744","0.0-8.0-7.0","A3VZJ2T28HAQ2A","1516905381877","1","45","gold","1000","gold","2000"
"129","","forage01","16","51984","0.0-8.0-8.0","A3VZJ2T28HAQ2A","1516905381877","0","44","gold","0","gold","2000"
"121","","forage01","17","52215","0.0-8.0-9.0","A3VZJ2T28HAQ2A","1516905381877","1","43","gold","1000","gold","3000"
"136","","forage01","18","52489","0.0-8.0-10.0","A3VZJ2T28HAQ2A","1516905381877","1","42","gold","1000","gold","4000"
"186","","forage01","19","52791","0.0-8.0-11.0","A3VZJ2T28HAQ2A","1516905381877","1","41","gold","1000","gold","5000"
"174","","forage01","20","53079","0.0-8.0-12.0","A3VZJ2T28HAQ2A","1516905381877","1","40","gold","1000","gold","6000"
"166","","forage01","21","53357","0.0-8.0-13.0","A3VZJ2T28HAQ2A","1516905381877","1","39","gold","1000","gold","7000"
"186","","forage01","22","53655","0.0-8.0-14.0","A3VZJ2T28HAQ2A","1516905381877","1","38","gold","1000","gold","8000"
"474","","forage01","23","54239","0.0-8.0-15.0","A3VZJ2T28HAQ2A","1516905381877","1","37","gold","1000","gold","9000"
"188","","forage01","24","54536","0.0-8.0-16.0","A3VZJ2T28HAQ2A","1516905381877","1","36","gold","1000","gold","10000"
"185","","forage01","25","54840","0.0-8.0-17.0","A3VZJ2T28HAQ2A","1516905381877","1","35","gold","1000","gold","11000"
"161","","forage01","26","55113","0.0-8.0-18.0","A3VZJ2T28HAQ2A","1516905381877","1","34","gold","1000","gold","12000"
"207","","forage01","27","55445","0.0-8.0-19.0","A3VZJ2T28HAQ2A","1516905381877","1","33","gold","1000","gold","13000"
"203","","forage01","28","55764","0.0-8.0-20.0","A3VZJ2T28HAQ2A","1516905381877","1","32","gold","1000","gold","14000"
"198","","forage01","29","56071","0.0-8.0-21.0","A3VZJ2T28HAQ2A","1516905381877","1","31","gold","1000","gold","15000"
"195","","forage01","30","56376","0.0-8.0-22.0","A3VZJ2T28HAQ2A","1516905381877","1","30","gold","1000","gold","16000"
"186","","forage01","31","56681","0.0-8.0-23.0","A3VZJ2T28HAQ2A","1516905381877","1","29","gold","1000","gold","17000"
"163","","forage01","32","56956","0.0-8.0-24.0","A3VZJ2T28HAQ2A","1516905381877","1","28","gold","1000","gold","18000"
"172","","forage01","33","57237","0.0-8.0-25.0","A3VZJ2T28HAQ2A","1516905381877","1","27","gold","1000","gold","19000"
"193","","forage01","34","57539","0.0-8.0-26.0","A3VZJ2T28HAQ2A","1516905381877","1","26","gold","1000","gold","20000"
"208","","forage01","35","57854","0.0-8.0-27.0","A3VZJ2T28HAQ2A","1516905381877","1","25","gold","1000","gold","21000"
"186","","forage01","36","58149","0.0-8.0-28.0","A3VZJ2T28HAQ2A","1516905381877","1","24","gold","1000","gold","22000"
"232","","forage01","37","58493","0.0-8.0-29.0","A3VZJ2T28HAQ2A","1516905381877","1","23","gold","1000","gold","23000"
"221","","forage01","38","58822","0.0-8.0-30.0","A3VZJ2T28HAQ2A","1516905381877","1","22","gold","1000","gold","24000"
"218","","forage01","39","59149","0.0-8.0-31.0","A3VZJ2T28HAQ2A","1516905381877","1","21","gold","1000","gold","25000"
"161","","forage01","40","59422","0.0-8.0-32.0","A3VZJ2T28HAQ2A","1516905381877","1","20","gold","1000","gold","26000"
"199","","forage01","41","59736","0.0-8.0-33.0","A3VZJ2T28HAQ2A","1516905381877","1","19","gold","1000","gold","27000"
"11284","","forage01","42","71143","0.0-8.0-34.0","A3VZJ2T28HAQ2A","1516905381877","0","18","dirt","0","gold","27000"
"341","","forage01","43","71624","0.0-8.0-35.0","A3VZJ2T28HAQ2A","1516905381877","1","17","gold","1000","gold","28000"
"212","","forage01","44","71972","0.0-8.0-36.0","A3VZJ2T28HAQ2A","1516905381877","1","16","gold","1000","gold","29000"
"119","","forage01","45","72207","0.0-8.0-37.0","A3VZJ2T28HAQ2A","1516905381877","1","15","gold","1000","gold","30000"
"102","","forage01","46","72425","0.0-8.0-38.0","A3VZJ2T28HAQ2A","1516905381877","1","14","gold","1000","gold","31000"
"61","","forage01","47","72601","0.0-8.0-39.0","A3VZJ2T28HAQ2A","1516905381877","1","13","gold","1000","gold","32000"
"209","","forage01","48","72933","0.0-8.0-40.0","A3VZJ2T28HAQ2A","1516905381877","1","12","gold","1000","gold","33000"
"219","","forage01","49","73270","0.0-8.0-41.0","A3VZJ2T28HAQ2A","1516905381877","1","11","gold","1000","gold","34000"
"185","","forage01","50","73569","0.0-8.0-42.0","A3VZJ2T28HAQ2A","1516905381877","1","10","gold","1000","gold","35000"
"355","","forage01","51","74047","0.0-8.0-43.0","A3VZJ2T28HAQ2A","1516905381877","1","9","gold","1000","gold","36000"
"447","","forage01","52","74615","0.0-8.0-44.0","A3VZJ2T28HAQ2A","1516905381877","1","8","gold","1000","gold","37000"
"297","","forage01","53","75025","0.0-8.0-45.0","A3VZJ2T28HAQ2A","1516905381877","1","7","gold","1000","gold","38000"
"403","","forage01","54","75540","0.0-8.0-46.0","A3VZJ2T28HAQ2A","1516905381877","1","6","gold","1000","gold","39000"
"211","","forage01","55","75866","0.0-8.0-47.0","A3VZJ2T28HAQ2A","1516905381877","1","5","gold","1000","gold","40000"
