"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"2474","32","text","0","2477","0.0-0.0","ABL3H3O3BI8ZD","1517434848820","","","","","",""
"511","32","text","1","3091","0.0-1.0","ABL3H3O3BI8ZD","1517434848820","","","","","",""
"551","32","text","2","3781","0.0-2.0","ABL3H3O3BI8ZD","1517434848820","","","","","",""
"633","32","text","3","4516","0.0-3.0","ABL3H3O3BI8ZD","1517434848820","","","","","",""
"522","32","mine-text","4","5251","0.0-4.0","ABL3H3O3BI8ZD","1517434848820","","","","","",""
"512","32","text","5","5866","0.0-5.0","ABL3H3O3BI8ZD","1517434848820","","","","","",""
"410","32","text","6","6376","0.0-6.0","ABL3H3O3BI8ZD","1517434848820","","","","","",""
"732","32","mine-text","7","7352","0.0-7.0","ABL3H3O3BI8ZD","1517434848820","","","","","",""
"1952","","forage01","8","9410","0.0-8.0-0.0","ABL3H3O3BI8ZD","1517434848820","0","52","dirt","0","no mineshafts yet","0"
"1077","","forage01","9","10591","0.0-8.0-1.0","ABL3H3O3BI8ZD","1517434848820","0","51","gold","0","dirt","0"
"443","","forage01","10","11162","0.0-8.0-2.0","ABL3H3O3BI8ZD","1517434848820","1","50","gold","1000","gold","1000"
"270","","forage01","11","11536","0.0-8.0-3.0","ABL3H3O3BI8ZD","1517434848820","1","49","gold","1000","gold","2000"
"352","","forage01","12","11991","0.0-8.0-4.0","ABL3H3O3BI8ZD","1517434848820","0","48","gold","0","gold","2000"
"233","","forage01","13","12326","0.0-8.0-5.0","ABL3H3O3BI8ZD","1517434848820","0","47","dirt","0","gold","2000"
"129","","forage01","14","12559","0.0-8.0-6.0","ABL3H3O3BI8ZD","1517434848820","0","46","gold","0","gold","2000"
"119","","forage01","15","12784","0.0-8.0-7.0","ABL3H3O3BI8ZD","1517434848820","0","45","gold","0","gold","2000"
"313","","forage01","16","13201","0.0-8.0-8.0","ABL3H3O3BI8ZD","1517434848820","0","44","dirt","0","gold","2000"
"440","","forage01","17","13748","0.0-8.0-9.0","ABL3H3O3BI8ZD","1517434848820","1","43","gold","1000","gold","3000"
"315","","forage01","18","14166","0.0-8.0-10.0","ABL3H3O3BI8ZD","1517434848820","1","42","gold","1000","gold","4000"
"291","","forage01","19","14562","0.0-8.0-11.0","ABL3H3O3BI8ZD","1517434848820","1","41","gold","1000","gold","5000"
"235","","forage01","20","14900","0.0-8.0-12.0","ABL3H3O3BI8ZD","1517434848820","0","40","gold","0","gold","5000"
"284","","forage01","21","15288","0.0-8.0-13.0","ABL3H3O3BI8ZD","1517434848820","1","39","gold","1000","gold","6000"
"251","","forage01","22","15642","0.0-8.0-14.0","ABL3H3O3BI8ZD","1517434848820","0","38","dirt","0","gold","6000"
"245","","forage01","23","15992","0.0-8.0-15.0","ABL3H3O3BI8ZD","1517434848820","1","37","gold","1000","gold","7000"
"258","","forage01","24","16354","0.0-8.0-16.0","ABL3H3O3BI8ZD","1517434848820","0","36","dirt","0","gold","7000"
"242","","forage01","25","16700","0.0-8.0-17.0","ABL3H3O3BI8ZD","1517434848820","1","35","gold","1000","gold","8000"
"211","","forage01","26","17014","0.0-8.0-18.0","ABL3H3O3BI8ZD","1517434848820","0","34","gold","0","gold","8000"
"103","","forage01","27","17220","0.0-8.0-19.0","ABL3H3O3BI8ZD","1517434848820","0","33","gold","0","gold","8000"
