"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"3357","32","text","0","3361","0.0-0.0","AEWGY34WUIA32","1517428211056","","","","","",""
"2321","32","text","1","5783","0.0-1.0","AEWGY34WUIA32","1517428211056","","","","","",""
"1540","32","text","2","7423","0.0-2.0","AEWGY34WUIA32","1517428211056","","","","","",""
"15122","32","text","3","22647","0.0-3.0","AEWGY34WUIA32","1517428211056","","","","","",""
"19678","32","mine-text","4","42590","0.0-4.0","AEWGY34WUIA32","1517428211056","","","","","",""
"22672","32","text","5","65363","0.0-5.0","AEWGY34WUIA32","1517428211056","","","","","",""
"8322","32","text","6","73786","0.0-6.0","AEWGY34WUIA32","1517428211056","","","","","",""
"5256","32","mine-text","7","79323","0.0-7.0","AEWGY34WUIA32","1517428211056","","","","","",""
"6468","","forage01","8","85896","0.0-8.0-0.0","AEWGY34WUIA32","1517428211056","0","52","dirt","0","no mineshafts yet","0"
"9008","","forage01","9","95006","0.0-8.0-1.0","AEWGY34WUIA32","1517428211056","0","51","dirt","0","dirt","0"
"1760","","forage01","10","96870","0.0-8.0-2.0","AEWGY34WUIA32","1517428211056","0","50","dirt","0","dirt","0"
"2297","","forage01","11","99270","0.0-8.0-3.0","AEWGY34WUIA32","1517428211056","0","49","dirt","0","dirt","0"
"528","","forage01","12","99902","0.0-8.0-4.0","AEWGY34WUIA32","1517428211056","0","48","dirt","0","dirt","0"
"609","","forage01","13","100614","0.0-8.0-5.0","AEWGY34WUIA32","1517428211056","0","47","dirt","0","dirt","0"
"290","","forage01","14","101006","0.0-8.0-6.0","AEWGY34WUIA32","1517428211056","0","46","dirt","0","dirt","0"
"472","","forage01","15","101581","0.0-8.0-7.0","AEWGY34WUIA32","1517428211056","0","45","gold","0","dirt","0"
"336","","forage01","16","102022","0.0-8.0-8.0","AEWGY34WUIA32","1517428211056","0","44","gold","0","gold","0"
"4065","","forage01","17","106190","0.0-8.0-9.0","AEWGY34WUIA32","1517428211056","1","43","gold","1000","gold","1000"
"1264","","forage01","18","107557","0.0-8.0-10.0","AEWGY34WUIA32","1517428211056","1","42","gold","1000","gold","2000"
"1249","","forage01","19","108909","0.0-8.0-11.0","AEWGY34WUIA32","1517428211056","1","41","gold","1000","gold","3000"
"681","","forage01","20","109694","0.0-8.0-12.0","AEWGY34WUIA32","1517428211056","1","40","gold","1000","gold","4000"
"1728","","forage01","21","111525","0.0-8.0-13.0","AEWGY34WUIA32","1517428211056","1","39","gold","1000","gold","5000"
"529","","forage01","22","112158","0.0-8.0-14.0","AEWGY34WUIA32","1517428211056","1","38","gold","1000","gold","6000"
"327","","forage01","23","112589","0.0-8.0-15.0","AEWGY34WUIA32","1517428211056","1","37","gold","1000","gold","7000"
"680","","forage01","24","113374","0.0-8.0-16.0","AEWGY34WUIA32","1517428211056","1","36","gold","1000","gold","8000"
"458","","forage01","25","113933","0.0-8.0-17.0","AEWGY34WUIA32","1517428211056","1","35","gold","1000","gold","9000"
"513","","forage01","26","114550","0.0-8.0-18.0","AEWGY34WUIA32","1517428211056","1","34","gold","1000","gold","10000"
"1050","","forage01","27","115702","0.0-8.0-19.0","AEWGY34WUIA32","1517428211056","0","33","gold","0","gold","10000"
"1208","","forage01","28","117014","0.0-8.0-20.0","AEWGY34WUIA32","1517428211056","0","32","gold","0","gold","10000"
"944","","forage01","29","118062","0.0-8.0-21.0","AEWGY34WUIA32","1517428211056","1","31","gold","1000","gold","11000"
"409","","forage01","30","118573","0.0-8.0-22.0","AEWGY34WUIA32","1517428211056","1","30","gold","1000","gold","12000"
"369","","forage01","31","119045","0.0-8.0-23.0","AEWGY34WUIA32","1517428211056","1","29","gold","1000","gold","13000"
"561","","forage01","32","119709","0.0-8.0-24.0","AEWGY34WUIA32","1517428211056","1","28","gold","1000","gold","14000"
"569","","forage01","33","120382","0.0-8.0-25.0","AEWGY34WUIA32","1517428211056","1","27","gold","1000","gold","15000"
"951","","forage01","34","121437","0.0-8.0-26.0","AEWGY34WUIA32","1517428211056","1","26","gold","1000","gold","16000"
"2024","","forage01","35","123565","0.0-8.0-27.0","AEWGY34WUIA32","1517428211056","1","25","gold","1000","gold","17000"
"711","","forage01","36","124381","0.0-8.0-28.0","AEWGY34WUIA32","1517428211056","1","24","gold","1000","gold","18000"
"593","","forage01","37","125078","0.0-8.0-29.0","AEWGY34WUIA32","1517428211056","0","23","gold","0","gold","18000"
"414","","forage01","38","125595","0.0-8.0-30.0","AEWGY34WUIA32","1517428211056","0","22","dirt","0","gold","18000"
"617","","forage01","39","126315","0.0-8.0-31.0","AEWGY34WUIA32","1517428211056","0","21","gold","0","gold","18000"
"513","","forage01","40","126931","0.0-8.0-32.0","AEWGY34WUIA32","1517428211056","0","20","gold","0","gold","18000"
