"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"8380","32","text","0","8387","0.0-0.0","AFN5VMMGYPF1I","1517429354768","","","","","",""
"4095","32","text","1","12596","0.0-1.0","AFN5VMMGYPF1I","1517429354768","","","","","",""
"3926","32","text","2","16636","0.0-2.0","AFN5VMMGYPF1I","1517429354768","","","","","",""
"20494","32","text","3","37238","0.0-3.0","AFN5VMMGYPF1I","1517429354768","","","","","",""
"15307","32","mine-text","4","53223","0.0-4.0","AFN5VMMGYPF1I","1517429354768","","","","","",""
"10035","32","text","5","63362","0.0-5.0","AFN5VMMGYPF1I","1517429354768","","","","","",""
"12974","32","text","6","76439","0.0-6.0","AFN5VMMGYPF1I","1517429354768","","","","","",""
"9280","32","mine-text","7","86403","0.0-7.0","AFN5VMMGYPF1I","1517429354768","","","","","",""
"8832","","forage01","8","95348","0.0-8.0-0.0","AFN5VMMGYPF1I","1517429354768","0","52","dirt","0","no mineshafts yet","0"
"13707","","forage01","9","109168","0.0-8.0-1.0","AFN5VMMGYPF1I","1517429354768","0","51","gold","0","dirt","0"
"3965","","forage01","10","113241","0.0-8.0-2.0","AFN5VMMGYPF1I","1517429354768","1","50","gold","1000","gold","1000"
"3303","","forage01","11","116655","0.0-8.0-3.0","AFN5VMMGYPF1I","1517429354768","1","49","gold","1000","gold","2000"
"2791","","forage01","12","119584","0.0-8.0-4.0","AFN5VMMGYPF1I","1517429354768","1","48","gold","1000","gold","3000"
"2839","","forage01","13","122535","0.0-8.0-5.0","AFN5VMMGYPF1I","1517429354768","1","47","gold","1000","gold","4000"
"3002","","forage01","14","125648","0.0-8.0-6.0","AFN5VMMGYPF1I","1517429354768","1","46","gold","1000","gold","5000"
"2567","","forage01","15","128328","0.0-8.0-7.0","AFN5VMMGYPF1I","1517429354768","1","45","gold","1000","gold","6000"
"3273","","forage01","16","131711","0.0-8.0-8.0","AFN5VMMGYPF1I","1517429354768","1","44","gold","1000","gold","7000"
"2654","","forage01","17","134476","0.0-8.0-9.0","AFN5VMMGYPF1I","1517429354768","0","43","dirt","0","gold","7000"
"5752","","forage01","18","140335","0.0-8.0-10.0","AFN5VMMGYPF1I","1517429354768","0","42","dirt","0","gold","7000"
"3683","","forage01","19","144135","0.0-8.0-11.0","AFN5VMMGYPF1I","1517429354768","0","41","dirt","0","gold","7000"
"5149","","forage01","20","149399","0.0-8.0-12.0","AFN5VMMGYPF1I","1517429354768","1","40","gold","1000","gold","8000"
