"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"94106","32","text","0","94110","0.0-0.0","AGFWV1U4CJXP5","1517429616686","","","","","",""
"14544","32","text","1","108756","0.0-1.0","AGFWV1U4CJXP5","1517429616686","","","","","",""
"9687","32","text","2","118545","0.0-2.0","AGFWV1U4CJXP5","1517429616686","","","","","",""
"98003","32","text","3","216650","0.0-3.0","AGFWV1U4CJXP5","1517429616686","","","","","",""
"11558","32","mine-text","4","228510","0.0-4.0","AGFWV1U4CJXP5","1517429616686","","","","","",""
"4932","32","text","5","233544","0.0-5.0","AGFWV1U4CJXP5","1517429616686","","","","","",""
"43980","32","text","6","277626","0.0-6.0","AGFWV1U4CJXP5","1517429616686","","","","","",""
"10425","32","mine-text","7","288348","0.0-7.0","AGFWV1U4CJXP5","1517429616686","","","","","",""
"2495","","forage01","8","290950","0.0-8.0-0.0","AGFWV1U4CJXP5","1517429616686","0","52","dirt","0","no mineshafts yet","0"
"1739","","forage01","9","292792","0.0-8.0-1.0","AGFWV1U4CJXP5","1517429616686","1","51","dirt","0","dirt","0"
"1309","","forage01","10","294204","0.0-8.0-2.0","AGFWV1U4CJXP5","1517429616686","1","50","dirt","0","dirt","0"
"1040","","forage01","11","295347","0.0-8.0-3.0","AGFWV1U4CJXP5","1517429616686","0","49","dirt","0","dirt","0"
"553","","forage01","12","296004","0.0-8.0-4.0","AGFWV1U4CJXP5","1517429616686","0","48","dirt","0","dirt","0"
"1234","","forage01","13","297340","0.0-8.0-5.0","AGFWV1U4CJXP5","1517429616686","0","47","dirt","0","dirt","0"
"816","","forage01","14","298260","0.0-8.0-6.0","AGFWV1U4CJXP5","1517429616686","1","46","dirt","0","dirt","0"
"1559","","forage01","15","299924","0.0-8.0-7.0","AGFWV1U4CJXP5","1517429616686","1","45","dirt","0","dirt","0"
"695","","forage01","16","300724","0.0-8.0-8.0","AGFWV1U4CJXP5","1517429616686","1","44","dirt","0","dirt","0"
"177","","forage01","17","301004","0.0-8.0-9.0","AGFWV1U4CJXP5","1517429616686","1","43","dirt","0","dirt","0"
"137","","forage01","18","301244","0.0-8.0-10.0","AGFWV1U4CJXP5","1517429616686","1","42","dirt","0","dirt","0"
