"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"2089","32","text","0","2095","0.0-0.0","AIZAG6Z43BB2I","1516904677595","","","","","",""
"1109","32","text","1","3309","0.0-1.0","AIZAG6Z43BB2I","1516904677595","","","","","",""
"452","32","text","2","3863","0.0-2.0","AIZAG6Z43BB2I","1516904677595","","","","","",""
"473","32","text","3","4438","0.0-3.0","AIZAG6Z43BB2I","1516904677595","","","","","",""
"1696","32","mine-text","4","6434","0.0-4.0","AIZAG6Z43BB2I","1516904677595","","","","","",""
"495","32","text","5","7031","0.0-5.0","AIZAG6Z43BB2I","1516904677595","","","","","",""
"1242","32","text","6","8373","0.0-6.0","AIZAG6Z43BB2I","1516904677595","","","","","",""
"1897","32","mine-text","7","10591","0.0-7.0","AIZAG6Z43BB2I","1516904677595","","","","","",""
"960","","forage01","8","11662","0.0-8.0-0.0","AIZAG6Z43BB2I","1516904677595","0","52","dirt","0","no mineshafts yet","0"
"701","","forage01","9","12467","0.0-8.0-1.0","AIZAG6Z43BB2I","1516904677595","0","51","gold","0","dirt","0"
"1274","","forage01","10","13846","0.0-8.0-2.0","AIZAG6Z43BB2I","1516904677595","0","50","dirt","0","gold","0"
"336","","forage01","11","14287","0.0-8.0-3.0","AIZAG6Z43BB2I","1516904677595","0","49","dirt","0","gold","0"
"602","","forage01","12","14997","0.0-8.0-4.0","AIZAG6Z43BB2I","1516904677595","1","48","gold","1000","gold","1000"
"333","","forage01","13","15435","0.0-8.0-5.0","AIZAG6Z43BB2I","1516904677595","0","47","gold","0","gold","1000"
"237","","forage01","14","15778","0.0-8.0-6.0","AIZAG6Z43BB2I","1516904677595","1","46","gold","1000","gold","2000"
"61","","forage01","15","15946","0.0-8.0-7.0","AIZAG6Z43BB2I","1516904677595","1","45","gold","1000","gold","3000"
"198","","forage01","16","16251","0.0-8.0-8.0","AIZAG6Z43BB2I","1516904677595","1","44","gold","1000","gold","4000"
"191","","forage01","17","16548","0.0-8.0-9.0","AIZAG6Z43BB2I","1516904677595","1","43","gold","1000","gold","5000"
"196","","forage01","18","16849","0.0-8.0-10.0","AIZAG6Z43BB2I","1516904677595","1","42","gold","1000","gold","6000"
"48","","forage01","19","17005","0.0-8.0-11.0","AIZAG6Z43BB2I","1516904677595","1","41","gold","1000","gold","7000"
"72","","forage01","20","17184","0.0-8.0-12.0","AIZAG6Z43BB2I","1516904677595","1","40","gold","1000","gold","8000"
"549","","forage01","21","17839","0.0-8.0-13.0","AIZAG6Z43BB2I","1516904677595","0","39","dirt","0","gold","8000"
"64","","forage01","22","18008","0.0-8.0-14.0","AIZAG6Z43BB2I","1516904677595","0","38","dirt","0","gold","8000"
"110","","forage01","23","18223","0.0-8.0-15.0","AIZAG6Z43BB2I","1516904677595","0","37","gold","0","gold","8000"
"348","","forage01","24","18678","0.0-8.0-16.0","AIZAG6Z43BB2I","1516904677595","1","36","gold","1000","gold","9000"
"63","","forage01","25","18850","0.0-8.0-17.0","AIZAG6Z43BB2I","1516904677595","1","35","gold","1000","gold","10000"
"66","","forage01","26","19024","0.0-8.0-18.0","AIZAG6Z43BB2I","1516904677595","1","34","gold","1000","gold","11000"
"218","","forage01","27","19350","0.0-8.0-19.0","AIZAG6Z43BB2I","1516904677595","1","33","gold","1000","gold","12000"
"60","","forage01","28","19514","0.0-8.0-20.0","AIZAG6Z43BB2I","1516904677595","1","32","gold","1000","gold","13000"
"50","","forage01","29","19671","0.0-8.0-21.0","AIZAG6Z43BB2I","1516904677595","1","31","gold","1000","gold","14000"
"218","","forage01","30","19996","0.0-8.0-22.0","AIZAG6Z43BB2I","1516904677595","1","30","gold","1000","gold","15000"
"222","","forage01","31","20326","0.0-8.0-23.0","AIZAG6Z43BB2I","1516904677595","1","29","gold","1000","gold","16000"
"62","","forage01","32","20496","0.0-8.0-24.0","AIZAG6Z43BB2I","1516904677595","1","28","gold","1000","gold","17000"
"59","","forage01","33","20662","0.0-8.0-25.0","AIZAG6Z43BB2I","1516904677595","1","27","gold","1000","gold","18000"
"57","","forage01","34","20824","0.0-8.0-26.0","AIZAG6Z43BB2I","1516904677595","1","26","gold","1000","gold","19000"
"49","","forage01","35","20980","0.0-8.0-27.0","AIZAG6Z43BB2I","1516904677595","1","25","gold","1000","gold","20000"
"52","","forage01","36","21139","0.0-8.0-28.0","AIZAG6Z43BB2I","1516904677595","1","24","gold","1000","gold","21000"
"50","","forage01","37","21295","0.0-8.0-29.0","AIZAG6Z43BB2I","1516904677595","1","23","gold","1000","gold","22000"
"57","","forage01","38","21459","0.0-8.0-30.0","AIZAG6Z43BB2I","1516904677595","1","22","gold","1000","gold","23000"
"57","","forage01","39","21623","0.0-8.0-31.0","AIZAG6Z43BB2I","1516904677595","1","21","gold","1000","gold","24000"
"48","","forage01","40","21780","0.0-8.0-32.0","AIZAG6Z43BB2I","1516904677595","1","20","gold","1000","gold","25000"
"51","","forage01","41","21938","0.0-8.0-33.0","AIZAG6Z43BB2I","1516904677595","1","19","gold","1000","gold","26000"
"190","","forage01","42","22238","0.0-8.0-34.0","AIZAG6Z43BB2I","1516904677595","1","18","gold","1000","gold","27000"
"44","","forage01","43","22389","0.0-8.0-35.0","AIZAG6Z43BB2I","1516904677595","1","17","gold","1000","gold","28000"
"59","","forage01","44","22555","0.0-8.0-36.0","AIZAG6Z43BB2I","1516904677595","1","16","gold","1000","gold","29000"
"54","","forage01","45","22715","0.0-8.0-37.0","AIZAG6Z43BB2I","1516904677595","1","15","gold","1000","gold","30000"
"52","","forage01","46","22873","0.0-8.0-38.0","AIZAG6Z43BB2I","1516904677595","1","14","gold","1000","gold","31000"
"216","","forage01","47","23195","0.0-8.0-39.0","AIZAG6Z43BB2I","1516904677595","1","13","gold","1000","gold","32000"
"63","","forage01","48","23365","0.0-8.0-40.0","AIZAG6Z43BB2I","1516904677595","1","12","gold","1000","gold","33000"
"89","","forage01","49","23560","0.0-8.0-41.0","AIZAG6Z43BB2I","1516904677595","1","11","gold","1000","gold","34000"
"219","","forage01","50","23886","0.0-8.0-42.0","AIZAG6Z43BB2I","1516904677595","1","10","gold","1000","gold","35000"
"220","","forage01","51","24218","0.0-8.0-43.0","AIZAG6Z43BB2I","1516904677595","1","9","gold","1000","gold","36000"
"214","","forage01","52","24539","0.0-8.0-44.0","AIZAG6Z43BB2I","1516904677595","1","8","gold","1000","gold","37000"
"223","","forage01","53","24868","0.0-8.0-45.0","AIZAG6Z43BB2I","1516904677595","1","7","gold","1000","gold","38000"
"218","","forage01","54","25194","0.0-8.0-46.0","AIZAG6Z43BB2I","1516904677595","1","6","gold","1000","gold","39000"
"200","","forage01","55","25498","0.0-8.0-47.0","AIZAG6Z43BB2I","1516904677595","1","5","gold","1000","gold","40000"
"6225","","forage01","56","31830","0.0-8.0-48.0","AIZAG6Z43BB2I","1516904677595","1","4","gold","1000","gold","41000"
"192","","forage01","57","32130","0.0-8.0-49.0","AIZAG6Z43BB2I","1516904677595","1","3","gold","1000","gold","42000"
"206","","forage01","58","32442","0.0-8.0-50.0","AIZAG6Z43BB2I","1516904677595","1","2","gold","1000","gold","43000"
"36","","forage01","59","32588","0.0-8.0-51.0","AIZAG6Z43BB2I","1516904677595","1","1","gold","1000","gold","44000"
"1592","32","mine-text","60","34538","0.0-9.0","AIZAG6Z43BB2I","1516904677595","","","","","",""
"823","","forage01","61","35464","0.0-10.0-0.0","AIZAG6Z43BB2I","1516904677595","0","52","dirt","0","no mineshafts yet","0"
"113","","forage01","62","35684","0.0-10.0-1.0","AIZAG6Z43BB2I","1516904677595","0","51","gold","0","dirt","0"
"86","","forage01","63","35875","0.0-10.0-2.0","AIZAG6Z43BB2I","1516904677595","0","50","dirt","0","gold","0"
"236","","forage01","64","36217","0.0-10.0-3.0","AIZAG6Z43BB2I","1516904677595","0","49","dirt","0","gold","0"
"234","","forage01","65","36558","0.0-10.0-4.0","AIZAG6Z43BB2I","1516904677595","0","48","dirt","0","gold","0"
"204","","forage01","66","36868","0.0-10.0-5.0","AIZAG6Z43BB2I","1516904677595","0","47","dirt","0","gold","0"
"207","","forage01","67","37183","0.0-10.0-6.0","AIZAG6Z43BB2I","1516904677595","0","46","dirt","0","gold","0"
"773","","forage01","68","38065","0.0-10.0-7.0","AIZAG6Z43BB2I","1516904677595","1","45","gold","1000","gold","1000"
"188","","forage01","69","38360","0.0-10.0-8.0","AIZAG6Z43BB2I","1516904677595","1","44","gold","1000","gold","2000"
"338","","forage01","70","38806","0.0-10.0-9.0","AIZAG6Z43BB2I","1516904677595","0","43","gold","0","gold","2000"
"203","","forage01","71","39115","0.0-10.0-10.0","AIZAG6Z43BB2I","1516904677595","1","42","gold","1000","gold","3000"
"47","","forage01","72","39276","0.0-10.0-11.0","AIZAG6Z43BB2I","1516904677595","1","41","gold","1000","gold","4000"
"205","","forage01","73","39587","0.0-10.0-12.0","AIZAG6Z43BB2I","1516904677595","1","40","gold","1000","gold","5000"
"47","","forage01","74","39740","0.0-10.0-13.0","AIZAG6Z43BB2I","1516904677595","1","39","gold","1000","gold","6000"
"201","","forage01","75","40047","0.0-10.0-14.0","AIZAG6Z43BB2I","1516904677595","1","38","gold","1000","gold","7000"
