"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"7210","32","text","0","7214","0.0-0.0","AJXIC6Q5EM76P","1517428884930","","","","","",""
"2974","32","text","1","10291","0.0-1.0","AJXIC6Q5EM76P","1517428884930","","","","","",""
"194075","32","text","2","204468","0.0-2.0","AJXIC6Q5EM76P","1517428884930","","","","","",""
"28399","32","text","3","232972","0.0-3.0","AJXIC6Q5EM76P","1517428884930","","","","","",""
"124757","32","mine-text","4","358155","0.0-4.0","AJXIC6Q5EM76P","1517428884930","","","","","",""
"6442","32","text","5","364699","0.0-5.0","AJXIC6Q5EM76P","1517428884930","","","","","",""
"11459","32","text","6","376259","0.0-6.0","AJXIC6Q5EM76P","1517428884930","","","","","",""
"82930","32","mine-text","7","459531","0.0-7.0","AJXIC6Q5EM76P","1517428884930","","","","","",""
"6844","","forage01","8","466482","0.0-8.0-0.0","AJXIC6Q5EM76P","1517428884930","0","52","gold","0","no mineshafts yet","0"
"28545","","forage01","9","495130","0.0-8.0-1.0","AJXIC6Q5EM76P","1517428884930","1","51","gold","1000","gold","1000"
"2703","","forage01","10","497936","0.0-8.0-2.0","AJXIC6Q5EM76P","1517428884930","1","50","gold","1000","gold","2000"
"779","","forage01","11","498818","0.0-8.0-3.0","AJXIC6Q5EM76P","1517428884930","1","49","gold","1000","gold","3000"
"1223","","forage01","12","500145","0.0-8.0-4.0","AJXIC6Q5EM76P","1517428884930","1","48","gold","1000","gold","4000"
"3767","","forage01","13","504014","0.0-8.0-5.0","AJXIC6Q5EM76P","1517428884930","1","47","gold","1000","gold","5000"
"2236","","forage01","14","506352","0.0-8.0-6.0","AJXIC6Q5EM76P","1517428884930","0","46","gold","0","gold","5000"
"1532","","forage01","15","507988","0.0-8.0-7.0","AJXIC6Q5EM76P","1517428884930","1","45","gold","1000","gold","6000"
"254","","forage01","16","508346","0.0-8.0-8.0","AJXIC6Q5EM76P","1517428884930","1","44","gold","1000","gold","7000"
"106","","forage01","17","508554","0.0-8.0-9.0","AJXIC6Q5EM76P","1517428884930","1","43","gold","1000","gold","8000"
"315","","forage01","18","508973","0.0-8.0-10.0","AJXIC6Q5EM76P","1517428884930","1","42","gold","1000","gold","9000"
"288","","forage01","19","509368","0.0-8.0-11.0","AJXIC6Q5EM76P","1517428884930","1","41","gold","1000","gold","10000"
"91","","forage01","20","509564","0.0-8.0-12.0","AJXIC6Q5EM76P","1517428884930","1","40","gold","1000","gold","11000"
"425","","forage01","21","510094","0.0-8.0-13.0","AJXIC6Q5EM76P","1517428884930","0","39","dirt","0","gold","11000"
"634","","forage01","22","510831","0.0-8.0-14.0","AJXIC6Q5EM76P","1517428884930","0","38","dirt","0","gold","11000"
"765","","forage01","23","511699","0.0-8.0-15.0","AJXIC6Q5EM76P","1517428884930","1","37","gold","1000","gold","12000"
"418","","forage01","24","512221","0.0-8.0-16.0","AJXIC6Q5EM76P","1517428884930","1","36","gold","1000","gold","13000"
"311","","forage01","25","512635","0.0-8.0-17.0","AJXIC6Q5EM76P","1517428884930","1","35","gold","1000","gold","14000"
"289","","forage01","26","513028","0.0-8.0-18.0","AJXIC6Q5EM76P","1517428884930","1","34","gold","1000","gold","15000"
"294","","forage01","27","513426","0.0-8.0-19.0","AJXIC6Q5EM76P","1517428884930","1","33","gold","1000","gold","16000"
"307","","forage01","28","513835","0.0-8.0-20.0","AJXIC6Q5EM76P","1517428884930","1","32","gold","1000","gold","17000"
"319","","forage01","29","514257","0.0-8.0-21.0","AJXIC6Q5EM76P","1517428884930","1","31","gold","1000","gold","18000"
"301","","forage01","30","514661","0.0-8.0-22.0","AJXIC6Q5EM76P","1517428884930","1","30","gold","1000","gold","19000"
"315","","forage01","31","515079","0.0-8.0-23.0","AJXIC6Q5EM76P","1517428884930","1","29","gold","1000","gold","20000"
"725","","forage01","32","515908","0.0-8.0-24.0","AJXIC6Q5EM76P","1517428884930","0","28","dirt","0","gold","20000"
"108","","forage01","33","516121","0.0-8.0-25.0","AJXIC6Q5EM76P","1517428884930","0","27","dirt","0","gold","20000"
"492","","forage01","34","516718","0.0-8.0-26.0","AJXIC6Q5EM76P","1517428884930","0","26","dirt","0","gold","20000"
"146","","forage01","35","516967","0.0-8.0-27.0","AJXIC6Q5EM76P","1517428884930","0","25","dirt","0","gold","20000"
"317","","forage01","36","517388","0.0-8.0-28.0","AJXIC6Q5EM76P","1517428884930","0","24","dirt","0","gold","20000"
"299","","forage01","37","517790","0.0-8.0-29.0","AJXIC6Q5EM76P","1517428884930","0","23","dirt","0","gold","20000"
"965","","forage01","38","518860","0.0-8.0-30.0","AJXIC6Q5EM76P","1517428884930","1","22","gold","1000","gold","21000"
"300","","forage01","39","519263","0.0-8.0-31.0","AJXIC6Q5EM76P","1517428884930","1","21","gold","1000","gold","22000"
