"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"99441","32","text","0","99445","0.0-0.0","ALU79S27U05N","1517428301383","","","","","",""
"14927","32","text","1","114475","0.0-1.0","ALU79S27U05N","1517428301383","","","","","",""
"7371","32","text","2","121947","0.0-2.0","ALU79S27U05N","1517428301383","","","","","",""
"27031","32","text","3","149080","0.0-3.0","ALU79S27U05N","1517428301383","","","","","",""
"33041","32","mine-text","4","182438","0.0-4.0","ALU79S27U05N","1517428301383","","","","","",""
"41120","32","text","5","223659","0.0-5.0","ALU79S27U05N","1517428301383","","","","","",""
"16643","32","text","6","240403","0.0-6.0","ALU79S27U05N","1517428301383","","","","","",""
"5039","32","mine-text","7","245764","0.0-7.0","ALU79S27U05N","1517428301383","","","","","",""
"7018","","forage01","8","252887","0.0-8.0-0.0","ALU79S27U05N","1517428301383","0","52","dirt","0","no mineshafts yet","0"
"3622","","forage01","9","256611","0.0-8.0-1.0","ALU79S27U05N","1517428301383","0","51","gold","0","dirt","0"
"4861","","forage01","10","261575","0.0-8.0-2.0","ALU79S27U05N","1517428301383","1","50","gold","1000","gold","1000"
"2417","","forage01","11","264097","0.0-8.0-3.0","ALU79S27U05N","1517428301383","0","49","dirt","0","gold","1000"
"1660","","forage01","12","265861","0.0-8.0-4.0","ALU79S27U05N","1517428301383","0","48","dirt","0","gold","1000"
"1747","","forage01","13","267711","0.0-8.0-5.0","ALU79S27U05N","1517428301383","0","47","dirt","0","gold","1000"
"2031","","forage01","14","269845","0.0-8.0-6.0","ALU79S27U05N","1517428301383","0","46","gold","0","gold","1000"
"1859","","forage01","15","271806","0.0-8.0-7.0","ALU79S27U05N","1517428301383","0","45","dirt","0","gold","1000"
"1656","","forage01","16","273566","0.0-8.0-8.0","ALU79S27U05N","1517428301383","0","44","diamond","0","gold","1000"
"2921","","forage01","17","276591","0.0-8.0-9.0","ALU79S27U05N","1517428301383","1","43","diamond","100000","diamond","101000"
"1321","","forage01","18","278016","0.0-8.0-10.0","ALU79S27U05N","1517428301383","1","42","diamond","100000","diamond","201000"
"2370","","forage01","19","280490","0.0-8.0-11.0","ALU79S27U05N","1517428301383","1","41","diamond","100000","diamond","301000"
"1485","","forage01","20","282080","0.0-8.0-12.0","ALU79S27U05N","1517428301383","1","40","diamond","100000","diamond","401000"
"864","","forage01","21","283048","0.0-8.0-13.0","ALU79S27U05N","1517428301383","1","39","diamond","100000","diamond","501000"
"1040","","forage01","22","284192","0.0-8.0-14.0","ALU79S27U05N","1517428301383","1","38","diamond","100000","diamond","601000"
"746","","forage01","23","285042","0.0-8.0-15.0","ALU79S27U05N","1517428301383","1","37","diamond","100000","diamond","701000"
"588","","forage01","24","285734","0.0-8.0-16.0","ALU79S27U05N","1517428301383","1","36","diamond","100000","diamond","801000"
"536","","forage01","25","286373","0.0-8.0-17.0","ALU79S27U05N","1517428301383","1","35","diamond","100000","diamond","901000"
"806","","forage01","26","287284","0.0-8.0-18.0","ALU79S27U05N","1517428301383","1","34","diamond","100000","diamond","1001000"
"588","","forage01","27","287975","0.0-8.0-19.0","ALU79S27U05N","1517428301383","1","33","diamond","100000","diamond","1101000"
"638","","forage01","28","288718","0.0-8.0-20.0","ALU79S27U05N","1517428301383","1","32","diamond","100000","diamond","1201000"
"636","","forage01","29","289457","0.0-8.0-21.0","ALU79S27U05N","1517428301383","1","31","diamond","100000","diamond","1301000"
"428","","forage01","30","289989","0.0-8.0-22.0","ALU79S27U05N","1517428301383","1","30","diamond","100000","diamond","1401000"
"401","","forage01","31","290493","0.0-8.0-23.0","ALU79S27U05N","1517428301383","1","29","diamond","100000","diamond","1501000"
"381","","forage01","32","290977","0.0-8.0-24.0","ALU79S27U05N","1517428301383","1","28","diamond","100000","diamond","1601000"
