"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"57326","32","text","0","57331","0.0-0.0","ANZKTE853UXSD","1517431813904","","","","","",""
"9577","32","text","1","67011","0.0-1.0","ANZKTE853UXSD","1517431813904","","","","","",""
"42439","32","text","2","109551","0.0-2.0","ANZKTE853UXSD","1517431813904","","","","","",""
"46460","32","text","3","156114","0.0-3.0","ANZKTE853UXSD","1517431813904","","","","","",""
"36171","32","mine-text","4","192591","0.0-4.0","ANZKTE853UXSD","1517431813904","","","","","",""
"27737","32","text","5","220431","0.0-5.0","ANZKTE853UXSD","1517431813904","","","","","",""
"16187","32","text","6","236720","0.0-6.0","ANZKTE853UXSD","1517431813904","","","","","",""
"10901","32","mine-text","7","247920","0.0-7.0","ANZKTE853UXSD","1517431813904","","","","","",""
"4568","","forage01","8","252596","0.0-8.0-0.0","ANZKTE853UXSD","1517431813904","0","52","gold","0","no mineshafts yet","0"
"4135","","forage01","9","256835","0.0-8.0-1.0","ANZKTE853UXSD","1517431813904","0","51","dirt","0","gold","0"
"5221","","forage01","10","262160","0.0-8.0-2.0","ANZKTE853UXSD","1517431813904","0","50","dirt","0","gold","0"
"1105","","forage01","11","263370","0.0-8.0-3.0","ANZKTE853UXSD","1517431813904","0","49","dirt","0","gold","0"
"590","","forage01","12","264063","0.0-8.0-4.0","ANZKTE853UXSD","1517431813904","0","48","dirt","0","gold","0"
"1086","","forage01","13","265254","0.0-8.0-5.0","ANZKTE853UXSD","1517431813904","0","47","dirt","0","gold","0"
"625","","forage01","14","265985","0.0-8.0-6.0","ANZKTE853UXSD","1517431813904","0","46","gold","0","gold","0"
"3052","","forage01","15","269141","0.0-8.0-7.0","ANZKTE853UXSD","1517431813904","0","45","gold","0","gold","0"
"573","","forage01","16","269818","0.0-8.0-8.0","ANZKTE853UXSD","1517431813904","0","44","dirt","0","gold","0"
"572","","forage01","17","270495","0.0-8.0-9.0","ANZKTE853UXSD","1517431813904","0","43","dirt","0","gold","0"
"476","","forage01","18","271077","0.0-8.0-10.0","ANZKTE853UXSD","1517431813904","0","42","dirt","0","gold","0"
"473","","forage01","19","271657","0.0-8.0-11.0","ANZKTE853UXSD","1517431813904","0","41","dirt","0","gold","0"
"450","","forage01","20","272213","0.0-8.0-12.0","ANZKTE853UXSD","1517431813904","0","40","dirt","0","gold","0"
"500","","forage01","21","272819","0.0-8.0-13.0","ANZKTE853UXSD","1517431813904","0","39","gold","0","gold","0"
"1811","","forage01","22","274738","0.0-8.0-14.0","ANZKTE853UXSD","1517431813904","0","38","dirt","0","gold","0"
"483","","forage01","23","275327","0.0-8.0-15.0","ANZKTE853UXSD","1517431813904","0","37","dirt","0","gold","0"
"423","","forage01","24","275854","0.0-8.0-16.0","ANZKTE853UXSD","1517431813904","0","36","gold","0","gold","0"
"1583","","forage01","25","277544","0.0-8.0-17.0","ANZKTE853UXSD","1517431813904","0","35","dirt","0","gold","0"
"495","","forage01","26","278145","0.0-8.0-18.0","ANZKTE853UXSD","1517431813904","0","34","gold","0","gold","0"
"1160","","forage01","27","279413","0.0-8.0-19.0","ANZKTE853UXSD","1517431813904","0","33","gold","0","gold","0"
"458","","forage01","28","279979","0.0-8.0-20.0","ANZKTE853UXSD","1517431813904","0","32","dirt","0","gold","0"
"532","","forage01","29","280619","0.0-8.0-21.0","ANZKTE853UXSD","1517431813904","0","31","dirt","0","gold","0"
