"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"4094","32","text","0","4107","0.0-0.0","APGX2WZ59OWDN","1516904547610","","","","","",""
"5613","32","text","1","9826","0.0-1.0","APGX2WZ59OWDN","1516904547610","","","","","",""
"1944","32","text","2","11873","0.0-2.0","APGX2WZ59OWDN","1516904547610","","","","","",""
"10475","32","text","3","22456","0.0-3.0","APGX2WZ59OWDN","1516904547610","","","","","",""
"63843","32","mine-text","4","86924","0.0-4.0","APGX2WZ59OWDN","1516904547610","","","","","",""
"64","32","text","5","87097","0.0-5.0","APGX2WZ59OWDN","1516904547610","","","","","",""
"6759","32","text","6","93958","0.0-6.0","APGX2WZ59OWDN","1516904547610","","","","","",""
"5169","32","mine-text","7","99758","0.0-7.0","APGX2WZ59OWDN","1516904547610","","","","","",""
"2127","","forage01","8","102002","0.0-8.0-0.0","APGX2WZ59OWDN","1516904547610","0","52","dirt","0","no mineshafts yet","0"
"3947","","forage01","9","106062","0.0-8.0-1.0","APGX2WZ59OWDN","1516904547610","0","51","dirt","0","dirt","0"
"3248","","forage01","10","109421","0.0-8.0-2.0","APGX2WZ59OWDN","1516904547610","0","50","dirt","0","dirt","0"
"766","","forage01","11","110301","0.0-8.0-3.0","APGX2WZ59OWDN","1516904547610","0","49","dirt","0","dirt","0"
"608","","forage01","12","111021","0.0-8.0-4.0","APGX2WZ59OWDN","1516904547610","0","48","gold","0","dirt","0"
"1262","","forage01","13","112393","0.0-8.0-5.0","APGX2WZ59OWDN","1516904547610","0","47","dirt","0","gold","0"
"548","","forage01","14","113051","0.0-8.0-6.0","APGX2WZ59OWDN","1516904547610","0","46","dirt","0","gold","0"
"473","","forage01","15","113638","0.0-8.0-7.0","APGX2WZ59OWDN","1516904547610","0","45","dirt","0","gold","0"
"1202","","forage01","16","114949","0.0-8.0-8.0","APGX2WZ59OWDN","1516904547610","0","44","dirt","0","gold","0"
"335","","forage01","17","115398","0.0-8.0-9.0","APGX2WZ59OWDN","1516904547610","0","43","dirt","0","gold","0"
"281","","forage01","18","115791","0.0-8.0-10.0","APGX2WZ59OWDN","1516904547610","0","42","gold","0","gold","0"
"336","","forage01","19","116240","0.0-8.0-11.0","APGX2WZ59OWDN","1516904547610","0","41","dirt","0","gold","0"
"374","","forage01","20","116730","0.0-8.0-12.0","APGX2WZ59OWDN","1516904547610","0","40","dirt","0","gold","0"
"165","","forage01","21","117010","0.0-8.0-13.0","APGX2WZ59OWDN","1516904547610","0","39","dirt","0","gold","0"
"334","","forage01","22","117455","0.0-8.0-14.0","APGX2WZ59OWDN","1516904547610","0","38","dirt","0","gold","0"
