"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"12916","32","text","0","12919","0.0-0.0","AQORJW4W8U9YU","1517431825508","","","","","",""
"3847","32","text","1","16869","0.0-1.0","AQORJW4W8U9YU","1517431825508","","","","","",""
"3369","32","text","2","20339","0.0-2.0","AQORJW4W8U9YU","1517431825508","","","","","",""
"9084","32","text","3","29526","0.0-3.0","AQORJW4W8U9YU","1517431825508","","","","","",""
"6193","32","mine-text","4","36031","0.0-4.0","AQORJW4W8U9YU","1517431825508","","","","","",""
"6212","32","text","5","42345","0.0-5.0","AQORJW4W8U9YU","1517431825508","","","","","",""
"10337","32","text","6","52782","0.0-6.0","AQORJW4W8U9YU","1517431825508","","","","","",""
"4984","32","mine-text","7","58106","0.0-7.0","AQORJW4W8U9YU","1517431825508","","","","","",""
"9067","","forage01","8","67281","0.0-8.0-0.0","AQORJW4W8U9YU","1517431825508","0","52","gold","0","no mineshafts yet","0"
"13154","","forage01","9","80538","0.0-8.0-1.0","AQORJW4W8U9YU","1517431825508","1","51","gold","1000","gold","1000"
"1541","","forage01","10","82182","0.0-8.0-2.0","AQORJW4W8U9YU","1517431825508","0","50","gold","0","gold","1000"
"1209","","forage01","11","83494","0.0-8.0-3.0","AQORJW4W8U9YU","1517431825508","0","49","gold","0","gold","1000"
"2592","","forage01","12","86190","0.0-8.0-4.0","AQORJW4W8U9YU","1517431825508","1","48","gold","1000","gold","2000"
"2322","","forage01","13","88615","0.0-8.0-5.0","AQORJW4W8U9YU","1517431825508","1","47","gold","1000","gold","3000"
"3458","","forage01","14","92175","0.0-8.0-6.0","AQORJW4W8U9YU","1517431825508","1","46","gold","1000","gold","4000"
"719","","forage01","15","92997","0.0-8.0-7.0","AQORJW4W8U9YU","1517431825508","1","45","gold","1000","gold","5000"
"398","","forage01","16","93499","0.0-8.0-8.0","AQORJW4W8U9YU","1517431825508","1","44","gold","1000","gold","6000"
"278","","forage01","17","93881","0.0-8.0-9.0","AQORJW4W8U9YU","1517431825508","1","43","gold","1000","gold","7000"
"159","","forage01","18","94143","0.0-8.0-10.0","AQORJW4W8U9YU","1517431825508","1","42","gold","1000","gold","8000"
"84","","forage01","19","94332","0.0-8.0-11.0","AQORJW4W8U9YU","1517431825508","1","41","gold","1000","gold","9000"
