"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"11002","32","text","0","11005","0.0-0.0","AQVXVMX61864S","1516911059197","","","","","",""
"4849","32","text","1","15956","0.0-1.0","AQVXVMX61864S","1516911059197","","","","","",""
"1322","32","text","2","17380","0.0-2.0","AQVXVMX61864S","1516911059197","","","","","",""
"954","32","text","3","18437","0.0-3.0","AQVXVMX61864S","1516911059197","","","","","",""
"1536","32","mine-text","4","20212","0.0-4.0","AQVXVMX61864S","1516911059197","","","","","",""
"611","32","text","5","20924","0.0-5.0","AQVXVMX61864S","1516911059197","","","","","",""
"427","32","text","6","21452","0.0-6.0","AQVXVMX61864S","1516911059197","","","","","",""
"540","32","mine-text","7","22236","0.0-7.0","AQVXVMX61864S","1516911059197","","","","","",""
"5081","","forage01","8","27421","0.0-8.0-0.0","AQVXVMX61864S","1516911059197","0","52","gold","0","no mineshafts yet","0"
"2113","","forage01","9","29636","0.0-8.0-1.0","AQVXVMX61864S","1516911059197","1","51","gold","1000","gold","1000"
"1234","","forage01","10","30973","0.0-8.0-2.0","AQVXVMX61864S","1516911059197","1","50","gold","1000","gold","2000"
"553","","forage01","11","31628","0.0-8.0-3.0","AQVXVMX61864S","1516911059197","1","49","gold","1000","gold","3000"
"1137","","forage01","12","32868","0.0-8.0-4.0","AQVXVMX61864S","1516911059197","1","48","gold","1000","gold","4000"
"345","","forage01","13","33316","0.0-8.0-5.0","AQVXVMX61864S","1516911059197","0","47","dirt","0","gold","4000"
"417","","forage01","14","33836","0.0-8.0-6.0","AQVXVMX61864S","1516911059197","0","46","dirt","0","gold","4000"
"330","","forage01","15","34268","0.0-8.0-7.0","AQVXVMX61864S","1516911059197","1","45","gold","1000","gold","5000"
"298","","forage01","16","34668","0.0-8.0-8.0","AQVXVMX61864S","1516911059197","0","44","dirt","0","gold","5000"
"1073","","forage01","17","35844","0.0-8.0-9.0","AQVXVMX61864S","1516911059197","0","43","dirt","0","gold","5000"
"441","","forage01","18","36388","0.0-8.0-10.0","AQVXVMX61864S","1516911059197","1","42","gold","1000","gold","6000"
"265","","forage01","19","36756","0.0-8.0-11.0","AQVXVMX61864S","1516911059197","1","41","gold","1000","gold","7000"
"66","","forage01","20","36925","0.0-8.0-12.0","AQVXVMX61864S","1516911059197","1","40","gold","1000","gold","8000"
"249","","forage01","21","37276","0.0-8.0-13.0","AQVXVMX61864S","1516911059197","1","39","gold","1000","gold","9000"
"226","","forage01","22","37604","0.0-8.0-14.0","AQVXVMX61864S","1516911059197","1","38","gold","1000","gold","10000"
"223","","forage01","23","37932","0.0-8.0-15.0","AQVXVMX61864S","1516911059197","0","37","diamond","0","gold","10000"
"737","","forage01","24","38772","0.0-8.0-16.0","AQVXVMX61864S","1516911059197","0","36","dirt","0","diamond","10000"
"505","","forage01","25","39380","0.0-8.0-17.0","AQVXVMX61864S","1516911059197","0","35","dirt","0","diamond","10000"
"193","","forage01","26","39676","0.0-8.0-18.0","AQVXVMX61864S","1516911059197","1","34","diamond","100000","diamond","110000"
"169","","forage01","27","39948","0.0-8.0-19.0","AQVXVMX61864S","1516911059197","1","33","diamond","100000","diamond","210000"
"48","","forage01","28","40100","0.0-8.0-20.0","AQVXVMX61864S","1516911059197","1","32","diamond","100000","diamond","310000"
"58","","forage01","29","40261","0.0-8.0-21.0","AQVXVMX61864S","1516911059197","1","31","diamond","100000","diamond","410000"
"200","","forage01","30","40564","0.0-8.0-22.0","AQVXVMX61864S","1516911059197","1","30","diamond","100000","diamond","510000"
"238","","forage01","31","40908","0.0-8.0-23.0","AQVXVMX61864S","1516911059197","1","29","diamond","100000","diamond","610000"
"65","","forage01","32","41076","0.0-8.0-24.0","AQVXVMX61864S","1516911059197","1","28","diamond","100000","diamond","710000"
"74","","forage01","33","41252","0.0-8.0-25.0","AQVXVMX61864S","1516911059197","1","27","diamond","100000","diamond","810000"
"74","","forage01","34","41428","0.0-8.0-26.0","AQVXVMX61864S","1516911059197","1","26","diamond","100000","diamond","910000"
"362","","forage01","35","41892","0.0-8.0-27.0","AQVXVMX61864S","1516911059197","0","25","dirt","0","diamond","910000"
"457","","forage01","36","42452","0.0-8.0-28.0","AQVXVMX61864S","1516911059197","0","24","gold","0","diamond","910000"
"386","","forage01","37","42941","0.0-8.0-29.0","AQVXVMX61864S","1516911059197","0","23","dirt","0","diamond","910000"
"994","","forage01","38","44036","0.0-8.0-30.0","AQVXVMX61864S","1516911059197","1","22","diamond","100000","diamond","1010000"
"208","","forage01","39","44349","0.0-8.0-31.0","AQVXVMX61864S","1516911059197","1","21","diamond","100000","diamond","1110000"
"385","","forage01","40","44837","0.0-8.0-32.0","AQVXVMX61864S","1516911059197","0","20","dirt","0","diamond","1110000"
"233","","forage01","41","45172","0.0-8.0-33.0","AQVXVMX61864S","1516911059197","1","19","diamond","100000","diamond","1210000"
"56","","forage01","42","45333","0.0-8.0-34.0","AQVXVMX61864S","1516911059197","1","18","diamond","100000","diamond","1310000"
"201","","forage01","43","45636","0.0-8.0-35.0","AQVXVMX61864S","1516911059197","1","17","diamond","100000","diamond","1410000"
"298","","forage01","44","46036","0.0-8.0-36.0","AQVXVMX61864S","1516911059197","1","16","diamond","100000","diamond","1510000"
"593","","forage01","45","46733","0.0-8.0-37.0","AQVXVMX61864S","1516911059197","0","15","gold","0","diamond","1510000"
"728","","forage01","46","47564","0.0-8.0-38.0","AQVXVMX61864S","1516911059197","1","14","diamond","100000","diamond","1610000"
"193","","forage01","47","47860","0.0-8.0-39.0","AQVXVMX61864S","1516911059197","1","13","diamond","100000","diamond","1710000"
"313","","forage01","48","48277","0.0-8.0-40.0","AQVXVMX61864S","1516911059197","0","12","dirt","0","diamond","1710000"
"215","","forage01","49","48596","0.0-8.0-41.0","AQVXVMX61864S","1516911059197","1","11","diamond","100000","diamond","1810000"
"216","","forage01","50","48917","0.0-8.0-42.0","AQVXVMX61864S","1516911059197","1","10","diamond","100000","diamond","1910000"
"721","","forage01","51","49740","0.0-8.0-43.0","AQVXVMX61864S","1516911059197","0","9","gold","0","diamond","1910000"
"497","","forage01","52","50340","0.0-8.0-44.0","AQVXVMX61864S","1516911059197","1","8","diamond","100000","diamond","2010000"
"583","","forage01","53","51028","0.0-8.0-45.0","AQVXVMX61864S","1516911059197","1","7","diamond","100000","diamond","2110000"
"1010","","forage01","54","52140","0.0-8.0-46.0","AQVXVMX61864S","1516911059197","1","6","diamond","100000","diamond","2210000"
"249","","forage01","55","52492","0.0-8.0-47.0","AQVXVMX61864S","1516911059197","1","5","diamond","100000","diamond","2310000"
"591","","forage01","56","53188","0.0-8.0-48.0","AQVXVMX61864S","1516911059197","1","4","diamond","100000","diamond","2410000"
"354","","forage01","57","53644","0.0-8.0-49.0","AQVXVMX61864S","1516911059197","1","3","diamond","100000","diamond","2510000"
"336","","forage01","58","54085","0.0-8.0-50.0","AQVXVMX61864S","1516911059197","1","2","diamond","100000","diamond","2610000"
"577","","forage01","59","54764","0.0-8.0-51.0","AQVXVMX61864S","1516911059197","1","1","diamond","100000","diamond","2710000"
"5803","32","mine-text","60","60803","0.0-9.0","AQVXVMX61864S","1516911059197","","","","","",""
"1362","","forage01","61","62268","0.0-10.0-0.0","AQVXVMX61864S","1516911059197","0","52","dirt","0","no mineshafts yet","0"
"338","","forage01","62","62708","0.0-10.0-1.0","AQVXVMX61864S","1516911059197","1","51","dirt","0","dirt","0"
"248","","forage01","63","63059","0.0-10.0-2.0","AQVXVMX61864S","1516911059197","0","50","dirt","0","dirt","0"
"312","","forage01","64","63476","0.0-10.0-3.0","AQVXVMX61864S","1516911059197","0","49","dirt","0","dirt","0"
"689","","forage01","65","64268","0.0-10.0-4.0","AQVXVMX61864S","1516911059197","1","48","dirt","0","dirt","0"
"449","","forage01","66","64820","0.0-10.0-5.0","AQVXVMX61864S","1516911059197","0","47","dirt","0","dirt","0"
"281","","forage01","67","65204","0.0-10.0-6.0","AQVXVMX61864S","1516911059197","0","46","dirt","0","dirt","0"
"378","","forage01","68","65684","0.0-10.0-7.0","AQVXVMX61864S","1516911059197","0","45","dirt","0","dirt","0"
"303","","forage01","69","66091","0.0-10.0-8.0","AQVXVMX61864S","1516911059197","1","44","dirt","0","dirt","0"
"80","","forage01","70","66276","0.0-10.0-9.0","AQVXVMX61864S","1516911059197","1","43","dirt","0","dirt","0"
"89","","forage01","71","66467","0.0-10.0-10.0","AQVXVMX61864S","1516911059197","1","42","dirt","0","dirt","0"
"457","","forage01","72","67028","0.0-10.0-11.0","AQVXVMX61864S","1516911059197","0","41","dirt","0","dirt","0"
"418","","forage01","73","67549","0.0-10.0-12.0","AQVXVMX61864S","1516911059197","0","40","dirt","0","dirt","0"
"241","","forage01","74","67892","0.0-10.0-13.0","AQVXVMX61864S","1516911059197","1","39","dirt","0","dirt","0"
"431","","forage01","75","68428","0.0-10.0-14.0","AQVXVMX61864S","1516911059197","0","38","dirt","0","dirt","0"
"487","","forage01","76","69020","0.0-10.0-15.0","AQVXVMX61864S","1516911059197","1","37","dirt","0","dirt","0"
"434","","forage01","77","69556","0.0-10.0-16.0","AQVXVMX61864S","1516911059197","1","36","dirt","0","dirt","0"
"183","","forage01","78","69843","0.0-10.0-17.0","AQVXVMX61864S","1516911059197","0","35","dirt","0","dirt","0"
"145","","forage01","79","70092","0.0-10.0-18.0","AQVXVMX61864S","1516911059197","0","34","dirt","0","dirt","0"
"56","","forage01","80","70252","0.0-10.0-19.0","AQVXVMX61864S","1516911059197","0","33","dirt","0","dirt","0"
"88","","forage01","81","70444","0.0-10.0-20.0","AQVXVMX61864S","1516911059197","0","32","dirt","0","dirt","0"
"72","","forage01","82","70620","0.0-10.0-21.0","AQVXVMX61864S","1516911059197","0","31","dirt","0","dirt","0"
"441","","forage01","83","71164","0.0-10.0-22.0","AQVXVMX61864S","1516911059197","1","30","dirt","0","dirt","0"
"81","","forage01","84","71348","0.0-10.0-23.0","AQVXVMX61864S","1516911059197","1","29","dirt","0","dirt","0"
"64","","forage01","85","71516","0.0-10.0-24.0","AQVXVMX61864S","1516911059197","1","28","dirt","0","dirt","0"
"240","","forage01","86","71860","0.0-10.0-25.0","AQVXVMX61864S","1516911059197","1","27","dirt","0","dirt","0"
"89","","forage01","87","72052","0.0-10.0-26.0","AQVXVMX61864S","1516911059197","1","26","dirt","0","dirt","0"
"513","","forage01","88","72668","0.0-10.0-27.0","AQVXVMX61864S","1516911059197","1","25","dirt","0","dirt","0"
"961","","forage01","89","73732","0.0-10.0-28.0","AQVXVMX61864S","1516911059197","0","24","gold","0","dirt","0"
"273","","forage01","90","74107","0.0-10.0-29.0","AQVXVMX61864S","1516911059197","0","23","dirt","0","gold","0"
"63","","forage01","91","74276","0.0-10.0-30.0","AQVXVMX61864S","1516911059197","0","22","dirt","0","gold","0"
"191","","forage01","92","74572","0.0-10.0-31.0","AQVXVMX61864S","1516911059197","0","21","dirt","0","gold","0"
