"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"5479","32","text","0","5488","0.0-0.0","AROOCBM042SJD","1516909072628","","","","","",""
"23598","32","text","1","29196","0.0-1.0","AROOCBM042SJD","1516909072628","","","","","",""
"2592","32","text","2","31891","0.0-2.0","AROOCBM042SJD","1516909072628","","","","","",""
"72715","32","text","3","104715","0.0-3.0","AROOCBM042SJD","1516909072628","","","","","",""
"136894","32","mine-text","4","242408","0.0-4.0","AROOCBM042SJD","1516909072628","","","","","",""
"69869","32","text","5","312493","0.0-5.0","AROOCBM042SJD","1516909072628","","","","","",""
"1543","32","text","6","314140","0.0-6.0","AROOCBM042SJD","1516909072628","","","","","",""
"34928","32","mine-text","7","349870","0.0-7.0","AROOCBM042SJD","1516909072628","","","","","",""
"9633","","forage01","8","359711","0.0-8.0-0.0","AROOCBM042SJD","1516909072628","0","52","dirt","0","no mineshafts yet","0"
"5475","","forage01","9","365294","0.0-8.0-1.0","AROOCBM042SJD","1516909072628","0","51","dirt","0","dirt","0"
"2365","","forage01","10","367775","0.0-8.0-2.0","AROOCBM042SJD","1516909072628","1","50","dirt","0","dirt","0"
"3431","","forage01","11","371314","0.0-8.0-3.0","AROOCBM042SJD","1516909072628","1","49","dirt","0","dirt","0"
"1720","","forage01","12","373143","0.0-8.0-4.0","AROOCBM042SJD","1516909072628","1","48","dirt","0","dirt","0"
"738","","forage01","13","373998","0.0-8.0-5.0","AROOCBM042SJD","1516909072628","1","47","dirt","0","dirt","0"
"602","","forage01","14","374711","0.0-8.0-6.0","AROOCBM042SJD","1516909072628","1","46","dirt","0","dirt","0"
"962","","forage01","15","375794","0.0-8.0-7.0","AROOCBM042SJD","1516909072628","1","45","dirt","0","dirt","0"
"735","","forage01","16","376636","0.0-8.0-8.0","AROOCBM042SJD","1516909072628","1","44","dirt","0","dirt","0"
"823","","forage01","17","377566","0.0-8.0-9.0","AROOCBM042SJD","1516909072628","1","43","dirt","0","dirt","0"
"946","","forage01","18","378621","0.0-8.0-10.0","AROOCBM042SJD","1516909072628","0","42","dirt","0","dirt","0"
"845","","forage01","19","379586","0.0-8.0-11.0","AROOCBM042SJD","1516909072628","0","41","dirt","0","dirt","0"
"1499","","forage01","20","381202","0.0-8.0-12.0","AROOCBM042SJD","1516909072628","0","40","dirt","0","dirt","0"
"1079","","forage01","21","382396","0.0-8.0-13.0","AROOCBM042SJD","1516909072628","1","39","dirt","0","dirt","0"
"617","","forage01","22","383120","0.0-8.0-14.0","AROOCBM042SJD","1516909072628","1","38","dirt","0","dirt","0"
"855","","forage01","23","384123","0.0-8.0-15.0","AROOCBM042SJD","1516909072628","0","37","dirt","0","dirt","0"
"806","","forage01","24","385039","0.0-8.0-16.0","AROOCBM042SJD","1516909072628","1","36","dirt","0","dirt","0"
"848","","forage01","25","386002","0.0-8.0-17.0","AROOCBM042SJD","1516909072628","1","35","dirt","0","dirt","0"
"719","","forage01","26","386830","0.0-8.0-18.0","AROOCBM042SJD","1516909072628","1","34","dirt","0","dirt","0"
"567","","forage01","27","387506","0.0-8.0-19.0","AROOCBM042SJD","1516909072628","1","33","dirt","0","dirt","0"
"622","","forage01","28","388236","0.0-8.0-20.0","AROOCBM042SJD","1516909072628","1","32","dirt","0","dirt","0"
"521","","forage01","29","388882","0.0-8.0-21.0","AROOCBM042SJD","1516909072628","1","31","dirt","0","dirt","0"
"704","","forage01","30","389693","0.0-8.0-22.0","AROOCBM042SJD","1516909072628","0","30","dirt","0","dirt","0"
"913","","forage01","31","390716","0.0-8.0-23.0","AROOCBM042SJD","1516909072628","0","29","dirt","0","dirt","0"
"1402","","forage01","32","392226","0.0-8.0-24.0","AROOCBM042SJD","1516909072628","0","28","dirt","0","dirt","0"
"1770","","forage01","33","394106","0.0-8.0-25.0","AROOCBM042SJD","1516909072628","0","27","dirt","0","dirt","0"
"989","","forage01","34","395213","0.0-8.0-26.0","AROOCBM042SJD","1516909072628","0","26","dirt","0","dirt","0"
