"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"84935","32","text","0","84945","0.0-0.0","ASI2B6A3Y556Z","1516904779419","","","","","",""
"13703","32","text","1","98754","0.0-1.0","ASI2B6A3Y556Z","1516904779419","","","","","",""
"11909","32","text","2","110766","0.0-2.0","ASI2B6A3Y556Z","1516904779419","","","","","",""
"17134","32","text","3","128006","0.0-3.0","ASI2B6A3Y556Z","1516904779419","","","","","",""
"11570","32","mine-text","4","139927","0.0-4.0","ASI2B6A3Y556Z","1516904779419","","","","","",""
"30658","32","text","5","170689","0.0-5.0","ASI2B6A3Y556Z","1516904779419","","","","","",""
"8372","32","text","6","179166","0.0-6.0","ASI2B6A3Y556Z","1516904779419","","","","","",""
"39715","32","mine-text","7","219350","0.0-7.0","ASI2B6A3Y556Z","1516904779419","","","","","",""
"4431","","forage01","8","223896","0.0-8.0-0.0","ASI2B6A3Y556Z","1516904779419","0","52","dirt","0","no mineshafts yet","0"
"4090","","forage01","9","228095","0.0-8.0-1.0","ASI2B6A3Y556Z","1516904779419","0","51","dirt","0","dirt","0"
"3441","","forage01","10","231647","0.0-8.0-2.0","ASI2B6A3Y556Z","1516904779419","0","50","gold","0","dirt","0"
"4392","","forage01","11","236150","0.0-8.0-3.0","ASI2B6A3Y556Z","1516904779419","1","49","gold","1000","gold","1000"
"1529","","forage01","12","237791","0.0-8.0-4.0","ASI2B6A3Y556Z","1516904779419","1","48","gold","1000","gold","2000"
"541","","forage01","13","238442","0.0-8.0-5.0","ASI2B6A3Y556Z","1516904779419","1","47","gold","1000","gold","3000"
"446","","forage01","14","238995","0.0-8.0-6.0","ASI2B6A3Y556Z","1516904779419","1","46","gold","1000","gold","4000"
"472","","forage01","15","239574","0.0-8.0-7.0","ASI2B6A3Y556Z","1516904779419","1","45","gold","1000","gold","5000"
"531","","forage01","16","240214","0.0-8.0-8.0","ASI2B6A3Y556Z","1516904779419","1","44","gold","1000","gold","6000"
"816","","forage01","17","241135","0.0-8.0-9.0","ASI2B6A3Y556Z","1516904779419","1","43","gold","1000","gold","7000"
"482","","forage01","18","241721","0.0-8.0-10.0","ASI2B6A3Y556Z","1516904779419","1","42","gold","1000","gold","8000"
"52","","forage01","19","241877","0.0-8.0-11.0","ASI2B6A3Y556Z","1516904779419","1","41","gold","1000","gold","9000"
"62","","forage01","20","242045","0.0-8.0-12.0","ASI2B6A3Y556Z","1516904779419","1","40","gold","1000","gold","10000"
"54","","forage01","21","242204","0.0-8.0-13.0","ASI2B6A3Y556Z","1516904779419","1","39","gold","1000","gold","11000"
"48","","forage01","22","242357","0.0-8.0-14.0","ASI2B6A3Y556Z","1516904779419","1","38","gold","1000","gold","12000"
"8444","","forage01","23","250911","0.0-8.0-15.0","ASI2B6A3Y556Z","1516904779419","1","37","gold","1000","gold","13000"
"549","","forage01","24","251566","0.0-8.0-16.0","ASI2B6A3Y556Z","1516904779419","1","36","gold","1000","gold","14000"
"479","","forage01","25","252150","0.0-8.0-17.0","ASI2B6A3Y556Z","1516904779419","1","35","gold","1000","gold","15000"
"521","","forage01","26","252779","0.0-8.0-18.0","ASI2B6A3Y556Z","1516904779419","1","34","gold","1000","gold","16000"
"114","","forage01","27","253002","0.0-8.0-19.0","ASI2B6A3Y556Z","1516904779419","1","33","gold","1000","gold","17000"
"459","","forage01","28","253569","0.0-8.0-20.0","ASI2B6A3Y556Z","1516904779419","1","32","gold","1000","gold","18000"
"314","","forage01","29","253993","0.0-8.0-21.0","ASI2B6A3Y556Z","1516904779419","1","31","gold","1000","gold","19000"
"289","","forage01","30","254391","0.0-8.0-22.0","ASI2B6A3Y556Z","1516904779419","1","30","gold","1000","gold","20000"
"235","","forage01","31","254736","0.0-8.0-23.0","ASI2B6A3Y556Z","1516904779419","1","29","gold","1000","gold","21000"
"2996","","forage01","32","257838","0.0-8.0-24.0","ASI2B6A3Y556Z","1516904779419","1","28","gold","1000","gold","22000"
"621","","forage01","33","258565","0.0-8.0-25.0","ASI2B6A3Y556Z","1516904779419","1","27","gold","1000","gold","23000"
"470","","forage01","34","259140","0.0-8.0-26.0","ASI2B6A3Y556Z","1516904779419","1","26","gold","1000","gold","24000"
"295","","forage01","35","259542","0.0-8.0-27.0","ASI2B6A3Y556Z","1516904779419","1","25","gold","1000","gold","25000"
"535","","forage01","36","260183","0.0-8.0-28.0","ASI2B6A3Y556Z","1516904779419","1","24","gold","1000","gold","26000"
"659","","forage01","37","260951","0.0-8.0-29.0","ASI2B6A3Y556Z","1516904779419","0","23","dirt","0","gold","26000"
"1582","","forage01","38","262638","0.0-8.0-30.0","ASI2B6A3Y556Z","1516904779419","0","22","gold","0","gold","26000"
