"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"14115","32","text","0","14140","0.0-0.0","AVI7K876BV3QL","1517429680025","","","","","",""
"10043","32","text","1","24296","0.0-1.0","AVI7K876BV3QL","1517429680025","","","","","",""
"3184","32","text","2","27584","0.0-2.0","AVI7K876BV3QL","1517429680025","","","","","",""
"28027","32","text","3","55719","0.0-3.0","AVI7K876BV3QL","1517429680025","","","","","",""
"40081","32","mine-text","4","96591","0.0-4.0","AVI7K876BV3QL","1517429680025","","","","","",""
"32526","32","text","5","129222","0.0-5.0","AVI7K876BV3QL","1517429680025","","","","","",""
"15617","32","text","6","144942","0.0-6.0","AVI7K876BV3QL","1517429680025","","","","","",""
"4697","32","mine-text","7","150671","0.0-7.0","AVI7K876BV3QL","1517429680025","","","","","",""
"7582","","forage01","8","158389","0.0-8.0-0.0","AVI7K876BV3QL","1517429680025","0","52","diamond","0","no mineshafts yet","0"
"10011","","forage01","9","168514","0.0-8.0-1.0","AVI7K876BV3QL","1517429680025","1","51","diamond","100000","diamond","100000"
"4975","","forage01","10","173602","0.0-8.0-2.0","AVI7K876BV3QL","1517429680025","1","50","diamond","100000","diamond","200000"
"2206","","forage01","11","175913","0.0-8.0-3.0","AVI7K876BV3QL","1517429680025","1","49","diamond","100000","diamond","300000"
"3225","","forage01","12","179249","0.0-8.0-4.0","AVI7K876BV3QL","1517429680025","1","48","diamond","100000","diamond","400000"
"1334","","forage01","13","180697","0.0-8.0-5.0","AVI7K876BV3QL","1517429680025","1","47","diamond","100000","diamond","500000"
"1156","","forage01","14","181961","0.0-8.0-6.0","AVI7K876BV3QL","1517429680025","1","46","diamond","100000","diamond","600000"
"1883","","forage01","15","183953","0.0-8.0-7.0","AVI7K876BV3QL","1517429680025","1","45","diamond","100000","diamond","700000"
"967","","forage01","16","185033","0.0-8.0-8.0","AVI7K876BV3QL","1517429680025","1","44","diamond","100000","diamond","800000"
"3342","","forage01","17","188482","0.0-8.0-9.0","AVI7K876BV3QL","1517429680025","1","43","diamond","100000","diamond","900000"
"2104","","forage01","18","190697","0.0-8.0-10.0","AVI7K876BV3QL","1517429680025","1","42","diamond","100000","diamond","1000000"
"2964","","forage01","19","193777","0.0-8.0-11.0","AVI7K876BV3QL","1517429680025","1","41","diamond","100000","diamond","1100000"
"563","","forage01","20","194451","0.0-8.0-12.0","AVI7K876BV3QL","1517429680025","1","40","diamond","100000","diamond","1200000"
"584","","forage01","21","195145","0.0-8.0-13.0","AVI7K876BV3QL","1517429680025","1","39","diamond","100000","diamond","1300000"
"497","","forage01","22","195753","0.0-8.0-14.0","AVI7K876BV3QL","1517429680025","1","38","diamond","100000","diamond","1400000"
"496","","forage01","23","196361","0.0-8.0-15.0","AVI7K876BV3QL","1517429680025","1","37","diamond","100000","diamond","1500000"
"520","","forage01","24","196993","0.0-8.0-16.0","AVI7K876BV3QL","1517429680025","1","36","diamond","100000","diamond","1600000"
"484","","forage01","25","197601","0.0-8.0-17.0","AVI7K876BV3QL","1517429680025","1","35","diamond","100000","diamond","1700000"
