"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","sonaID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"5694","32","text","0","5699","0.0-0.0","","20381","1476727190858","","","","","","","","","","","","","",""
"38437","32","text","1","44449","0.0-1.0","","20381","1476727190858","","","","","","","","","","","","","",""
"2015","32","text","2","46780","0.0-2.0","","20381","1476727190858","","","","","","","","","","","","","",""
"53712","32","text","3","100803","0.0-3.0","","20381","1476727190858","","","","","","","","","","","","","",""
"37014","32","text","4","138126","0.0-4.0","","20381","1476727190858","","","","","","","","","","","","","",""
"53418","32","text","5","191847","0.0-5.0","","20381","1476727190858","","","","","","","","","","","","","",""
"28624","","singlestim-multislider","6","220801","0.0-6.0-0.0","","20381","1476727190858","0","40","60","","","","","","","","","","",""
"27229","","survey-text","7","248337","0.0-7.0","","20381","1476727190858","","","","{""Q0"":""C""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-spacing: 0px 1px;""><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person A</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td></tr><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person B</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"8242","","survey-multi-choice","8","256896","0.0-8.0","","20381","1476727190858","","","","{""Q0"":""agree""}","","","","","","","","","",""
"19071","","singlestim-multislider","9","276276","0.0-9.0-18.0","","20381","1476727190858","0","40","60","","","0","12","9","7","5","0.8","0.6","0.8","1"
