"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"6844","32","text","0","6846","0.0-0.0","","1476674708172","","","","","","","","","","","","","",""
"13568","32","text","1","20718","0.0-1.0","","1476674708172","","","","","","","","","","","","","",""
"1838","32","text","2","22861","0.0-2.0","","1476674708172","","","","","","","","","","","","","",""
"35924","32","text","3","59089","0.0-3.0","","1476674708172","","","","","","","","","","","","","",""
"36011","32","text","4","95405","0.0-4.0","","1476674708172","","","","","","","","","","","","","",""
"4331","32","text","5","100038","0.0-5.0","","1476674708172","","","","","","","","","","","","","",""
"26361","","singlestim-multislider","6","126710","0.0-6.0-0.0","","1476674708172","0","74","26","","","","","","","","","","",""
"27495","","survey-text","7","154512","0.0-7.0","","1476674708172","","","","{""Q0"":""C""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-spacing: 0px 1px;""><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person A</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td></tr><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person B</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"7829","","survey-multi-choice","8","162647","0.0-8.0","","1476674708172","","","","{""Q0"":""agree""}","","","","","","","","","",""
"25355","","singlestim-multislider","9","188307","0.0-9.0-31.0","","1476674708172","0","79","22","","","0","12","9","7","5","0.8","0.8","1","1"
"5770","","singlestim-multislider","10","194386","0.0-9.0-0.0","","1476674708172","1","26","74","","","0","12","9","7","5","0.6","0.6","0.8","1"
"5238","","singlestim-multislider","11","199935","0.0-9.0-16.0","","1476674708172","1","24","76","","","0","12","9","7","5","0.8","0.6","0.8","1"
"3066","","singlestim-multislider","12","203305","0.0-9.0-19.0","","1476674708172","0","77","23","","","0","12","9","7","5","0.8","0.6","0.8","1"
"2135","","singlestim-multislider","13","205747","0.0-9.0-28.0","","1476674708172","1","29","71","","","0","12","9","7","5","0.8","0.8","1","1"
"2711","","singlestim-multislider","14","208767","0.0-9.0-30.0","","1476674708172","0","72","28","","","0","12","9","7","5","0.8","0.8","1","1"
"8152","","singlestim-multislider","15","217225","0.0-9.0-8.0","","1476674708172","1","21","79","","","0","12","9","7","5","0.6","0.8","0.8","1"
"4837","","singlestim-multislider","16","222369","0.0-9.0-27.0","","1476674708172","0","82","19","","","0","12","9","7","5","0.8","0.8","0.8","1"
"23878","","singlestim-multislider","17","246556","0.0-9.0-32.0","","1476674708172","0","72","28","","","1","12","9","7","5","NA","NA","NA","1"
"12184","","singlestim-multislider","18","259044","0.0-9.0-6.0","","1476674708172","0","85","15","","","0","12","9","7","5","0.6","0.6","1","1"
"3268","","singlestim-multislider","19","262615","0.0-9.0-2.0","","1476674708172","0","84","16","","","0","12","9","7","5","0.6","0.6","0.8","1"
"5532","","singlestim-multislider","20","268455","0.0-9.0-33.0","","1476674708172","0","76","24","","","1","12","9","7","5","NA","NA","NA","1"
"3186","","singlestim-multislider","21","271949","0.0-9.0-11.0","","1476674708172","1","18","82","","","0","12","9","7","5","0.6","0.8","0.8","1"
"5385","","singlestim-multislider","22","277638","0.0-9.0-25.0","","1476674708172","0","77","23","","","0","12","9","7","5","0.8","0.8","0.8","1"
"6078","","singlestim-multislider","23","284019","0.0-9.0-5.0","","1476674708172","1","31","69","","","0","12","9","7","5","0.6","0.6","1","1"
"9002","","singlestim-multislider","24","293329","0.0-9.0-20.0","","1476674708172","1","33","67","","","0","12","9","7","5","0.8","0.6","1","1"
"5222","","singlestim-multislider","25","298855","0.0-9.0-23.0","","1476674708172","1","38","62","","","0","12","9","7","5","0.8","0.6","1","1"
"2730","","singlestim-multislider","26","301890","0.0-9.0-14.0","","1476674708172","0","61","39","","","0","12","9","7","5","0.6","0.8","1","1"
"1732","","singlestim-multislider","27","303927","0.0-9.0-10.0","","1476674708172","1","36","64","","","0","12","9","7","5","0.6","0.8","0.8","1"
"1430","","singlestim-multislider","28","305662","0.0-9.0-40.0","","1476674708172","0","68","32","","","1","12","9","7","5","NA","NA","NA","1"
"1621","","singlestim-multislider","29","307589","0.0-9.0-24.0","","1476674708172","1","35","65","","","0","12","9","7","5","0.8","0.8","0.8","1"
"1286","","singlestim-multislider","30","309180","0.0-9.0-13.0","","1476674708172","1","28","72","","","0","12","9","7","5","0.6","0.8","1","1"
"3231","","singlestim-multislider","31","312717","0.0-9.0-1.0","","1476674708172","0","77","23","","","0","12","9","7","5","0.6","0.6","0.8","1"
"2025","","singlestim-multislider","32","315048","0.0-9.0-34.0","","1476674708172","1","33","68","","","1","12","9","7","5","NA","NA","NA","1"
"3193","","singlestim-multislider","33","318549","0.0-9.0-38.0","","1476674708172","0","77","23","","","1","12","9","7","5","NA","NA","NA","1"
"2641","","singlestim-multislider","34","321498","0.0-9.0-15.0","","1476674708172","1","33","68","","","0","12","9","7","5","0.6","0.8","1","1"
"1339","","singlestim-multislider","35","323145","0.0-9.0-35.0","","1476674708172","0","74","27","","","1","12","9","7","5","NA","NA","NA","1"
"1125","","singlestim-multislider","36","324574","0.0-9.0-37.0","","1476674708172","1","29","71","","","1","12","9","7","5","NA","NA","NA","1"
"2382","","singlestim-multislider","37","327263","0.0-9.0-36.0","","1476674708172","0","68","32","","","1","12","9","7","5","NA","NA","NA","1"
"5318","","singlestim-multislider","38","332885","0.0-9.0-12.0","","1476674708172","1","20","80","","","0","12","9","7","5","0.6","0.8","1","1"
"3470","","singlestim-multislider","39","336661","0.0-9.0-3.0","","1476674708172","1","15","85","","","0","12","9","7","5","0.6","0.6","0.8","1"
"2124","","singlestim-multislider","40","339088","0.0-9.0-9.0","","1476674708172","0","82","18","","","0","12","9","7","5","0.6","0.8","0.8","1"
"4570","","singlestim-multislider","41","343963","0.0-9.0-4.0","","1476674708172","1","24","76","","","0","12","9","7","5","0.6","0.6","1","1"
"2191","","singlestim-multislider","42","346461","0.0-9.0-39.0","","1476674708172","1","21","79","","","1","12","9","7","5","NA","NA","NA","1"
"1986","","singlestim-multislider","43","348754","0.0-9.0-21.0","","1476674708172","0","76","24","","","0","12","9","7","5","0.8","0.6","1","1"
"2495","","singlestim-multislider","44","351553","0.0-9.0-22.0","","1476674708172","0","85","15","","","0","12","9","7","5","0.8","0.6","1","1"
"3063","","singlestim-multislider","45","354920","0.0-9.0-17.0","","1476674708172","0","87","13","","","0","12","9","7","5","0.8","0.6","0.8","1"
"2919","","singlestim-multislider","46","358143","0.0-9.0-18.0","","1476674708172","0","82","18","","","0","12","9","7","5","0.8","0.6","0.8","1"
"2753","","singlestim-multislider","47","361199","0.0-9.0-29.0","","1476674708172","0","80","20","","","0","12","9","7","5","0.8","0.8","1","1"
"2272","","singlestim-multislider","48","363777","0.0-9.0-7.0","","1476674708172","1","17","83","","","0","12","9","7","5","0.6","0.6","1","1"
"2618","","singlestim-multislider","49","366697","0.0-9.0-26.0","","1476674708172","0","78","22","","","0","12","9","7","5","0.8","0.8","0.8","1"
"2658","","singlestim-multislider","50","369663","0.0-9.0-41.0","","1476674708172","0","74","26","","","1","12","9","7","5","NA","NA","NA","1"
"3312","","singlestim-multislider","51","373283","0.0-10.0-13.0","","1476674708172","1","24","76","","","0","12","9","7","5","0.6","0.8","1","1"
"2141","","singlestim-multislider","52","375730","0.0-10.0-20.0","","1476674708172","1","27","73","","","0","12","9","7","5","0.8","0.6","1","1"
"1941","","singlestim-multislider","53","377974","0.0-10.0-0.0","","1476674708172","1","28","72","","","0","12","9","7","5","0.6","0.6","0.8","1"
"1998","","singlestim-multislider","54","380278","0.0-10.0-4.0","","1476674708172","0","76","24","","","0","12","9","7","5","0.6","0.6","1","1"
"4038","","singlestim-multislider","55","384623","0.0-10.0-32.0","","1476674708172","1","20","80","","","1","12","9","7","5","NA","NA","NA","1"
"2566","","singlestim-multislider","56","387491","0.0-10.0-37.0","","1476674708172","0","79","21","","","1","12","9","7","5","NA","NA","NA","1"
"3558","","singlestim-multislider","57","391359","0.0-10.0-41.0","","1476674708172","0","78","22","","","1","12","9","7","5","NA","NA","NA","1"
"3699","","singlestim-multislider","58","395365","0.0-10.0-26.0","","1476674708172","0","81","19","","","0","12","9","7","5","0.8","0.8","0.8","1"
"1973","","singlestim-multislider","59","397645","0.0-10.0-5.0","","1476674708172","1","22","79","","","0","12","9","7","5","0.6","0.6","1","1"
"4280","","singlestim-multislider","60","402233","0.0-10.0-19.0","","1476674708172","0","80","20","","","0","12","9","7","5","0.8","0.6","0.8","1"
"3108","","singlestim-multislider","61","405647","0.0-10.0-8.0","","1476674708172","1","15","85","","","0","12","9","7","5","0.6","0.8","0.8","1"
"2882","","singlestim-multislider","62","408835","0.0-10.0-34.0","","1476674708172","0","81","19","","","1","12","9","7","5","NA","NA","NA","1"
"5707","","singlestim-multislider","63","414846","0.0-10.0-9.0","","1476674708172","0","79","21","","","0","12","9","7","5","0.6","0.8","0.8","1"
"2883","","singlestim-multislider","64","418034","0.0-10.0-1.0","","1476674708172","0","83","17","","","0","12","9","7","5","0.6","0.6","0.8","1"
"1993","","singlestim-multislider","65","420333","0.0-10.0-16.0","","1476674708172","1","22","78","","","0","12","9","7","5","0.8","0.6","0.8","1"
"3700","","singlestim-multislider","66","424341","0.0-10.0-36.0","","1476674708172","1","19","81","","","1","12","9","7","5","NA","NA","NA","1"
"2499","","singlestim-multislider","67","427145","0.0-10.0-18.0","","1476674708172","0","76","24","","","0","12","9","7","5","0.8","0.6","0.8","1"
"10205","","singlestim-multislider","68","437654","0.0-10.0-23.0","","1476674708172","1","19","81","","","0","12","9","7","5","0.8","0.6","1","1"
"2669","","singlestim-multislider","69","440626","0.0-10.0-10.0","","1476674708172","0","77","23","","","0","12","9","7","5","0.6","0.8","0.8","1"
"3141","","singlestim-multislider","70","444071","0.0-10.0-2.0","","1476674708172","0","82","18","","","0","12","9","7","5","0.6","0.6","0.8","1"
"2868","","singlestim-multislider","71","447246","0.0-10.0-7.0","","1476674708172","1","15","85","","","0","12","9","7","5","0.6","0.6","1","1"
"4805","","singlestim-multislider","72","452359","0.0-10.0-6.0","","1476674708172","0","78","22","","","0","12","9","7","5","0.6","0.6","1","1"
"1736","","singlestim-multislider","73","454401","0.0-10.0-11.0","","1476674708172","1","21","79","","","0","12","9","7","5","0.6","0.8","0.8","1"
"2711","","singlestim-multislider","74","457416","0.0-10.0-28.0","","1476674708172","1","23","77","","","0","12","9","7","5","0.8","0.8","1","1"
"2980","","singlestim-multislider","75","460702","0.0-10.0-3.0","","1476674708172","1","21","79","","","0","12","9","7","5","0.6","0.6","0.8","1"
"3166","","singlestim-multislider","76","464174","0.0-10.0-15.0","","1476674708172","1","14","86","","","0","12","9","7","5","0.6","0.8","1","1"
"4582","","singlestim-multislider","77","469062","0.0-10.0-33.0","","1476674708172","0","87","13","","","1","12","9","7","5","NA","NA","NA","1"
"2860","","singlestim-multislider","78","472230","0.0-10.0-21.0","","1476674708172","0","85","16","","","0","12","9","7","5","0.8","0.6","1","1"
"2176","","singlestim-multislider","79","474709","0.0-10.0-12.0","","1476674708172","0","76","24","","","0","12","9","7","5","0.6","0.8","1","1"
"5305","","singlestim-multislider","80","480319","0.0-10.0-27.0","","1476674708172","1","19","82","","","0","12","9","7","5","0.8","0.8","0.8","1"
"23889","","singlestim-multislider","81","504515","0.0-10.0-31.0","","1476674708172","1","24","76","","","0","12","9","7","5","0.8","0.8","1","1"
"10578","","singlestim-multislider","82","515400","0.0-10.0-38.0","","1476674708172","1","25","75","","","1","12","9","7","5","NA","NA","NA","1"
"4550","","singlestim-multislider","83","520257","0.0-10.0-14.0","","1476674708172","1","22","79","","","0","12","9","7","5","0.6","0.8","1","1"
"1662","","singlestim-multislider","84","522223","0.0-10.0-29.0","","1476674708172","0","79","22","","","0","12","9","7","5","0.8","0.8","1","1"
"1533","","singlestim-multislider","85","524060","0.0-10.0-35.0","","1476674708172","1","23","77","","","1","12","9","7","5","NA","NA","NA","1"
"994","","singlestim-multislider","86","525357","0.0-10.0-30.0","","1476674708172","0","82","18","","","0","12","9","7","5","0.8","0.8","1","1"
"2068","","singlestim-multislider","87","527729","0.0-10.0-39.0","","1476674708172","1","24","76","","","1","12","9","7","5","NA","NA","NA","1"
"2560","","singlestim-multislider","88","530593","0.0-10.0-24.0","","1476674708172","1","19","81","","","0","12","9","7","5","0.8","0.8","0.8","1"
"2747","","singlestim-multislider","89","533645","0.0-10.0-17.0","","1476674708172","0","83","17","","","0","12","9","7","5","0.8","0.6","0.8","1"
"2066","","singlestim-multislider","90","536016","0.0-10.0-40.0","","1476674708172","1","20","80","","","1","12","9","7","5","NA","NA","NA","1"
"1859","","singlestim-multislider","91","538180","0.0-10.0-25.0","","1476674708172","0","80","20","","","0","12","9","7","5","0.8","0.8","0.8","1"
"2008","","singlestim-multislider","92","540496","0.0-10.0-22.0","","1476674708172","0","87","13","","","0","12","9","7","5","0.8","0.6","1","1"
"18470","32","text","93","559268","0.0-11.0","","1476674708172","","","","","","","","","","","","","",""
