"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","sonaID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"11909","32","text","0","11913","0.0-0.0","","21309","1479424744836","","","","","","","","","","","","","",""
"25836","32","text","1","38055","0.0-1.0","","21309","1479424744836","","","","","","","","","","","","","",""
"5058","32","text","2","43415","0.0-2.0","","21309","1479424744836","","","","","","","","","","","","","",""
"29169","32","text","3","72887","0.0-3.0","","21309","1479424744836","","","","","","","","","","","","","",""
"31409","32","text","4","104598","0.0-4.0","","21309","1479424744836","","","","","","","","","","","","","",""
"13970","32","text","5","118869","0.0-5.0","","21309","1479424744836","","","","","","","","","","","","","",""
"3654","","singlestim-multislider","6","122840","0.0-6.0-0.0","","21309","1479424744836","1","0","100","","","","","","","","","","",""
"46077","","survey-text","7","169222","0.0-7.0","","21309","1479424744836","","","","{""Q0"":""B: they are opposites and the computer algorithm matches based on similarity or dissimilarity ""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-spacing: 0px 1px;""><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person A</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td></tr><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person B</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"4966","","survey-multi-choice","8","174494","0.0-8.0","","21309","1479424744836","","","","{""Q0"":""agree""}","","","","","","","","","",""
"52493","","singlestim-multislider","9","227293","0.0-9.0-25.0","","21309","1479424744836","0","75","25","","","0","12","9","7","5","0.8","0.8","0.8","1"
"7901","","singlestim-multislider","10","235502","0.0-9.0-8.0","","21309","1479424744836","0","0","100","","","0","12","9","7","5","0.6","0.8","0.8","1"
"16325","","singlestim-multislider","11","252133","0.0-9.0-7.0","","21309","1479424744836","0","75","25","","","0","12","9","7","5","0.6","0.6","1","1"
"9542","","singlestim-multislider","12","261981","0.0-9.0-39.0","","21309","1479424744836","0","100","0","","","1","12","9","7","5","NA","NA","NA","1"
"11796","","singlestim-multislider","13","274084","0.0-9.0-12.0","","21309","1479424744836","0","100","0","","","0","12","9","7","5","0.6","0.8","1","1"
"7550","","singlestim-multislider","14","281940","0.0-9.0-9.0","","21309","1479424744836","1","0","100","","","0","12","9","7","5","0.6","0.8","0.8","1"
"13447","","singlestim-multislider","15","295693","0.0-9.0-0.0","","21309","1479424744836","0","75","25","","","0","12","9","7","5","0.6","0.6","0.8","1"
"5838","","singlestim-multislider","16","301837","0.0-9.0-31.0","","21309","1479424744836","0","100","0","","","0","12","9","7","5","0.8","0.8","1","1"
"18407","","singlestim-multislider","17","320549","0.0-9.0-41.0","","21309","1479424744836","1","25","75","","","1","12","9","7","5","NA","NA","NA","1"
"10182","","singlestim-multislider","18","331037","0.0-9.0-14.0","","21309","1479424744836","0","100","0","","","0","12","9","7","5","0.6","0.8","1","1"
"18339","","singlestim-multislider","19","349685","0.0-9.0-38.0","","21309","1479424744836","0","75","25","","","1","12","9","7","5","NA","NA","NA","1"
"12101","","singlestim-multislider","20","362092","0.0-9.0-13.0","","21309","1479424744836","1","13","87","","","0","12","9","7","5","0.6","0.8","1","1"
"7087","","singlestim-multislider","21","369483","0.0-9.0-4.0","","21309","1479424744836","1","0","100","","","0","12","9","7","5","0.6","0.6","1","1"
"7367","","singlestim-multislider","22","377156","0.0-9.0-30.0","","21309","1479424744836","1","0","100","","","0","12","9","7","5","0.8","0.8","1","1"
"22951","","singlestim-multislider","23","400412","0.0-9.0-11.0","","21309","1479424744836","1","35","65","","","0","12","9","7","5","0.6","0.8","0.8","1"
"15448","","singlestim-multislider","24","416163","0.0-9.0-37.0","","21309","1479424744836","0","25","75","","","1","12","9","7","5","NA","NA","NA","1"
"22752","","singlestim-multislider","25","439219","0.0-9.0-22.0","","21309","1479424744836","0","100","0","","","0","12","9","7","5","0.8","0.6","1","1"
"9997","","singlestim-multislider","26","449523","0.0-9.0-17.0","","21309","1479424744836","0","50","51","","","0","12","9","7","5","0.8","0.6","0.8","1"
"10173","","singlestim-multislider","27","460003","0.0-9.0-3.0","","21309","1479424744836","1","26","75","","","0","12","9","7","5","0.6","0.6","0.8","1"
"39375","","singlestim-multislider","28","499683","0.0-9.0-16.0","","21309","1479424744836","0","50","50","","","0","12","9","7","5","0.8","0.6","0.8","1"
"27287","","singlestim-multislider","29","527274","0.0-9.0-32.0","","21309","1479424744836","1","26","75","","","1","12","9","7","5","NA","NA","NA","1"
"7390","","singlestim-multislider","30","534970","0.0-9.0-6.0","","21309","1479424744836","1","0","100","","","0","12","9","7","5","0.6","0.6","1","1"
"14669","","singlestim-multislider","31","549946","0.0-9.0-1.0","","21309","1479424744836","1","1","99","","","0","12","9","7","5","0.6","0.6","0.8","1"
"9118","","singlestim-multislider","32","559370","0.0-9.0-33.0","","21309","1479424744836","1","6","94","","","1","12","9","7","5","NA","NA","NA","1"
"7983","","singlestim-multislider","33","567659","0.0-9.0-19.0","","21309","1479424744836","1","5","95","","","0","12","9","7","5","0.8","0.6","0.8","1"
"6686","","singlestim-multislider","34","574651","0.0-9.0-34.0","","21309","1479424744836","","50","50","","","1","12","9","7","5","NA","NA","NA","1"
"8094","","singlestim-multislider","35","583051","0.0-9.0-5.0","","21309","1479424744836","0","100","0","","","0","12","9","7","5","0.6","0.6","1","1"
