"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","sonaID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"1170","32","text","0","1174","0.0-0.0","","23865","1481148384424","","","","","","","","","","","","","",""
"47092","32","text","1","48569","0.0-1.0","","23865","1481148384424","","","","","","","","","","","","","",""
"1740","32","text","2","50614","0.0-2.0","","23865","1481148384424","","","","","","","","","","","","","",""
"21280","32","text","3","72197","0.0-3.0","","23865","1481148384424","","","","","","","","","","","","","",""
"31605","32","text","4","104106","0.0-4.0","","23865","1481148384424","","","","","","","","","","","","","",""
"37977","32","text","5","142389","0.0-5.0","","23865","1481148384424","","","","","","","","","","","","","",""
"35558","","singlestim-multislider","6","178260","0.0-6.0-0.0","","23865","1481148384424","0","0","100","","","","","","","","","","",""
"28290","","survey-text","7","206853","0.0-7.0","","23865","1481148384424","","","","{""Q0"":""B I think ""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-spacing: 0px 1px;""><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person A</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td></tr><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person B</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"6620","","survey-multi-choice","8","213780","0.0-8.0","","23865","1481148384424","","","","{""Q0"":""agree""}","","","","","","","","","",""
"37205","","singlestim-multislider","9","251290","0.0-9.0-6.0","","23865","1481148384424","1","0","100","","","0","12","9","7","5","0.6","0.6","1","1"
"4461","","singlestim-multislider","10","256060","0.0-9.0-24.0","","23865","1481148384424","1","0","100","","","0","12","9","7","5","0.8","0.8","0.8","1"
"13553","","singlestim-multislider","11","269919","0.0-9.0-5.0","","23865","1481148384424","0","100","0","","","0","12","9","7","5","0.6","0.6","1","1"
"4212","","singlestim-multislider","12","274436","0.0-9.0-8.0","","23865","1481148384424","1","0","100","","","0","12","9","7","5","0.6","0.8","0.8","1"
"5753","","singlestim-multislider","13","280496","0.0-9.0-9.0","","23865","1481148384424","0","100","0","","","0","12","9","7","5","0.6","0.8","0.8","1"
"2971","","singlestim-multislider","14","283775","0.0-9.0-39.0","","23865","1481148384424","1","0","100","","","1","12","9","7","5","NA","NA","NA","1"
"2750","","singlestim-multislider","15","286830","0.0-9.0-28.0","","23865","1481148384424","1","0","100","","","0","12","9","7","5","0.8","0.8","1","1"
"2254","","singlestim-multislider","16","289393","0.0-9.0-34.0","","23865","1481148384424","1","0","100","","","1","12","9","7","5","NA","NA","NA","1"
"2670","","singlestim-multislider","17","292369","0.0-9.0-30.0","","23865","1481148384424","1","0","100","","","0","12","9","7","5","0.8","0.8","1","1"
"2544","","singlestim-multislider","18","295220","0.0-9.0-26.0","","23865","1481148384424","1","0","100","","","0","12","9","7","5","0.8","0.8","0.8","1"
"3573","","singlestim-multislider","19","299101","0.0-9.0-22.0","","23865","1481148384424","1","0","100","","","0","12","9","7","5","0.8","0.6","1","1"
