"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"2272","32","text","0","2282","0.0-0.0","","1476640284074","","","","","","","","","","","","","",""
"768","32","text","1","3366","0.0-1.0","","1476640284074","","","","","","","","","","","","","",""
"819","32","text","2","4488","0.0-2.0","","1476640284074","","","","","","","","","","","","","",""
"20016","32","text","3","24835","0.0-3.0","","1476640284074","","","","","","","","","","","","","",""
"1178","32","text","4","26338","0.0-4.0","","1476640284074","","","","","","","","","","","","","",""
"954","32","text","5","27596","0.0-5.0","","1476640284074","","","","","","","","","","","","","",""
"5494","","singlestim-multislider","6","33434","0.0-6.0-0.0","","1476640284074","1","50","50","","","","","","","","","","",""
"27846","","survey-text","7","61593","0.0-7.0","","1476640284074","","","","{""Q0"":""B. It would use the opposite attract rule.""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-spacing: 0px 1px;""><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person A</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td></tr><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person B</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"2668","","survey-multi-choice","8","64587","0.0-8.0","","1476640284074","","","","{""Q0"":""agree""}","","","","","","","","","",""
"25764","","singlestim-multislider","9","90693","0.0-9.0-25.0","","1476640284074","0","90","10","","","0","12","9","7","5","0.8","0.8","0.8","1"
