"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","sonaID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"3825","32","text","0","3829","0.0-0.0","","23750","1479067590832","","","","","","","","","","","","","",""
"12624","32","text","1","16759","0.0-1.0","","23750","1479067590832","","","","","","","","","","","","","",""
"11556","32","text","2","28617","0.0-2.0","","23750","1479067590832","","","","","","","","","","","","","",""
"45753","32","text","3","74671","0.0-3.0","","23750","1479067590832","","","","","","","","","","","","","",""
"23563","32","text","4","98536","0.0-4.0","","23750","1479067590832","","","","","","","","","","","","","",""
"7354","32","text","5","106194","0.0-5.0","","23750","1479067590832","","","","","","","","","","","","","",""
"15884","","singlestim-multislider","6","122396","0.0-6.0-0.0","","23750","1479067590832","0","63","37","","","","","","","","","","",""
"56616","","survey-text","7","179330","0.0-7.0","","23750","1479067590832","","","","{""Q0"":""B because the computer may have error""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-spacing: 0px 1px;""><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person A</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td></tr><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person B</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"4814","","survey-multi-choice","8","184450","0.0-8.0","","23750","1479067590832","","","","{""Q0"":""agree""}","","","","","","","","","",""
"12312","","singlestim-multislider","9","197075","0.0-9.0-11.0","","23750","1479067590832","1","29","71","","","0","12","9","7","5","0.6","0.8","0.8","1"
"8154","","singlestim-multislider","10","205536","0.0-9.0-41.0","","23750","1479067590832","1","69","31","","","1","12","9","7","5","NA","NA","NA","1"
"9915","","singlestim-multislider","11","215759","0.0-9.0-2.0","","23750","1479067590832","1","80","20","","","0","12","9","7","5","0.6","0.6","0.8","1"
"6422","","singlestim-multislider","12","222487","0.0-9.0-3.0","","23750","1479067590832","1","36","64","","","0","12","9","7","5","0.6","0.6","0.8","1"
"10218","","singlestim-multislider","13","233011","0.0-9.0-38.0","","23750","1479067590832","1","71","29","","","1","12","9","7","5","NA","NA","NA","1"
"8489","","singlestim-multislider","14","241805","0.0-9.0-24.0","","23750","1479067590832","1","24","76","","","0","12","9","7","5","0.8","0.8","0.8","1"
"5970","","singlestim-multislider","15","248085","0.0-9.0-28.0","","23750","1479067590832","1","13","87","","","0","12","9","7","5","0.8","0.8","1","1"
"4222","","singlestim-multislider","16","252615","0.0-9.0-12.0","","23750","1479067590832","0","74","26","","","0","12","9","7","5","0.6","0.8","1","1"
"6344","","singlestim-multislider","17","259267","0.0-9.0-39.0","","23750","1479067590832","1","40","60","","","1","12","9","7","5","NA","NA","NA","1"
"5917","","singlestim-multislider","18","265501","0.0-9.0-18.0","","23750","1479067590832","0","80","20","","","0","12","9","7","5","0.8","0.6","0.8","1"
"4286","","singlestim-multislider","19","270101","0.0-9.0-5.0","","23750","1479067590832","0","79","21","","","0","12","9","7","5","0.6","0.6","1","1"
"4275","","singlestim-multislider","20","274679","0.0-9.0-22.0","","23750","1479067590832","0","71","29","","","0","12","9","7","5","0.8","0.6","1","1"
"8701","","singlestim-multislider","21","283687","0.0-9.0-19.0","","23750","1479067590832","1","31","70","","","0","12","9","7","5","0.8","0.6","0.8","1"
"8267","","singlestim-multislider","22","292265","0.0-9.0-37.0","","23750","1479067590832","1","23","77","","","1","12","9","7","5","NA","NA","NA","1"
"4692","","singlestim-multislider","23","297267","0.0-9.0-15.0","","23750","1479067590832","1","27","73","","","0","12","9","7","5","0.6","0.8","1","1"
"4660","","singlestim-multislider","24","302233","0.0-9.0-17.0","","23750","1479067590832","1","32","68","","","0","12","9","7","5","0.8","0.6","0.8","1"
"2252","","singlestim-multislider","25","304791","0.0-9.0-4.0","","23750","1479067590832","1","12","88","","","0","12","9","7","5","0.6","0.6","1","1"
"4197","","singlestim-multislider","26","309293","0.0-9.0-13.0","","23750","1479067590832","1","32","68","","","0","12","9","7","5","0.6","0.8","1","1"
"2189","","singlestim-multislider","27","311789","0.0-9.0-23.0","","23750","1479067590832","1","25","75","","","0","12","9","7","5","0.8","0.6","1","1"
"2795","","singlestim-multislider","28","314899","0.0-9.0-0.0","","23750","1479067590832","0","79","21","","","0","12","9","7","5","0.6","0.6","0.8","1"
"6799","","singlestim-multislider","29","322013","0.0-9.0-10.0","","23750","1479067590832","0","71","29","","","0","12","9","7","5","0.6","0.8","0.8","1"
"3250","","singlestim-multislider","30","325569","0.0-9.0-26.0","","23750","1479067590832","0","78","22","","","0","12","9","7","5","0.8","0.8","0.8","1"
"3121","","singlestim-multislider","31","329009","0.0-9.0-16.0","","23750","1479067590832","1","24","76","","","0","12","9","7","5","0.8","0.6","0.8","1"
"2752","","singlestim-multislider","32","332071","0.0-9.0-31.0","","23750","1479067590832","0","76","24","","","0","12","9","7","5","0.8","0.8","1","1"
"1801","","singlestim-multislider","33","334175","0.0-9.0-27.0","","23750","1479067590832","1","26","74","","","0","12","9","7","5","0.8","0.8","0.8","1"
"2034","","singlestim-multislider","34","336517","0.0-9.0-34.0","","23750","1479067590832","0","80","21","","","1","12","9","7","5","NA","NA","NA","1"
"7211","","singlestim-multislider","35","344034","0.0-9.0-33.0","","23750","1479067590832","1","14","86","","","1","12","9","7","5","NA","NA","NA","1"
"4828","","singlestim-multislider","36","349168","0.0-9.0-9.0","","23750","1479067590832","1","28","72","","","0","12","9","7","5","0.6","0.8","0.8","1"
"4019","","singlestim-multislider","37","353506","0.0-9.0-40.0","","23750","1479067590832","1","28","72","","","1","12","9","7","5","NA","NA","NA","1"
"3634","","singlestim-multislider","38","357448","0.0-9.0-29.0","","23750","1479067590832","0","68","32","","","0","12","9","7","5","0.8","0.8","1","1"
"2250","","singlestim-multislider","39","360008","0.0-9.0-8.0","","23750","1479067590832","1","33","67","","","0","12","9","7","5","0.6","0.8","0.8","1"
"3207","","singlestim-multislider","40","363519","0.0-9.0-21.0","","23750","1479067590832","0","81","19","","","0","12","9","7","5","0.8","0.6","1","1"
"6258","","singlestim-multislider","41","370084","0.0-9.0-32.0","","23750","1479067590832","1","28","72","","","1","12","9","7","5","NA","NA","NA","1"
"5339","","singlestim-multislider","42","375728","0.0-9.0-6.0","","23750","1479067590832","1","26","75","","","0","12","9","7","5","0.6","0.6","1","1"
"2928","","singlestim-multislider","43","378968","0.0-9.0-25.0","","23750","1479067590832","0","80","20","","","0","12","9","7","5","0.8","0.8","0.8","1"
