"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":52553}]","52554","instructions","0","52557","0.0-0.0","A11LSO6D7BMY99","1641409909146","","","",""
"[{""page_index"":0,""viewing_time"":14191},{""page_index"":1,""viewing_time"":54660}]","68851","instructions","1","121410","0.0-1.0","A11LSO6D7BMY99","1641409909146","","","",""
"[{""page_index"":0,""viewing_time"":16373}]","16374","instructions","2","137785","0.0-2.0","A11LSO6D7BMY99","1641409909146","","","",""
"","32964","singlestim-multichoice-slider","3","170758","0.0-3.0-0.0","A11LSO6D7BMY99","1641409909146","img/12.png","3","10","48"
"","16246","singlestim-multichoice-slider","4","187005","0.0-3.0-0.1","A11LSO6D7BMY99","1641409909146","img/04.png","1","10","42"
"","11860","singlestim-multichoice-slider","5","198868","0.0-3.0-0.2","A11LSO6D7BMY99","1641409909146","img/14.png","3","10","46"
"","8776","singlestim-multichoice-slider","6","207646","0.0-3.0-0.3","A11LSO6D7BMY99","1641409909146","img/18.png","3","10","56"
"","6162","singlestim-multichoice-slider","7","213810","0.0-3.0-0.4","A11LSO6D7BMY99","1641409909146","img/06.png","3","10","54"
"","9448","singlestim-multichoice-slider","8","223260","0.0-3.0-0.5","A11LSO6D7BMY99","1641409909146","img/16.png","2","10","47"
"","13324","singlestim-multichoice-slider","9","236586","0.0-3.0-0.6","A11LSO6D7BMY99","1641409909146","img/15.png","3","10","55"
"","6708","singlestim-multichoice-slider","10","243296","0.0-3.0-0.7","A11LSO6D7BMY99","1641409909146","img/13.png","3","10","58"
"","6238","singlestim-multichoice-slider","11","249536","0.0-3.0-0.8","A11LSO6D7BMY99","1641409909146","img/01.png","3","10","60"
"","9670","singlestim-multichoice-slider","12","259208","0.0-3.0-0.9","A11LSO6D7BMY99","1641409909146","img/09.png","3","10","68"
"","5518","singlestim-multichoice-slider","13","264729","0.0-3.0-0.10","A11LSO6D7BMY99","1641409909146","img/08.png","1","10","86"
"","5260","singlestim-multichoice-slider","14","269991","0.0-3.0-0.11","A11LSO6D7BMY99","1641409909146","img/03.png","3","10","62"
"","5651","singlestim-multichoice-slider","15","275644","0.0-3.0-0.12","A11LSO6D7BMY99","1641409909146","img/10.png","3","10","84"
"","5016","singlestim-multichoice-slider","16","280663","0.0-3.0-0.13","A11LSO6D7BMY99","1641409909146","img/02.png","3","10","89"
"","15318","singlestim-multichoice-slider","17","295985","0.0-3.0-0.14","A11LSO6D7BMY99","1641409909146","img/17.png","1","10","18"
"","7688","singlestim-multichoice-slider","18","303675","0.0-3.0-0.15","A11LSO6D7BMY99","1641409909146","img/11.png","2","10","23"
"","4586","singlestim-multichoice-slider","19","308263","0.0-3.0-0.16","A11LSO6D7BMY99","1641409909146","img/07.png","3","10","28"
"","6449","singlestim-multichoice-slider","20","314715","0.0-3.0-0.17","A11LSO6D7BMY99","1641409909146","img/05.png","3","10","30"
"[{""page_index"":0,""viewing_time"":4823}]","4824","instructions","21","319539","0.0-4.0","A11LSO6D7BMY99","1641409909146","","","",""
