"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":12435}]","12435","instructions","0","12437","0.0-0.0","A14I3K8UN3612X","1641417308436","","","",""
"[{""page_index"":0,""viewing_time"":1543},{""page_index"":1,""viewing_time"":14312}]","15855","instructions","1","28292","0.0-1.0","A14I3K8UN3612X","1641417308436","","","",""
"[{""page_index"":0,""viewing_time"":22424}]","22424","instructions","2","50717","0.0-2.0","A14I3K8UN3612X","1641417308436","","","",""
"","26437","singlestim-multichoice-slider","3","77156","0.0-3.0-0.0","A14I3K8UN3612X","1641417308436","img/12.png","3","10","25"
"","20862","singlestim-multichoice-slider","4","98020","0.0-3.0-0.1","A14I3K8UN3612X","1641417308436","img/03.png","1","10","16"
"","6094","singlestim-multichoice-slider","5","104116","0.0-3.0-0.2","A14I3K8UN3612X","1641417308436","img/18.png","1","10","78"
"","9046","singlestim-multichoice-slider","6","113164","0.0-3.0-0.3","A14I3K8UN3612X","1641417308436","img/07.png","1","10","25"
"","9407","singlestim-multichoice-slider","7","122573","0.0-3.0-0.4","A14I3K8UN3612X","1641417308436","img/10.png","3","10","46"
"","7006","singlestim-multichoice-slider","8","129580","0.0-3.0-0.5","A14I3K8UN3612X","1641417308436","img/01.png","2","10","26"
"","6447","singlestim-multichoice-slider","9","136029","0.0-3.0-0.6","A14I3K8UN3612X","1641417308436","img/14.png","2","10","28"
"","10814","singlestim-multichoice-slider","10","146845","0.0-3.0-0.7","A14I3K8UN3612X","1641417308436","img/09.png","3","10","23"
"","5758","singlestim-multichoice-slider","11","152605","0.0-3.0-0.8","A14I3K8UN3612X","1641417308436","img/02.png","3","10","59"
"","13981","singlestim-multichoice-slider","12","166589","0.0-3.0-0.9","A14I3K8UN3612X","1641417308436","img/06.png","2","10","7"
"","6925","singlestim-multichoice-slider","13","173517","0.0-3.0-0.10","A14I3K8UN3612X","1641417308436","img/16.png","1","10","50"
"","7716","singlestim-multichoice-slider","14","181236","0.0-3.0-0.11","A14I3K8UN3612X","1641417308436","img/13.png","2","10","26"
"","13589","singlestim-multichoice-slider","15","194829","0.0-3.0-0.12","A14I3K8UN3612X","1641417308436","img/11.png","2","10","10"
"","8981","singlestim-multichoice-slider","16","203812","0.0-3.0-0.13","A14I3K8UN3612X","1641417308436","img/17.png","2","10","10"
"","6326","singlestim-multichoice-slider","17","210140","0.0-3.0-0.14","A14I3K8UN3612X","1641417308436","img/04.png","1","10","49"
"","12645","singlestim-multichoice-slider","18","222788","0.0-3.0-0.15","A14I3K8UN3612X","1641417308436","img/15.png","1","10","24"
"","12293","singlestim-multichoice-slider","19","235084","0.0-3.0-0.16","A14I3K8UN3612X","1641417308436","img/05.png","2","10","18"
"","6885","singlestim-multichoice-slider","20","241972","0.0-3.0-0.17","A14I3K8UN3612X","1641417308436","img/08.png","1","10","40"
"[{""page_index"":0,""viewing_time"":4143}]","4144","instructions","21","246116","0.0-4.0","A14I3K8UN3612X","1641417308436","","","",""
