"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":3099}]","3099","instructions","0","3105","0.0-0.0","A1HUQZB8CIFXQE","1641406132572","","","",""
"[{""page_index"":0,""viewing_time"":3863},{""page_index"":1,""viewing_time"":1813}]","5677","instructions","1","8782","0.0-1.0","A1HUQZB8CIFXQE","1641406132572","","","",""
"[{""page_index"":0,""viewing_time"":1529}]","1529","instructions","2","10312","0.0-2.0","A1HUQZB8CIFXQE","1641406132572","","","",""
"","4631","singlestim-multichoice-slider","3","14948","0.0-3.0-0.0","A1HUQZB8CIFXQE","1641406132572","img/10.png","1","10","96"
"","3667","singlestim-multichoice-slider","4","18619","0.0-3.0-0.1","A1HUQZB8CIFXQE","1641406132572","img/17.png","1","10","82"
"","4514","singlestim-multichoice-slider","5","23134","0.0-3.0-0.2","A1HUQZB8CIFXQE","1641406132572","img/09.png","2","10","78"
"","84777","singlestim-multichoice-slider","6","107899","0.0-3.0-0.3","A1HUQZB8CIFXQE","1641406132572","img/01.png","3","10","85"
"","23722","singlestim-multichoice-slider","7","131623","0.0-3.0-0.4","A1HUQZB8CIFXQE","1641406132572","img/07.png","2","10","55"
"","19746","singlestim-multichoice-slider","8","151385","0.0-3.0-0.5","A1HUQZB8CIFXQE","1641406132572","img/04.png","2","10","63"
"","58617","singlestim-multichoice-slider","9","210004","0.0-3.0-0.6","A1HUQZB8CIFXQE","1641406132572","img/06.png","3","10","74"
"","37119","singlestim-multichoice-slider","10","247125","0.0-3.0-0.7","A1HUQZB8CIFXQE","1641406132572","img/11.png","2","10","65"
"","11956","singlestim-multichoice-slider","11","259083","0.0-3.0-0.8","A1HUQZB8CIFXQE","1641406132572","img/03.png","2","10","48"
"","23035","singlestim-multichoice-slider","12","282120","0.0-3.0-0.9","A1HUQZB8CIFXQE","1641406132572","img/13.png","3","10","69"
"","8115","singlestim-multichoice-slider","13","290243","0.0-3.0-0.10","A1HUQZB8CIFXQE","1641406132572","img/14.png","3","10","66"
"","51850","singlestim-multichoice-slider","14","342097","0.0-3.0-0.11","A1HUQZB8CIFXQE","1641406132572","img/12.png","2","10","61"
"","6193","singlestim-multichoice-slider","15","348301","0.0-3.0-0.12","A1HUQZB8CIFXQE","1641406132572","img/16.png","2","10","79"
"","6282","singlestim-multichoice-slider","16","354587","0.0-3.0-0.13","A1HUQZB8CIFXQE","1641406132572","img/18.png","2","10","35"
"","4802","singlestim-multichoice-slider","17","359393","0.0-3.0-0.14","A1HUQZB8CIFXQE","1641406132572","img/08.png","3","10","85"
"","5870","singlestim-multichoice-slider","18","365265","0.0-3.0-0.15","A1HUQZB8CIFXQE","1641406132572","img/05.png","2","10","47"
"","7947","singlestim-multichoice-slider","19","373216","0.0-3.0-0.16","A1HUQZB8CIFXQE","1641406132572","img/15.png","3","10","54"
"","8363","singlestim-multichoice-slider","20","381582","0.0-3.0-0.17","A1HUQZB8CIFXQE","1641406132572","img/02.png","3","10","85"
"[{""page_index"":0,""viewing_time"":11390}]","11390","instructions","21","392973","0.0-4.0","A1HUQZB8CIFXQE","1641406132572","","","",""
