"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2746}]","2747","instructions","0","2749","0.0-0.0","A1OBB10GJIROG7","1641410113280","","","",""
"[{""page_index"":0,""viewing_time"":6483},{""page_index"":1,""viewing_time"":2130}]","8614","instructions","1","11363","0.0-1.0","A1OBB10GJIROG7","1641410113280","","","",""
"[{""page_index"":0,""viewing_time"":2191}]","2192","instructions","2","13556","0.0-2.0","A1OBB10GJIROG7","1641410113280","","","",""
"","14014","singlestim-multichoice-slider","3","27576","0.0-3.0-0.0","A1OBB10GJIROG7","1641410113280","img/01.png","2","10","96"
"","16227","singlestim-multichoice-slider","4","43805","0.0-3.0-0.1","A1OBB10GJIROG7","1641410113280","img/17.png","2","10","91"
"","11485","singlestim-multichoice-slider","5","55293","0.0-3.0-0.2","A1OBB10GJIROG7","1641410113280","img/05.png","1","10","94"
"","6995","singlestim-multichoice-slider","6","62293","0.0-3.0-0.3","A1OBB10GJIROG7","1641410113280","img/04.png","1","10","88"
"","9590","singlestim-multichoice-slider","7","71885","0.0-3.0-0.4","A1OBB10GJIROG7","1641410113280","img/13.png","2","10","83"
"","6358","singlestim-multichoice-slider","8","78246","0.0-3.0-0.5","A1OBB10GJIROG7","1641410113280","img/03.png","1","10","90"
"","7548","singlestim-multichoice-slider","9","85797","0.0-3.0-0.6","A1OBB10GJIROG7","1641410113280","img/08.png","1","10","86"
"","7937","singlestim-multichoice-slider","10","93737","0.0-3.0-0.7","A1OBB10GJIROG7","1641410113280","img/15.png","1","10","87"
"","6211","singlestim-multichoice-slider","11","99949","0.0-3.0-0.8","A1OBB10GJIROG7","1641410113280","img/02.png","2","10","91"
"","5262","singlestim-multichoice-slider","12","105213","0.0-3.0-0.9","A1OBB10GJIROG7","1641410113280","img/09.png","2","10","90"
"","5941","singlestim-multichoice-slider","13","111157","0.0-3.0-0.10","A1OBB10GJIROG7","1641410113280","img/16.png","1","10","91"
"","4711","singlestim-multichoice-slider","14","115870","0.0-3.0-0.11","A1OBB10GJIROG7","1641410113280","img/14.png","2","10","95"
"","7420","singlestim-multichoice-slider","15","123292","0.0-3.0-0.12","A1OBB10GJIROG7","1641410113280","img/12.png","3","10","83"
"","6606","singlestim-multichoice-slider","16","129900","0.0-3.0-0.13","A1OBB10GJIROG7","1641410113280","img/10.png","3","10","94"
"","8396","singlestim-multichoice-slider","17","138300","0.0-3.0-0.14","A1OBB10GJIROG7","1641410113280","img/11.png","1","10","89"
"","7176","singlestim-multichoice-slider","18","145480","0.0-3.0-0.15","A1OBB10GJIROG7","1641410113280","img/18.png","3","10","86"
"","5083","singlestim-multichoice-slider","19","150565","0.0-3.0-0.16","A1OBB10GJIROG7","1641410113280","img/07.png","3","10","93"
"","4822","singlestim-multichoice-slider","20","155389","0.0-3.0-0.17","A1OBB10GJIROG7","1641410113280","img/06.png","3","10","86"
"[{""page_index"":0,""viewing_time"":2554}]","2555","instructions","21","157945","0.0-4.0","A1OBB10GJIROG7","1641410113280","","","",""
