"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":4043}]","4043","instructions","0","4044","0.0-0.0","A1ODA3Q5H6HTDQ","1641415063688","","","",""
"[{""page_index"":0,""viewing_time"":1913},{""page_index"":1,""viewing_time"":39211}]","41125","instructions","1","45169","0.0-1.0","A1ODA3Q5H6HTDQ","1641415063688","","","",""
"[{""page_index"":0,""viewing_time"":23235}]","23235","instructions","2","68405","0.0-2.0","A1ODA3Q5H6HTDQ","1641415063688","","","",""
"","29030","singlestim-multichoice-slider","3","97438","0.0-3.0-0.0","A1ODA3Q5H6HTDQ","1641415063688","img/05.png","1","10","42"
"","10842","singlestim-multichoice-slider","4","108282","0.0-3.0-0.1","A1ODA3Q5H6HTDQ","1641415063688","img/15.png","1","10","67"
"","9485","singlestim-multichoice-slider","5","117768","0.0-3.0-0.2","A1ODA3Q5H6HTDQ","1641415063688","img/11.png","2","10","51"
"","5497","singlestim-multichoice-slider","6","123267","0.0-3.0-0.3","A1ODA3Q5H6HTDQ","1641415063688","img/16.png","1","10","78"
"","5064","singlestim-multichoice-slider","7","128331","0.0-3.0-0.4","A1ODA3Q5H6HTDQ","1641415063688","img/04.png","1","10","66"
"","5580","singlestim-multichoice-slider","8","133913","0.0-3.0-0.5","A1ODA3Q5H6HTDQ","1641415063688","img/07.png","3","10","33"
"","6106","singlestim-multichoice-slider","9","140021","0.0-3.0-0.6","A1ODA3Q5H6HTDQ","1641415063688","img/18.png","1","10","78"
"","4489","singlestim-multichoice-slider","10","144511","0.0-3.0-0.7","A1ODA3Q5H6HTDQ","1641415063688","img/01.png","3","10","42"
"","6415","singlestim-multichoice-slider","11","150928","0.0-3.0-0.8","A1ODA3Q5H6HTDQ","1641415063688","img/06.png","2","10","30"
"","3089","singlestim-multichoice-slider","12","154018","0.0-3.0-0.9","A1ODA3Q5H6HTDQ","1641415063688","img/10.png","3","10","67"
"","4957","singlestim-multichoice-slider","13","158977","0.0-3.0-0.10","A1ODA3Q5H6HTDQ","1641415063688","img/09.png","2","10","34"
"","3385","singlestim-multichoice-slider","14","162363","0.0-3.0-0.11","A1ODA3Q5H6HTDQ","1641415063688","img/03.png","1","10","65"
"","2499","singlestim-multichoice-slider","15","164864","0.0-3.0-0.12","A1ODA3Q5H6HTDQ","1641415063688","img/02.png","3","10","68"
"","2788","singlestim-multichoice-slider","16","167654","0.0-3.0-0.13","A1ODA3Q5H6HTDQ","1641415063688","img/12.png","3","10","68"
"","3039","singlestim-multichoice-slider","17","170694","0.0-3.0-0.14","A1ODA3Q5H6HTDQ","1641415063688","img/14.png","2","10","46"
"","2817","singlestim-multichoice-slider","18","173513","0.0-3.0-0.15","A1ODA3Q5H6HTDQ","1641415063688","img/13.png","2","10","60"
"","3319","singlestim-multichoice-slider","19","176833","0.0-3.0-0.16","A1ODA3Q5H6HTDQ","1641415063688","img/17.png","1","10","37"
"","5968","singlestim-multichoice-slider","20","182802","0.0-3.0-0.17","A1ODA3Q5H6HTDQ","1641415063688","img/08.png","1","10","77"
"[{""page_index"":0,""viewing_time"":3687}]","3687","instructions","21","186490","0.0-4.0","A1ODA3Q5H6HTDQ","1641415063688","","","",""
