"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2433}]","2433","instructions","0","2435","0.0-0.0","A1P2MHOGYGK258","1641409644906","","","",""
"[{""page_index"":0,""viewing_time"":8318},{""page_index"":1,""viewing_time"":7178}]","15496","instructions","1","17931","0.0-1.0","A1P2MHOGYGK258","1641409644906","","","",""
"[{""page_index"":0,""viewing_time"":4989}]","4990","instructions","2","22922","0.0-2.0","A1P2MHOGYGK258","1641409644906","","","",""
"","19438","singlestim-multichoice-slider","3","42364","0.0-3.0-0.0","A1P2MHOGYGK258","1641409644906","img/06.png","2","10","65"
"","5268","singlestim-multichoice-slider","4","47633","0.0-3.0-0.1","A1P2MHOGYGK258","1641409644906","img/07.png","3","10","73"
"","6184","singlestim-multichoice-slider","5","53819","0.0-3.0-0.2","A1P2MHOGYGK258","1641409644906","img/03.png","3","10","78"
"","6631","singlestim-multichoice-slider","6","60451","0.0-3.0-0.3","A1P2MHOGYGK258","1641409644906","img/04.png","1","10","60"
"","6637","singlestim-multichoice-slider","7","67090","0.0-3.0-0.4","A1P2MHOGYGK258","1641409644906","img/01.png","2","10","92"
"","4943","singlestim-multichoice-slider","8","72034","0.0-3.0-0.5","A1P2MHOGYGK258","1641409644906","img/02.png","3","10","51"
"","6150","singlestim-multichoice-slider","9","78186","0.0-3.0-0.6","A1P2MHOGYGK258","1641409644906","img/14.png","3","10","66"
"","7119","singlestim-multichoice-slider","10","85306","0.0-3.0-0.7","A1P2MHOGYGK258","1641409644906","img/13.png","3","10","46"
"","15875","singlestim-multichoice-slider","11","101185","0.0-3.0-0.8","A1P2MHOGYGK258","1641409644906","img/11.png","2","10","77"
"","3590","singlestim-multichoice-slider","12","104778","0.0-3.0-0.9","A1P2MHOGYGK258","1641409644906","img/17.png","3","10","38"
"","4428","singlestim-multichoice-slider","13","109209","0.0-3.0-0.10","A1P2MHOGYGK258","1641409644906","img/12.png","1","10","90"
"","4399","singlestim-multichoice-slider","14","113610","0.0-3.0-0.11","A1P2MHOGYGK258","1641409644906","img/16.png","1","10","44"
"","4276","singlestim-multichoice-slider","15","117890","0.0-3.0-0.12","A1P2MHOGYGK258","1641409644906","img/05.png","2","10","56"
"","15781","singlestim-multichoice-slider","16","133674","0.0-3.0-0.13","A1P2MHOGYGK258","1641409644906","img/10.png","3","10","91"
"","10061","singlestim-multichoice-slider","17","143738","0.0-3.0-0.14","A1P2MHOGYGK258","1641409644906","img/15.png","2","10","50"
"","5287","singlestim-multichoice-slider","18","149026","0.0-3.0-0.15","A1P2MHOGYGK258","1641409644906","img/08.png","3","10","79"
"","10966","singlestim-multichoice-slider","19","159994","0.0-3.0-0.16","A1P2MHOGYGK258","1641409644906","img/09.png","3","10","59"
"","3414","singlestim-multichoice-slider","20","163410","0.0-3.0-0.17","A1P2MHOGYGK258","1641409644906","img/18.png","1","10","73"
"[{""page_index"":0,""viewing_time"":5935}]","5935","instructions","21","169346","0.0-4.0","A1P2MHOGYGK258","1641409644906","","","",""
