"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":1843}]","1844","instructions","0","1847","0.0-0.0","A20LKUNLGTTANZ","1641410333846","","","",""
"[{""page_index"":0,""viewing_time"":2304},{""page_index"":1,""viewing_time"":1340}]","3644","instructions","1","5493","0.0-1.0","A20LKUNLGTTANZ","1641410333846","","","",""
"[{""page_index"":0,""viewing_time"":1390}]","1390","instructions","2","6883","0.0-2.0","A20LKUNLGTTANZ","1641410333846","","","",""
"","29336","singlestim-multichoice-slider","3","36224","0.0-3.0-0.0","A20LKUNLGTTANZ","1641410333846","img/10.png","3","10","51"
"","14968","singlestim-multichoice-slider","4","51196","0.0-3.0-0.1","A20LKUNLGTTANZ","1641410333846","img/15.png","3","10","66"
"","5396","singlestim-multichoice-slider","5","56596","0.0-3.0-0.2","A20LKUNLGTTANZ","1641410333846","img/04.png","2","10","66"
"","6268","singlestim-multichoice-slider","6","62867","0.0-3.0-0.3","A20LKUNLGTTANZ","1641410333846","img/12.png","1","10","86"
"","5207","singlestim-multichoice-slider","7","68078","0.0-3.0-0.4","A20LKUNLGTTANZ","1641410333846","img/17.png","1","10","53"
"","5234","singlestim-multichoice-slider","8","73315","0.0-3.0-0.5","A20LKUNLGTTANZ","1641410333846","img/05.png","1","10","84"
"","46372","singlestim-multichoice-slider","9","119693","0.0-3.0-0.6","A20LKUNLGTTANZ","1641410333846","img/11.png","1","10","73"
"","3611","singlestim-multichoice-slider","10","123309","0.0-3.0-0.7","A20LKUNLGTTANZ","1641410333846","img/14.png","2","10","34"
"","3388","singlestim-multichoice-slider","11","126703","0.0-3.0-0.8","A20LKUNLGTTANZ","1641410333846","img/09.png","1","10","86"
"","2777","singlestim-multichoice-slider","12","129485","0.0-3.0-0.9","A20LKUNLGTTANZ","1641410333846","img/03.png","2","10","47"
"","2430","singlestim-multichoice-slider","13","131918","0.0-3.0-0.10","A20LKUNLGTTANZ","1641410333846","img/18.png","3","10","74"
"","2932","singlestim-multichoice-slider","14","134852","0.0-3.0-0.11","A20LKUNLGTTANZ","1641410333846","img/06.png","2","10","41"
"","2231","singlestim-multichoice-slider","15","137086","0.0-3.0-0.12","A20LKUNLGTTANZ","1641410333846","img/07.png","3","10","73"
"","2734","singlestim-multichoice-slider","16","139823","0.0-3.0-0.13","A20LKUNLGTTANZ","1641410333846","img/16.png","2","10","45"
"","2258","singlestim-multichoice-slider","17","142085","0.0-3.0-0.14","A20LKUNLGTTANZ","1641410333846","img/08.png","1","10","81"
"","2781","singlestim-multichoice-slider","18","144869","0.0-3.0-0.15","A20LKUNLGTTANZ","1641410333846","img/01.png","3","10","29"
"","3020","singlestim-multichoice-slider","19","147893","0.0-3.0-0.16","A20LKUNLGTTANZ","1641410333846","img/02.png","2","10","88"
"","3392","singlestim-multichoice-slider","20","151289","0.0-3.0-0.17","A20LKUNLGTTANZ","1641410333846","img/13.png","3","10","35"
"[{""page_index"":0,""viewing_time"":3724}]","3724","instructions","21","155013","0.0-4.0","A20LKUNLGTTANZ","1641410333846","","","",""
