"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":57112}]","57114","instructions","0","57118","0.0-0.0","A22HIX1M4QXZBB","1641409798798","","","",""
"[{""page_index"":0,""viewing_time"":3026},{""page_index"":1,""viewing_time"":6139}]","9166","instructions","1","66285","0.0-1.0","A22HIX1M4QXZBB","1641409798798","","","",""
"[{""page_index"":0,""viewing_time"":12638}]","12638","instructions","2","78925","0.0-2.0","A22HIX1M4QXZBB","1641409798798","","","",""
"","16251","singlestim-multichoice-slider","3","95188","0.0-3.0-0.0","A22HIX1M4QXZBB","1641409798798","img/16.png","1","10","59"
"","18336","singlestim-multichoice-slider","4","113530","0.0-3.0-0.1","A22HIX1M4QXZBB","1641409798798","img/12.png","2","10","28"
"","12386","singlestim-multichoice-slider","5","125921","0.0-3.0-0.2","A22HIX1M4QXZBB","1641409798798","img/01.png","3","10","19"
"","9163","singlestim-multichoice-slider","6","135090","0.0-3.0-0.3","A22HIX1M4QXZBB","1641409798798","img/03.png","3","10","52"
"","10474","singlestim-multichoice-slider","7","145578","0.0-3.0-0.4","A22HIX1M4QXZBB","1641409798798","img/14.png","2","10","68"
"","7300","singlestim-multichoice-slider","8","152882","0.0-3.0-0.5","A22HIX1M4QXZBB","1641409798798","img/10.png","3","10","65"
"","6659","singlestim-multichoice-slider","9","159547","0.0-3.0-0.6","A22HIX1M4QXZBB","1641409798798","img/08.png","1","10","50"
"","20518","singlestim-multichoice-slider","10","180070","0.0-3.0-0.7","A22HIX1M4QXZBB","1641409798798","img/05.png","1","10","24"
"","17996","singlestim-multichoice-slider","11","198070","0.0-3.0-0.8","A22HIX1M4QXZBB","1641409798798","img/18.png","1","10","40"
"","12935","singlestim-multichoice-slider","12","211010","0.0-3.0-0.9","A22HIX1M4QXZBB","1641409798798","img/07.png","1","10","76"
"","13533","singlestim-multichoice-slider","13","224551","0.0-3.0-0.10","A22HIX1M4QXZBB","1641409798798","img/13.png","1","10","47"
"","12650","singlestim-multichoice-slider","14","237214","0.0-3.0-0.11","A22HIX1M4QXZBB","1641409798798","img/02.png","3","10","57"
"","10019","singlestim-multichoice-slider","15","247241","0.0-3.0-0.12","A22HIX1M4QXZBB","1641409798798","img/15.png","2","10","39"
"","28475","singlestim-multichoice-slider","16","275727","0.0-3.0-0.13","A22HIX1M4QXZBB","1641409798798","img/11.png","2","10","31"
"","6600","singlestim-multichoice-slider","17","282342","0.0-3.0-0.14","A22HIX1M4QXZBB","1641409798798","img/04.png","1","10","75"
"","12689","singlestim-multichoice-slider","18","295046","0.0-3.0-0.15","A22HIX1M4QXZBB","1641409798798","img/06.png","3","10","42"
"","9884","singlestim-multichoice-slider","19","304966","0.0-3.0-0.16","A22HIX1M4QXZBB","1641409798798","img/17.png","2","10","49"
"","8595","singlestim-multichoice-slider","20","313566","0.0-3.0-0.17","A22HIX1M4QXZBB","1641409798798","img/09.png","3","10","60"
"[{""page_index"":0,""viewing_time"":4478}]","4479","instructions","21","318046","0.0-4.0","A22HIX1M4QXZBB","1641409798798","","","",""
