"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":1776}]","1776","instructions","0","1776","0.0-0.0","A2I6ZALE49CVSC","1641409921276","","","",""
"[{""page_index"":0,""viewing_time"":3244},{""page_index"":1,""viewing_time"":8479}]","11723","instructions","1","13500","0.0-1.0","A2I6ZALE49CVSC","1641409921276","","","",""
"[{""page_index"":0,""viewing_time"":18766}]","18766","instructions","2","32267","0.0-2.0","A2I6ZALE49CVSC","1641409921276","","","",""
"","37613","singlestim-multichoice-slider","3","69882","0.0-3.0-0.0","A2I6ZALE49CVSC","1641409921276","img/12.png","3","10","56"
"","6277","singlestim-multichoice-slider","4","76160","0.0-3.0-0.1","A2I6ZALE49CVSC","1641409921276","img/05.png","1","10","77"
"","4376","singlestim-multichoice-slider","5","80537","0.0-3.0-0.2","A2I6ZALE49CVSC","1641409921276","img/13.png","2","10","71"
"","6469","singlestim-multichoice-slider","6","87008","0.0-3.0-0.3","A2I6ZALE49CVSC","1641409921276","img/03.png","3","10","98"
"","4663","singlestim-multichoice-slider","7","91673","0.0-3.0-0.4","A2I6ZALE49CVSC","1641409921276","img/17.png","1","10","64"
"","7901","singlestim-multichoice-slider","8","99575","0.0-3.0-0.5","A2I6ZALE49CVSC","1641409921276","img/04.png","3","10","74"
"","3396","singlestim-multichoice-slider","9","102972","0.0-3.0-0.6","A2I6ZALE49CVSC","1641409921276","img/10.png","3","10","83"
"","9448","singlestim-multichoice-slider","10","112421","0.0-3.0-0.7","A2I6ZALE49CVSC","1641409921276","img/06.png","3","10","76"
"","3671","singlestim-multichoice-slider","11","116094","0.0-3.0-0.8","A2I6ZALE49CVSC","1641409921276","img/11.png","1","10","61"
"","3513","singlestim-multichoice-slider","12","119610","0.0-3.0-0.9","A2I6ZALE49CVSC","1641409921276","img/07.png","3","10","71"
"","3432","singlestim-multichoice-slider","13","123043","0.0-3.0-0.10","A2I6ZALE49CVSC","1641409921276","img/01.png","3","10","46"
"","2820","singlestim-multichoice-slider","14","125865","0.0-3.0-0.11","A2I6ZALE49CVSC","1641409921276","img/02.png","3","10","46"
"","10070","singlestim-multichoice-slider","15","135935","0.0-3.0-0.12","A2I6ZALE49CVSC","1641409921276","img/18.png","3","10","64"
"","7298","singlestim-multichoice-slider","16","143235","0.0-3.0-0.13","A2I6ZALE49CVSC","1641409921276","img/08.png","1","10","64"
"","3165","singlestim-multichoice-slider","17","146402","0.0-3.0-0.14","A2I6ZALE49CVSC","1641409921276","img/15.png","3","10","68"
"","3367","singlestim-multichoice-slider","18","149771","0.0-3.0-0.15","A2I6ZALE49CVSC","1641409921276","img/14.png","3","10","68"
"","3555","singlestim-multichoice-slider","19","153327","0.0-3.0-0.16","A2I6ZALE49CVSC","1641409921276","img/09.png","3","10","70"
"","3686","singlestim-multichoice-slider","20","157014","0.0-3.0-0.17","A2I6ZALE49CVSC","1641409921276","img/16.png","3","10","78"
"[{""page_index"":0,""viewing_time"":4237}]","4237","instructions","21","161251","0.0-4.0","A2I6ZALE49CVSC","1641409921276","","","",""
