"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":1941}]","1942","instructions","0","1943","0.0-0.0","A2YC6PEMIRSOAA","1641413430558","","","",""
"[{""page_index"":0,""viewing_time"":13101},{""page_index"":1,""viewing_time"":6754}]","19855","instructions","1","21799","0.0-1.0","A2YC6PEMIRSOAA","1641413430558","","","",""
"[{""page_index"":0,""viewing_time"":128910}]","128911","instructions","2","151097","0.0-2.0","A2YC6PEMIRSOAA","1641413430558","","","",""
"","27704","singlestim-multichoice-slider","3","178807","0.0-3.0-0.0","A2YC6PEMIRSOAA","1641413430558","img/15.png","1","10","66"
"","20336","singlestim-multichoice-slider","4","199145","0.0-3.0-0.1","A2YC6PEMIRSOAA","1641413430558","img/16.png","1","10","68"
"","76548","singlestim-multichoice-slider","5","275998","0.0-3.0-0.2","A2YC6PEMIRSOAA","1641413430558","img/07.png","2","10","68"
"","16672","singlestim-multichoice-slider","6","292673","0.0-3.0-0.3","A2YC6PEMIRSOAA","1641413430558","img/12.png","3","10","19"
"","7372","singlestim-multichoice-slider","7","300049","0.0-3.0-0.4","A2YC6PEMIRSOAA","1641413430558","img/13.png","2","10","87"
"","88682","singlestim-multichoice-slider","8","388964","0.0-3.0-0.5","A2YC6PEMIRSOAA","1641413430558","img/02.png","1","10","60"
"","16405","singlestim-multichoice-slider","9","405376","0.0-3.0-0.6","A2YC6PEMIRSOAA","1641413430558","img/08.png","3","10","78"
"","10907","singlestim-multichoice-slider","10","416285","0.0-3.0-0.7","A2YC6PEMIRSOAA","1641413430558","img/17.png","2","10","84"
"","8568","singlestim-multichoice-slider","11","425006","0.0-3.0-0.8","A2YC6PEMIRSOAA","1641413430558","img/05.png","1","10","49"
"","5675","singlestim-multichoice-slider","12","430685","0.0-3.0-0.9","A2YC6PEMIRSOAA","1641413430558","img/10.png","3","10","22"
"","9211","singlestim-multichoice-slider","13","439901","0.0-3.0-0.10","A2YC6PEMIRSOAA","1641413430558","img/06.png","2","10","41"
"","5016","singlestim-multichoice-slider","14","444923","0.0-3.0-0.11","A2YC6PEMIRSOAA","1641413430558","img/01.png","2","10","10"
"","6018","singlestim-multichoice-slider","15","450947","0.0-3.0-0.12","A2YC6PEMIRSOAA","1641413430558","img/04.png","3","10","20"
"","4259","singlestim-multichoice-slider","16","455208","0.0-3.0-0.13","A2YC6PEMIRSOAA","1641413430558","img/14.png","3","10","30"
"","10805","singlestim-multichoice-slider","17","466016","0.0-3.0-0.14","A2YC6PEMIRSOAA","1641413430558","img/03.png","1","10","51"
"","5315","singlestim-multichoice-slider","18","471334","0.0-3.0-0.15","A2YC6PEMIRSOAA","1641413430558","img/09.png","3","10","77"
"","8008","singlestim-multichoice-slider","19","479346","0.0-3.0-0.16","A2YC6PEMIRSOAA","1641413430558","img/11.png","2","10","41"
"","5137","singlestim-multichoice-slider","20","484636","0.0-3.0-0.17","A2YC6PEMIRSOAA","1641413430558","img/18.png","3","10","25"
"[{""page_index"":0,""viewing_time"":5663}]","5664","instructions","21","490301","0.0-4.0","A2YC6PEMIRSOAA","1641413430558","","","",""
