"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":14488}]","14489","instructions","0","14491","0.0-0.0","A3B3UZL7XRW381","1641404822600","","","",""
"[{""page_index"":0,""viewing_time"":6260},{""page_index"":1,""viewing_time"":2036}]","8296","instructions","1","22788","0.0-1.0","A3B3UZL7XRW381","1641404822600","","","",""
"[{""page_index"":0,""viewing_time"":5914}]","5915","instructions","2","28703","0.0-2.0","A3B3UZL7XRW381","1641404822600","","","",""
"","34048","singlestim-multichoice-slider","3","62757","0.0-3.0-0.0","A3B3UZL7XRW381","1641404822600","img/12.png","1","10","100"
"","15273","singlestim-multichoice-slider","4","78033","0.0-3.0-0.1","A3B3UZL7XRW381","1641404822600","img/02.png","1","10","100"
"","10946","singlestim-multichoice-slider","5","88983","0.0-3.0-0.2","A3B3UZL7XRW381","1641404822600","img/07.png","2","10","100"
"","11981","singlestim-multichoice-slider","6","100966","0.0-3.0-0.3","A3B3UZL7XRW381","1641404822600","img/13.png","1","10","100"
"","15724","singlestim-multichoice-slider","7","116692","0.0-3.0-0.4","A3B3UZL7XRW381","1641404822600","img/17.png","1","10","100"
"","18643","singlestim-multichoice-slider","8","135338","0.0-3.0-0.5","A3B3UZL7XRW381","1641404822600","img/11.png","2","10","100"
"","10796","singlestim-multichoice-slider","9","146136","0.0-3.0-0.6","A3B3UZL7XRW381","1641404822600","img/08.png","2","10","100"
"","9005","singlestim-multichoice-slider","10","155144","0.0-3.0-0.7","A3B3UZL7XRW381","1641404822600","img/04.png","2","10","100"
"","9485","singlestim-multichoice-slider","11","164631","0.0-3.0-0.8","A3B3UZL7XRW381","1641404822600","img/18.png","1","10","100"
"","12916","singlestim-multichoice-slider","12","177549","0.0-3.0-0.9","A3B3UZL7XRW381","1641404822600","img/01.png","1","10","100"
"","8101","singlestim-multichoice-slider","13","185652","0.0-3.0-0.10","A3B3UZL7XRW381","1641404822600","img/10.png","1","10","100"
"","7988","singlestim-multichoice-slider","14","193643","0.0-3.0-0.11","A3B3UZL7XRW381","1641404822600","img/03.png","2","10","100"
"","7948","singlestim-multichoice-slider","15","201593","0.0-3.0-0.12","A3B3UZL7XRW381","1641404822600","img/09.png","1","10","100"
"","13027","singlestim-multichoice-slider","16","214624","0.0-3.0-0.13","A3B3UZL7XRW381","1641404822600","img/05.png","1","10","100"
"","18819","singlestim-multichoice-slider","17","233446","0.0-3.0-0.14","A3B3UZL7XRW381","1641404822600","img/06.png","1","10","100"
"","17532","singlestim-multichoice-slider","18","250980","0.0-3.0-0.15","A3B3UZL7XRW381","1641404822600","img/15.png","2","10","100"
"","11132","singlestim-multichoice-slider","19","262114","0.0-3.0-0.16","A3B3UZL7XRW381","1641404822600","img/14.png","1","10","100"
"","84342","singlestim-multichoice-slider","20","346460","0.0-3.0-0.17","A3B3UZL7XRW381","1641404822600","img/16.png","2","10","30"
"[{""page_index"":0,""viewing_time"":39422}]","39422","instructions","21","385883","0.0-4.0","A3B3UZL7XRW381","1641404822600","","","",""
