"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":7063}]","7066","instructions","0","7071","0.0-0.0","A3G4I40URREO6A","1641409655409","","","",""
"[{""page_index"":0,""viewing_time"":3781},{""page_index"":1,""viewing_time"":2263}]","6045","instructions","1","13118","0.0-1.0","A3G4I40URREO6A","1641409655409","","","",""
"[{""page_index"":0,""viewing_time"":1914}]","1915","instructions","2","15033","0.0-2.0","A3G4I40URREO6A","1641409655409","","","",""
"","15685","singlestim-multichoice-slider","3","30736","0.0-3.0-0.0","A3G4I40URREO6A","1641409655409","img/14.png","1","10","83"
"","4560","singlestim-multichoice-slider","4","35301","0.0-3.0-0.1","A3G4I40URREO6A","1641409655409","img/02.png","2","10","100"
"","6416","singlestim-multichoice-slider","5","41722","0.0-3.0-0.2","A3G4I40URREO6A","1641409655409","img/05.png","2","10","75"
"","12237","singlestim-multichoice-slider","6","53962","0.0-3.0-0.3","A3G4I40URREO6A","1641409655409","img/10.png","2","10","94"
"","8337","singlestim-multichoice-slider","7","62305","0.0-3.0-0.4","A3G4I40URREO6A","1641409655409","img/12.png","2","10","82"
"","17377","singlestim-multichoice-slider","8","79688","0.0-3.0-0.5","A3G4I40URREO6A","1641409655409","img/03.png","1","10","100"
"","5184","singlestim-multichoice-slider","9","84878","0.0-3.0-0.6","A3G4I40URREO6A","1641409655409","img/01.png","2","10","82"
"","7218","singlestim-multichoice-slider","10","92101","0.0-3.0-0.7","A3G4I40URREO6A","1641409655409","img/18.png","1","10","100"
"","5222","singlestim-multichoice-slider","11","97327","0.0-3.0-0.8","A3G4I40URREO6A","1641409655409","img/08.png","1","10","100"
"","4942","singlestim-multichoice-slider","12","102272","0.0-3.0-0.9","A3G4I40URREO6A","1641409655409","img/06.png","1","10","94"
"","5310","singlestim-multichoice-slider","13","107589","0.0-3.0-0.10","A3G4I40URREO6A","1641409655409","img/17.png","2","10","82"
"","5470","singlestim-multichoice-slider","14","113064","0.0-3.0-0.11","A3G4I40URREO6A","1641409655409","img/07.png","2","10","75"
"","4918","singlestim-multichoice-slider","15","117988","0.0-3.0-0.12","A3G4I40URREO6A","1641409655409","img/09.png","2","10","100"
"","12828","singlestim-multichoice-slider","16","130822","0.0-3.0-0.13","A3G4I40URREO6A","1641409655409","img/15.png","1","10","90"
"","5125","singlestim-multichoice-slider","17","135951","0.0-3.0-0.14","A3G4I40URREO6A","1641409655409","img/04.png","1","10","84"
"","15073","singlestim-multichoice-slider","18","151028","0.0-3.0-0.15","A3G4I40URREO6A","1641409655409","img/16.png","2","10","74"
"","5754","singlestim-multichoice-slider","19","156787","0.0-3.0-0.16","A3G4I40URREO6A","1641409655409","img/13.png","2","10","75"
"","5636","singlestim-multichoice-slider","20","162427","0.0-3.0-0.17","A3G4I40URREO6A","1641409655409","img/11.png","2","10","100"
"[{""page_index"":0,""viewing_time"":13175}]","13177","instructions","21","175605","0.0-4.0","A3G4I40URREO6A","1641409655409","","","",""
