"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":1684}]","1684","instructions","0","1687","0.0-0.0","A14FCJ9V19KSML","1641413990577","","","",""
"[{""page_index"":0,""viewing_time"":4150},{""page_index"":1,""viewing_time"":1337}]","5487","instructions","1","7174","0.0-1.0","A14FCJ9V19KSML","1641413990577","","","",""
"[{""page_index"":0,""viewing_time"":1391}]","1391","instructions","2","8566","0.0-2.0","A14FCJ9V19KSML","1641413990577","","","",""
"","4877","singlestim-multichoice-slider","3","13449","0.0-3.0-0.0","A14FCJ9V19KSML","1641413990577","img/09.png","2","10","91"
"","9372","singlestim-multichoice-slider","4","22823","0.0-3.0-0.1","A14FCJ9V19KSML","1641413990577","img/16.png","1","10","90"
"","5030","singlestim-multichoice-slider","5","27855","0.0-3.0-0.2","A14FCJ9V19KSML","1641413990577","img/18.png","2","10","91"
"","7670","singlestim-multichoice-slider","6","35526","0.0-3.0-0.3","A14FCJ9V19KSML","1641413990577","img/02.png","3","10","93"
"","6606","singlestim-multichoice-slider","7","42134","0.0-3.0-0.4","A14FCJ9V19KSML","1641413990577","img/10.png","3","10","83"
"","5248","singlestim-multichoice-slider","8","47383","0.0-3.0-0.5","A14FCJ9V19KSML","1641413990577","img/04.png","2","10","92"
"","6621","singlestim-multichoice-slider","9","54007","0.0-3.0-0.6","A14FCJ9V19KSML","1641413990577","img/14.png","2","10","91"
"","5373","singlestim-multichoice-slider","10","59382","0.0-3.0-0.7","A14FCJ9V19KSML","1641413990577","img/13.png","2","10","89"
"","6311","singlestim-multichoice-slider","11","65695","0.0-3.0-0.8","A14FCJ9V19KSML","1641413990577","img/08.png","1","10","90"
"","5312","singlestim-multichoice-slider","12","71008","0.0-3.0-0.9","A14FCJ9V19KSML","1641413990577","img/12.png","3","10","80"
"","5711","singlestim-multichoice-slider","13","76721","0.0-3.0-0.10","A14FCJ9V19KSML","1641413990577","img/01.png","2","10","88"
"","6483","singlestim-multichoice-slider","14","83207","0.0-3.0-0.11","A14FCJ9V19KSML","1641413990577","img/15.png","1","10","83"
"","31783","singlestim-multichoice-slider","15","114992","0.0-3.0-0.12","A14FCJ9V19KSML","1641413990577","img/17.png","3","10","84"
"","5823","singlestim-multichoice-slider","16","120817","0.0-3.0-0.13","A14FCJ9V19KSML","1641413990577","img/05.png","1","10","83"
"","4046","singlestim-multichoice-slider","17","124866","0.0-3.0-0.14","A14FCJ9V19KSML","1641413990577","img/06.png","2","10","85"
"","3652","singlestim-multichoice-slider","18","128520","0.0-3.0-0.15","A14FCJ9V19KSML","1641413990577","img/11.png","2","10","78"
"","4839","singlestim-multichoice-slider","19","133361","0.0-3.0-0.16","A14FCJ9V19KSML","1641413990577","img/03.png","3","10","82"
"","7703","singlestim-multichoice-slider","20","141065","0.0-3.0-0.17","A14FCJ9V19KSML","1641413990577","img/07.png","2","10","87"
"[{""page_index"":0,""viewing_time"":387016}]","387016","instructions","21","528081","0.0-4.0","A14FCJ9V19KSML","1641413990577","","","",""
