"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":8157}]","8159","instructions","0","8166","0.0-0.0","A1TLNLB9D87H6","1641410082111","","","",""
"[{""page_index"":0,""viewing_time"":4429},{""page_index"":1,""viewing_time"":35300}]","39731","instructions","1","47901","0.0-1.0","A1TLNLB9D87H6","1641410082111","","","",""
"[{""page_index"":0,""viewing_time"":48791}]","48792","instructions","2","96695","0.0-2.0","A1TLNLB9D87H6","1641410082111","","","",""
"","45233","singlestim-multichoice-slider","3","141950","0.0-3.0-0.0","A1TLNLB9D87H6","1641410082111","img/07.png","1","10","53"
"","96445","singlestim-multichoice-slider","4","238408","0.0-3.0-0.1","A1TLNLB9D87H6","1641410082111","img/05.png","2","10","0"
"","24582","singlestim-multichoice-slider","5","263003","0.0-3.0-0.2","A1TLNLB9D87H6","1641410082111","img/09.png","3","10","3"
"","28202","singlestim-multichoice-slider","6","291216","0.0-3.0-0.3","A1TLNLB9D87H6","1641410082111","img/17.png","3","10","0"
"","30522","singlestim-multichoice-slider","7","321758","0.0-3.0-0.4","A1TLNLB9D87H6","1641410082111","img/12.png","1","10","3"
"","8962","singlestim-multichoice-slider","8","330746","0.0-3.0-0.5","A1TLNLB9D87H6","1641410082111","img/14.png","2","10","50"
"","11570","singlestim-multichoice-slider","9","342323","0.0-3.0-0.6","A1TLNLB9D87H6","1641410082111","img/01.png","2","10","93"
"","19096","singlestim-multichoice-slider","10","361439","0.0-3.0-0.7","A1TLNLB9D87H6","1641410082111","img/06.png","2","10","3"
"","14105","singlestim-multichoice-slider","11","375563","0.0-3.0-0.8","A1TLNLB9D87H6","1641410082111","img/16.png","1","10","30"
"","7718","singlestim-multichoice-slider","12","383286","0.0-3.0-0.9","A1TLNLB9D87H6","1641410082111","img/02.png","3","10","91"
"","6690","singlestim-multichoice-slider","13","389982","0.0-3.0-0.10","A1TLNLB9D87H6","1641410082111","img/04.png","1","10","18"
"","19974","singlestim-multichoice-slider","14","409962","0.0-3.0-0.11","A1TLNLB9D87H6","1641410082111","img/03.png","3","10","5"
"","7844","singlestim-multichoice-slider","15","417816","0.0-3.0-0.12","A1TLNLB9D87H6","1641410082111","img/18.png","1","10","63"
"","15398","singlestim-multichoice-slider","16","433229","0.0-3.0-0.13","A1TLNLB9D87H6","1641410082111","img/10.png","2","10","6"
"","11754","singlestim-multichoice-slider","17","445019","0.0-3.0-0.14","A1TLNLB9D87H6","1641410082111","img/13.png","3","10","1"
"","6357","singlestim-multichoice-slider","18","451386","0.0-3.0-0.15","A1TLNLB9D87H6","1641410082111","img/08.png","1","10","91"
"","19989","singlestim-multichoice-slider","19","471395","0.0-3.0-0.16","A1TLNLB9D87H6","1641410082111","img/15.png","2","10","2"
"","48682","singlestim-multichoice-slider","20","520086","0.0-3.0-0.17","A1TLNLB9D87H6","1641410082111","img/11.png","2","10","0"
"[{""page_index"":0,""viewing_time"":7132}]","7133","instructions","21","527220","0.0-4.0","A1TLNLB9D87H6","1641410082111","","","",""
