"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":3425}]","3426","instructions","0","3427","0.0-0.0","A23KAJRDVCVGOE","1641409870636","","","",""
"[{""page_index"":0,""viewing_time"":5735},{""page_index"":1,""viewing_time"":1668}]","7404","instructions","1","10832","0.0-1.0","A23KAJRDVCVGOE","1641409870636","","","",""
"[{""page_index"":0,""viewing_time"":2181}]","2182","instructions","2","13015","0.0-2.0","A23KAJRDVCVGOE","1641409870636","","","",""
"","14813","singlestim-multichoice-slider","3","27837","0.0-3.0-0.0","A23KAJRDVCVGOE","1641409870636","img/05.png","3","10","55"
"","4840","singlestim-multichoice-slider","4","32682","0.0-3.0-0.1","A23KAJRDVCVGOE","1641409870636","img/06.png","2","10","45"
"","5068","singlestim-multichoice-slider","5","37753","0.0-3.0-0.2","A23KAJRDVCVGOE","1641409870636","img/12.png","2","10","54"
"","4083","singlestim-multichoice-slider","6","41841","0.0-3.0-0.3","A23KAJRDVCVGOE","1641409870636","img/02.png","1","10","73"
"","2615","singlestim-multichoice-slider","7","44460","0.0-3.0-0.4","A23KAJRDVCVGOE","1641409870636","img/13.png","2","10","74"
"","2516","singlestim-multichoice-slider","8","46981","0.0-3.0-0.5","A23KAJRDVCVGOE","1641409870636","img/18.png","3","10","53"
"","4623","singlestim-multichoice-slider","9","51608","0.0-3.0-0.6","A23KAJRDVCVGOE","1641409870636","img/14.png","1","10","0"
"","2190","singlestim-multichoice-slider","10","53803","0.0-3.0-0.7","A23KAJRDVCVGOE","1641409870636","img/15.png","2","10","32"
"","2883","singlestim-multichoice-slider","11","56691","0.0-3.0-0.8","A23KAJRDVCVGOE","1641409870636","img/08.png","1","10","26"
"","4480","singlestim-multichoice-slider","12","61174","0.0-3.0-0.9","A23KAJRDVCVGOE","1641409870636","img/17.png","3","10","13"
"","3172","singlestim-multichoice-slider","13","64348","0.0-3.0-0.10","A23KAJRDVCVGOE","1641409870636","img/04.png","2","10","81"
"","2809","singlestim-multichoice-slider","14","67160","0.0-3.0-0.11","A23KAJRDVCVGOE","1641409870636","img/01.png","1","10","39"
"","2488","singlestim-multichoice-slider","15","69657","0.0-3.0-0.12","A23KAJRDVCVGOE","1641409870636","img/16.png","2","10","58"
"","2778","singlestim-multichoice-slider","16","72439","0.0-3.0-0.13","A23KAJRDVCVGOE","1641409870636","img/10.png","1","10","42"
"","2079","singlestim-multichoice-slider","17","74525","0.0-3.0-0.14","A23KAJRDVCVGOE","1641409870636","img/09.png","2","10","67"
"","2297","singlestim-multichoice-slider","18","76826","0.0-3.0-0.15","A23KAJRDVCVGOE","1641409870636","img/11.png","1","10","42"
"","4339","singlestim-multichoice-slider","19","81170","0.0-3.0-0.16","A23KAJRDVCVGOE","1641409870636","img/07.png","2","10","81"
"","4965","singlestim-multichoice-slider","20","86138","0.0-3.0-0.17","A23KAJRDVCVGOE","1641409870636","img/03.png","2","10","9"
"[{""page_index"":0,""viewing_time"":10600}]","10602","instructions","21","96740","0.0-4.0","A23KAJRDVCVGOE","1641409870636","","","",""
