"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":3094}]","3095","instructions","0","3098","0.0-0.0","A2D8HDXQ63VKUK","1641409853710","","","",""
"[{""page_index"":0,""viewing_time"":2895},{""page_index"":1,""viewing_time"":1532}]","4428","instructions","1","7526","0.0-1.0","A2D8HDXQ63VKUK","1641409853710","","","",""
"[{""page_index"":0,""viewing_time"":2152}]","2153","instructions","2","9679","0.0-2.0","A2D8HDXQ63VKUK","1641409853710","","","",""
"","55576","singlestim-multichoice-slider","3","65263","0.0-3.0-0.0","A2D8HDXQ63VKUK","1641409853710","img/15.png","1","10","100"
"","32748","singlestim-multichoice-slider","4","98014","0.0-3.0-0.1","A2D8HDXQ63VKUK","1641409853710","img/11.png","1","10","100"
"","4108","singlestim-multichoice-slider","5","102124","0.0-3.0-0.2","A2D8HDXQ63VKUK","1641409853710","img/10.png","2","10","100"
"","4398","singlestim-multichoice-slider","6","106524","0.0-3.0-0.3","A2D8HDXQ63VKUK","1641409853710","img/08.png","2","10","100"
"","4793","singlestim-multichoice-slider","7","111319","0.0-3.0-0.4","A2D8HDXQ63VKUK","1641409853710","img/09.png","1","10","96"
"","9458","singlestim-multichoice-slider","8","120778","0.0-3.0-0.5","A2D8HDXQ63VKUK","1641409853710","img/16.png","2","10","100"
"","3708","singlestim-multichoice-slider","9","124487","0.0-3.0-0.6","A2D8HDXQ63VKUK","1641409853710","img/14.png","1","10","100"
"","3220","singlestim-multichoice-slider","10","127709","0.0-3.0-0.7","A2D8HDXQ63VKUK","1641409853710","img/13.png","2","10","86"
"","3258","singlestim-multichoice-slider","11","130969","0.0-3.0-0.8","A2D8HDXQ63VKUK","1641409853710","img/01.png","2","10","86"
"","3018","singlestim-multichoice-slider","12","133989","0.0-3.0-0.9","A2D8HDXQ63VKUK","1641409853710","img/12.png","3","10","84"
"","3359","singlestim-multichoice-slider","13","137350","0.0-3.0-0.10","A2D8HDXQ63VKUK","1641409853710","img/07.png","2","10","98"
"","3216","singlestim-multichoice-slider","14","140567","0.0-3.0-0.11","A2D8HDXQ63VKUK","1641409853710","img/18.png","2","10","100"
"","3123","singlestim-multichoice-slider","15","143692","0.0-3.0-0.12","A2D8HDXQ63VKUK","1641409853710","img/04.png","1","10","90"
"","2860","singlestim-multichoice-slider","16","146554","0.0-3.0-0.13","A2D8HDXQ63VKUK","1641409853710","img/03.png","2","10","86"
"","3380","singlestim-multichoice-slider","17","149936","0.0-3.0-0.14","A2D8HDXQ63VKUK","1641409853710","img/05.png","1","10","98"
"","3345","singlestim-multichoice-slider","18","153282","0.0-3.0-0.15","A2D8HDXQ63VKUK","1641409853710","img/02.png","1","10","69"
"","2991","singlestim-multichoice-slider","19","156274","0.0-3.0-0.16","A2D8HDXQ63VKUK","1641409853710","img/17.png","2","10","89"
"","3336","singlestim-multichoice-slider","20","159612","0.0-3.0-0.17","A2D8HDXQ63VKUK","1641409853710","img/06.png","1","10","89"
"[{""page_index"":0,""viewing_time"":6139}]","6140","instructions","21","165752","0.0-4.0","A2D8HDXQ63VKUK","1641409853710","","","",""
