"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2180}]","2181","instructions","0","2183","0.0-0.0","A2T5CROJ0FWIJY","1641409720985","","","",""
"[{""page_index"":0,""viewing_time"":2088},{""page_index"":1,""viewing_time"":1800}]","3888","instructions","1","6073","0.0-1.0","A2T5CROJ0FWIJY","1641409720985","","","",""
"[{""page_index"":0,""viewing_time"":19983}]","19983","instructions","2","26056","0.0-2.0","A2T5CROJ0FWIJY","1641409720985","","","",""
"","24739","singlestim-multichoice-slider","3","50804","0.0-3.0-0.0","A2T5CROJ0FWIJY","1641409720985","img/17.png","3","10","32"
"","12476","singlestim-multichoice-slider","4","63286","0.0-3.0-0.1","A2T5CROJ0FWIJY","1641409720985","img/04.png","1","10","39"
"","14375","singlestim-multichoice-slider","5","77663","0.0-3.0-0.2","A2T5CROJ0FWIJY","1641409720985","img/18.png","1","10","37"
"","13572","singlestim-multichoice-slider","6","91238","0.0-3.0-0.3","A2T5CROJ0FWIJY","1641409720985","img/09.png","3","10","25"
"","10002","singlestim-multichoice-slider","7","101243","0.0-3.0-0.4","A2T5CROJ0FWIJY","1641409720985","img/13.png","1","10","52"
"","12876","singlestim-multichoice-slider","8","114121","0.0-3.0-0.5","A2T5CROJ0FWIJY","1641409720985","img/07.png","1","10","57"
"","5950","singlestim-multichoice-slider","9","120077","0.0-3.0-0.6","A2T5CROJ0FWIJY","1641409720985","img/14.png","2","10","65"
"","7651","singlestim-multichoice-slider","10","127733","0.0-3.0-0.7","A2T5CROJ0FWIJY","1641409720985","img/08.png","1","10","64"
"","12073","singlestim-multichoice-slider","11","139808","0.0-3.0-0.8","A2T5CROJ0FWIJY","1641409720985","img/05.png","1","10","35"
"","8129","singlestim-multichoice-slider","12","147940","0.0-3.0-0.9","A2T5CROJ0FWIJY","1641409720985","img/10.png","3","10","30"
"","10087","singlestim-multichoice-slider","13","158031","0.0-3.0-0.10","A2T5CROJ0FWIJY","1641409720985","img/01.png","2","10","51"
"","9574","singlestim-multichoice-slider","14","167608","0.0-3.0-0.11","A2T5CROJ0FWIJY","1641409720985","img/15.png","2","10","40"
"","13770","singlestim-multichoice-slider","15","181384","0.0-3.0-0.12","A2T5CROJ0FWIJY","1641409720985","img/06.png","1","10","26"
"","14372","singlestim-multichoice-slider","16","195760","0.0-3.0-0.13","A2T5CROJ0FWIJY","1641409720985","img/03.png","3","10","33"
"","8678","singlestim-multichoice-slider","17","204441","0.0-3.0-0.14","A2T5CROJ0FWIJY","1641409720985","img/11.png","2","10","33"
"","5784","singlestim-multichoice-slider","18","210228","0.0-3.0-0.15","A2T5CROJ0FWIJY","1641409720985","img/02.png","3","10","47"
"","5904","singlestim-multichoice-slider","19","216137","0.0-3.0-0.16","A2T5CROJ0FWIJY","1641409720985","img/16.png","1","10","41"
"","7007","singlestim-multichoice-slider","20","223148","0.0-3.0-0.17","A2T5CROJ0FWIJY","1641409720985","img/12.png","3","10","31"
"[{""page_index"":0,""viewing_time"":1795}]","1795","instructions","21","224943","0.0-4.0","A2T5CROJ0FWIJY","1641409720985","","","",""
