"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":3637}]","3637","instructions","0","3639","0.0-0.0","A2Y37OF9LTG4IN","1641409959111","","","",""
"[{""page_index"":0,""viewing_time"":11600},{""page_index"":1,""viewing_time"":5278}]","16879","instructions","1","20519","0.0-1.0","A2Y37OF9LTG4IN","1641409959111","","","",""
"[{""page_index"":0,""viewing_time"":2183}]","2184","instructions","2","22703","0.0-2.0","A2Y37OF9LTG4IN","1641409959111","","","",""
"","5792","singlestim-multichoice-slider","3","28501","0.0-3.0-0.0","A2Y37OF9LTG4IN","1641409959111","img/10.png","2","10","40"
"","7138","singlestim-multichoice-slider","4","35641","0.0-3.0-0.1","A2Y37OF9LTG4IN","1641409959111","img/16.png","2","10","35"
"","5089","singlestim-multichoice-slider","5","40732","0.0-3.0-0.2","A2Y37OF9LTG4IN","1641409959111","img/03.png","2","10","45"
"","4788","singlestim-multichoice-slider","6","45523","0.0-3.0-0.3","A2Y37OF9LTG4IN","1641409959111","img/12.png","1","10","76"
"","6273","singlestim-multichoice-slider","7","51800","0.0-3.0-0.4","A2Y37OF9LTG4IN","1641409959111","img/09.png","2","10","71"
"","5297","singlestim-multichoice-slider","8","57100","0.0-3.0-0.5","A2Y37OF9LTG4IN","1641409959111","img/13.png","3","10","60"
"","5270","singlestim-multichoice-slider","9","62374","0.0-3.0-0.6","A2Y37OF9LTG4IN","1641409959111","img/02.png","1","10","75"
"","3717","singlestim-multichoice-slider","10","66095","0.0-3.0-0.7","A2Y37OF9LTG4IN","1641409959111","img/01.png","1","10","71"
"","7290","singlestim-multichoice-slider","11","73390","0.0-3.0-0.8","A2Y37OF9LTG4IN","1641409959111","img/06.png","3","10","59"
"","4218","singlestim-multichoice-slider","12","77612","0.0-3.0-0.9","A2Y37OF9LTG4IN","1641409959111","img/14.png","2","10","62"
"","3965","singlestim-multichoice-slider","13","81580","0.0-3.0-0.10","A2Y37OF9LTG4IN","1641409959111","img/17.png","3","10","64"
"","5236","singlestim-multichoice-slider","14","86819","0.0-3.0-0.11","A2Y37OF9LTG4IN","1641409959111","img/18.png","1","10","61"
"","2674","singlestim-multichoice-slider","15","89495","0.0-3.0-0.12","A2Y37OF9LTG4IN","1641409959111","img/15.png","2","10","82"
"","4131","singlestim-multichoice-slider","16","93629","0.0-3.0-0.13","A2Y37OF9LTG4IN","1641409959111","img/04.png","3","10","57"
"","9368","singlestim-multichoice-slider","17","102998","0.0-3.0-0.14","A2Y37OF9LTG4IN","1641409959111","img/05.png","2","10","69"
"","3832","singlestim-multichoice-slider","18","106833","0.0-3.0-0.15","A2Y37OF9LTG4IN","1641409959111","img/07.png","2","10","71"
"","3253","singlestim-multichoice-slider","19","110089","0.0-3.0-0.16","A2Y37OF9LTG4IN","1641409959111","img/08.png","1","10","72"
"","4486","singlestim-multichoice-slider","20","114579","0.0-3.0-0.17","A2Y37OF9LTG4IN","1641409959111","img/11.png","3","10","48"
"[{""page_index"":0,""viewing_time"":1883}]","1884","instructions","21","116464","0.0-4.0","A2Y37OF9LTG4IN","1641409959111","","","",""
