"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":6736}]","6737","instructions","0","6739","0.0-0.0","A3KIC0UFTOB0MY","1641414701095","","","",""
"[{""page_index"":0,""viewing_time"":6325},{""page_index"":1,""viewing_time"":8296}]","14621","instructions","1","21361","0.0-1.0","A3KIC0UFTOB0MY","1641414701095","","","",""
"[{""page_index"":0,""viewing_time"":52887}]","52887","instructions","2","74249","0.0-2.0","A3KIC0UFTOB0MY","1641414701095","","","",""
"","23237","singlestim-multichoice-slider","3","97489","0.0-3.0-0.0","A3KIC0UFTOB0MY","1641414701095","img/04.png","1","10","100"
"","70182","singlestim-multichoice-slider","4","167673","0.0-3.0-0.1","A3KIC0UFTOB0MY","1641414701095","img/05.png","2","10","100"
"","22046","singlestim-multichoice-slider","5","189721","0.0-3.0-0.2","A3KIC0UFTOB0MY","1641414701095","img/18.png","3","10","100"
"","20926","singlestim-multichoice-slider","6","210648","0.0-3.0-0.3","A3KIC0UFTOB0MY","1641414701095","img/06.png","2","10","100"
"","21862","singlestim-multichoice-slider","7","232512","0.0-3.0-0.4","A3KIC0UFTOB0MY","1641414701095","img/12.png","1","10","100"
"","14118","singlestim-multichoice-slider","8","246632","0.0-3.0-0.5","A3KIC0UFTOB0MY","1641414701095","img/08.png","1","10","100"
"","18717","singlestim-multichoice-slider","9","265352","0.0-3.0-0.6","A3KIC0UFTOB0MY","1641414701095","img/15.png","3","10","100"
"","19326","singlestim-multichoice-slider","10","284681","0.0-3.0-0.7","A3KIC0UFTOB0MY","1641414701095","img/17.png","1","10","100"
"","20957","singlestim-multichoice-slider","11","305640","0.0-3.0-0.8","A3KIC0UFTOB0MY","1641414701095","img/09.png","3","10","100"
"","12727","singlestim-multichoice-slider","12","318368","0.0-3.0-0.9","A3KIC0UFTOB0MY","1641414701095","img/02.png","3","10","100"
"","18503","singlestim-multichoice-slider","13","336872","0.0-3.0-0.10","A3KIC0UFTOB0MY","1641414701095","img/16.png","1","10","100"
"","10046","singlestim-multichoice-slider","14","346920","0.0-3.0-0.11","A3KIC0UFTOB0MY","1641414701095","img/13.png","2","10","100"
"","19006","singlestim-multichoice-slider","15","365928","0.0-3.0-0.12","A3KIC0UFTOB0MY","1641414701095","img/11.png","2","10","100"
"","16238","singlestim-multichoice-slider","16","382168","0.0-3.0-0.13","A3KIC0UFTOB0MY","1641414701095","img/01.png","2","10","100"
"","16534","singlestim-multichoice-slider","17","398704","0.0-3.0-0.14","A3KIC0UFTOB0MY","1641414701095","img/10.png","3","10","100"
"","17751","singlestim-multichoice-slider","18","416456","0.0-3.0-0.15","A3KIC0UFTOB0MY","1641414701095","img/03.png","3","10","100"
"","8742","singlestim-multichoice-slider","19","425200","0.0-3.0-0.16","A3KIC0UFTOB0MY","1641414701095","img/14.png","2","10","100"
"","8206","singlestim-multichoice-slider","20","433408","0.0-3.0-0.17","A3KIC0UFTOB0MY","1641414701095","img/07.png","1","10","100"
"[{""page_index"":0,""viewing_time"":5063}]","5063","instructions","21","438472","0.0-4.0","A3KIC0UFTOB0MY","1641414701095","","","",""
