"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":6425}]","6426","instructions","0","6430","0.0-0.0","A3TDU7KYYSN0I3","1641406205743","","","",""
"[{""page_index"":0,""viewing_time"":6775},{""page_index"":1,""viewing_time"":27461}]","34237","instructions","1","40668","0.0-1.0","A3TDU7KYYSN0I3","1641406205743","","","",""
"[{""page_index"":0,""viewing_time"":44071}]","44072","instructions","2","84740","0.0-2.0","A3TDU7KYYSN0I3","1641406205743","","","",""
"","27824","singlestim-multichoice-slider","3","112571","0.0-3.0-0.0","A3TDU7KYYSN0I3","1641406205743","img/06.png","1","10","100"
"","16892","singlestim-multichoice-slider","4","129467","0.0-3.0-0.1","A3TDU7KYYSN0I3","1641406205743","img/07.png","3","10","96"
"","17784","singlestim-multichoice-slider","5","147257","0.0-3.0-0.2","A3TDU7KYYSN0I3","1641406205743","img/16.png","1","10","94"
"","13245","singlestim-multichoice-slider","6","160507","0.0-3.0-0.3","A3TDU7KYYSN0I3","1641406205743","img/01.png","1","10","95"
"","11695","singlestim-multichoice-slider","7","172213","0.0-3.0-0.4","A3TDU7KYYSN0I3","1641406205743","img/18.png","3","10","100"
"","16984","singlestim-multichoice-slider","8","189203","0.0-3.0-0.5","A3TDU7KYYSN0I3","1641406205743","img/12.png","3","10","92"
"","11244","singlestim-multichoice-slider","9","200453","0.0-3.0-0.6","A3TDU7KYYSN0I3","1641406205743","img/15.png","1","10","100"
"","7681","singlestim-multichoice-slider","10","208136","0.0-3.0-0.7","A3TDU7KYYSN0I3","1641406205743","img/14.png","2","10","93"
"","8389","singlestim-multichoice-slider","11","216530","0.0-3.0-0.8","A3TDU7KYYSN0I3","1641406205743","img/05.png","1","10","98"
"","6372","singlestim-multichoice-slider","12","222906","0.0-3.0-0.9","A3TDU7KYYSN0I3","1641406205743","img/09.png","2","10","92"
"","11522","singlestim-multichoice-slider","13","234432","0.0-3.0-0.10","A3TDU7KYYSN0I3","1641406205743","img/10.png","1","10","100"
"","6668","singlestim-multichoice-slider","14","241105","0.0-3.0-0.11","A3TDU7KYYSN0I3","1641406205743","img/02.png","1","10","92"
"","5611","singlestim-multichoice-slider","15","246721","0.0-3.0-0.12","A3TDU7KYYSN0I3","1641406205743","img/13.png","2","10","97"
"","5006","singlestim-multichoice-slider","16","251731","0.0-3.0-0.13","A3TDU7KYYSN0I3","1641406205743","img/03.png","1","10","93"
"","4474","singlestim-multichoice-slider","17","256211","0.0-3.0-0.14","A3TDU7KYYSN0I3","1641406205743","img/17.png","2","10","88"
"","9038","singlestim-multichoice-slider","18","265256","0.0-3.0-0.15","A3TDU7KYYSN0I3","1641406205743","img/11.png","1","10","91"
"","6598","singlestim-multichoice-slider","19","271856","0.0-3.0-0.16","A3TDU7KYYSN0I3","1641406205743","img/04.png","1","10","83"
"","7781","singlestim-multichoice-slider","20","279639","0.0-3.0-0.17","A3TDU7KYYSN0I3","1641406205743","img/08.png","1","10","91"
"[{""page_index"":0,""viewing_time"":12278}]","12279","instructions","21","291919","0.0-4.0","A3TDU7KYYSN0I3","1641406205743","","","",""
