"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2916}]","2916","instructions","0","2917","0.0-0.0","A3UVG8BZ3B5FWI","1641410346695","","","",""
"[{""page_index"":0,""viewing_time"":2678},{""page_index"":1,""viewing_time"":1636}]","4315","instructions","1","7233","0.0-1.0","A3UVG8BZ3B5FWI","1641410346695","","","",""
"[{""page_index"":0,""viewing_time"":1780}]","1780","instructions","2","9013","0.0-2.0","A3UVG8BZ3B5FWI","1641410346695","","","",""
"","7181","singlestim-multichoice-slider","3","16197","0.0-3.0-0.0","A3UVG8BZ3B5FWI","1641410346695","img/04.png","1","10","58"
"","2714","singlestim-multichoice-slider","4","18912","0.0-3.0-0.1","A3UVG8BZ3B5FWI","1641410346695","img/12.png","2","10","61"
"","7381","singlestim-multichoice-slider","5","26295","0.0-3.0-0.2","A3UVG8BZ3B5FWI","1641410346695","img/16.png","1","10","58"
"","3960","singlestim-multichoice-slider","6","30257","0.0-3.0-0.3","A3UVG8BZ3B5FWI","1641410346695","img/14.png","3","10","53"
"","10681","singlestim-multichoice-slider","7","40940","0.0-3.0-0.4","A3UVG8BZ3B5FWI","1641410346695","img/06.png","1","10","52"
"","6363","singlestim-multichoice-slider","8","47305","0.0-3.0-0.5","A3UVG8BZ3B5FWI","1641410346695","img/15.png","3","10","49"
"","2980","singlestim-multichoice-slider","9","50287","0.0-3.0-0.6","A3UVG8BZ3B5FWI","1641410346695","img/02.png","2","10","54"
"","4297","singlestim-multichoice-slider","10","54587","0.0-3.0-0.7","A3UVG8BZ3B5FWI","1641410346695","img/10.png","1","10","41"
"","5312","singlestim-multichoice-slider","11","59901","0.0-3.0-0.8","A3UVG8BZ3B5FWI","1641410346695","img/18.png","2","10","43"
"","3207","singlestim-multichoice-slider","12","63112","0.0-3.0-0.9","A3UVG8BZ3B5FWI","1641410346695","img/17.png","1","10","63"
"","2704","singlestim-multichoice-slider","13","65819","0.0-3.0-0.10","A3UVG8BZ3B5FWI","1641410346695","img/03.png","3","10","53"
"","4971","singlestim-multichoice-slider","14","70794","0.0-3.0-0.11","A3UVG8BZ3B5FWI","1641410346695","img/09.png","2","10","54"
"","4851","singlestim-multichoice-slider","15","75649","0.0-3.0-0.12","A3UVG8BZ3B5FWI","1641410346695","img/13.png","1","10","60"
"","6131","singlestim-multichoice-slider","16","81784","0.0-3.0-0.13","A3UVG8BZ3B5FWI","1641410346695","img/07.png","2","10","51"
"","4670","singlestim-multichoice-slider","17","86457","0.0-3.0-0.14","A3UVG8BZ3B5FWI","1641410346695","img/11.png","3","10","52"
"","2725","singlestim-multichoice-slider","18","89183","0.0-3.0-0.15","A3UVG8BZ3B5FWI","1641410346695","img/08.png","2","10","38"
"","4399","singlestim-multichoice-slider","19","93583","0.0-3.0-0.16","A3UVG8BZ3B5FWI","1641410346695","img/01.png","1","10","55"
"","4013","singlestim-multichoice-slider","20","97598","0.0-3.0-0.17","A3UVG8BZ3B5FWI","1641410346695","img/05.png","2","10","62"
"[{""page_index"":0,""viewing_time"":12386}]","12386","instructions","21","109985","0.0-4.0","A3UVG8BZ3B5FWI","1641410346695","","","",""
