"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":8850}]","8851","instructions","0","8854","0.0-0.0","AF8RE48BJY803","1641409880226","","","",""
"[{""page_index"":0,""viewing_time"":31583},{""page_index"":1,""viewing_time"":8553}]","40136","instructions","1","48991","0.0-1.0","AF8RE48BJY803","1641409880226","","","",""
"[{""page_index"":0,""viewing_time"":12867}]","12867","instructions","2","61859","0.0-2.0","AF8RE48BJY803","1641409880226","","","",""
"","33846","singlestim-multichoice-slider","3","95713","0.0-3.0-0.0","AF8RE48BJY803","1641409880226","img/12.png","2","10","82"
"","11245","singlestim-multichoice-slider","4","106961","0.0-3.0-0.1","AF8RE48BJY803","1641409880226","img/14.png","2","10","83"
"","12127","singlestim-multichoice-slider","5","119091","0.0-3.0-0.2","AF8RE48BJY803","1641409880226","img/04.png","1","10","61"
"","6026","singlestim-multichoice-slider","6","125120","0.0-3.0-0.3","AF8RE48BJY803","1641409880226","img/05.png","2","10","73"
"","10578","singlestim-multichoice-slider","7","135701","0.0-3.0-0.4","AF8RE48BJY803","1641409880226","img/16.png","2","10","64"
"","8403","singlestim-multichoice-slider","8","144109","0.0-3.0-0.5","AF8RE48BJY803","1641409880226","img/08.png","2","10","86"
"","7988","singlestim-multichoice-slider","9","152100","0.0-3.0-0.6","AF8RE48BJY803","1641409880226","img/01.png","2","10","73"
"","9435","singlestim-multichoice-slider","10","161539","0.0-3.0-0.7","AF8RE48BJY803","1641409880226","img/10.png","3","10","58"
"","4423","singlestim-multichoice-slider","11","165967","0.0-3.0-0.8","AF8RE48BJY803","1641409880226","img/13.png","2","10","62"
"","7151","singlestim-multichoice-slider","12","173123","0.0-3.0-0.9","AF8RE48BJY803","1641409880226","img/09.png","2","10","69"
"","7230","singlestim-multichoice-slider","13","180359","0.0-3.0-0.10","AF8RE48BJY803","1641409880226","img/02.png","3","10","85"
"","5014","singlestim-multichoice-slider","14","185378","0.0-3.0-0.11","AF8RE48BJY803","1641409880226","img/18.png","3","10","75"
"","15234","singlestim-multichoice-slider","15","200617","0.0-3.0-0.12","AF8RE48BJY803","1641409880226","img/17.png","2","10","71"
"","4351","singlestim-multichoice-slider","16","204977","0.0-3.0-0.13","AF8RE48BJY803","1641409880226","img/06.png","3","10","70"
"","5946","singlestim-multichoice-slider","17","210933","0.0-3.0-0.14","AF8RE48BJY803","1641409880226","img/15.png","2","10","52"
"","10306","singlestim-multichoice-slider","18","221244","0.0-3.0-0.15","AF8RE48BJY803","1641409880226","img/07.png","3","10","62"
"","5651","singlestim-multichoice-slider","19","226898","0.0-3.0-0.16","AF8RE48BJY803","1641409880226","img/11.png","3","10","58"
"","8354","singlestim-multichoice-slider","20","235255","0.0-3.0-0.17","AF8RE48BJY803","1641409880226","img/03.png","3","10","88"
"[{""page_index"":0,""viewing_time"":6839}]","6840","instructions","21","242096","0.0-4.0","AF8RE48BJY803","1641409880226","","","",""
